"","compound_identifier","original_name.x","cleaned_name.x","name_comments.x","compound_identifier_new","original_name.y","cleaned_name.y","name_comments.y"
"1953","2759C","âdelta-cadinene",NA,NA,"2759C","germacrene d+(e)-beta-ionone","",NA
"1954","275C","alpha-terpineol/borneol",NA,NA,"275C","1,5-diphenyl-3-pentanone","",NA
"1955","2760C","âisospathulenol",NA,NA,"2760C","globulol+unknown","",NA
"1956","2761C","âmustakone",NA,NA,"2761C","isoamyl laurate","",NA
"1957","2762C","âspathulenol",NA,NA,"2762C","methyl dodecanoate+unknown","",NA
"1958","2763C","âtrans-caryophyllene",NA,NA,"2763C","methyl heptadecanoate","",NA
"1959","2764C","abienol",NA,NA,"2764C","methyl pentadecanoate","",NA
"1960","2765C","abieta-7,13-diene",NA,NA,"2765C","musk ambrette","",NA
"1961","2766C","abieta-7,13-diene-3-one",NA,NA,"2766C","p-mentha-2,4-dien","",NA
"1962","2767C","abieta-8(14),13(15)-diene",NA,NA,"2767C","caryophyllandienol","",NA
"1963","2768C","abieta-8,12-diene",NA,NA,"2768C","(e)-alpha-bisabolene","",NA
"1964","2769C","abietadiene",NA,NA,"2769C","nonanal+linalool","",NA
"1965","276C","alpha-terpinyl acetate",NA,NA,"276C","2-ethylhexanol","",NA
"1966","2770C","abietal",NA,NA,"2770C","1-butanol","",NA
"1967","2771C","abietatrene",NA,NA,"2771C","1-hexen-3-one","",NA
"1968","2772C","abietol",NA,NA,"2772C","1-penten-3-one","",NA
"1969","2773C","acarone",NA,NA,"2773C","1-propanol","",NA
"1970","2774C","acenaphthene",NA,NA,"2774C","2,3-pentanedione","",NA
"1971","2775C","acenaphthylene",NA,NA,"2775C","2,5-dimethylpyrazine","",NA
"1972","2776C","acetaldehyde",NA,NA,"2776C","2,6,6-trimethyl-2-cyclohexene-1,4-dione","",NA
"1973","2777C","aceteugenol",NA,NA,"2777C","2,6-dimethylpyrazine","",NA
"1974","2778C","aceticÂ acidÂ octylÂ ester",NA,NA,"2778C","2-butanol","",NA
"1975","2779C","acetoin",NA,NA,"2779C","2-methylthioethanol","",NA
"1976","277C","alpha-terpinyl formate",NA,NA,"277C","2-heptadecanone","",NA
"1977","2780C","acetone",NA,NA,"2780C","2-octanone","",NA
"1978","2781C","acetone (solvent)",NA,NA,"2781C","2-tridecanol","",NA
"1979","2782C","acetophenone",NA,NA,"2782C","3,5,5-trimethyl-2-cyclohexanone","",NA
"1980","2783C","acetovanillone",NA,NA,"2783C","3-methyl-1-butanol","",NA
"1981","2784C","acetyl dihydroalthene",NA,NA,"2784C","3-penten-2-one","",NA
"1982","2785C","acetyl eugenol",NA,NA,"2785C","4-vinylguaiacol","",NA
"1983","2786C","acetyl furan",NA,NA,"2786C","5-methyl-2-hexanone","",NA
"1984","2787C","acids",NA,NA,"2787C","allyl cyclohexyl propanoate","",NA
"1985","2788C","aciphyllene",NA,NA,"2788C","allyl octanoate","",NA
"1986","2789C","acora-2,4-diene",NA,NA,"2789C","benzyl crotonate","",NA
"1987","278C","alpha-thujene",NA,NA,"278C","2-hexadecanone","",NA
"1988","2790C","acora-2,4(15)-dien-11-ol",NA,NA,"2790C","benzyl isothiocyanate","",NA
"1989","2791C","acora-3(10),14-diene",NA,NA,"2791C","diacetyl","",NA
"1990","2792C","acora-3,5-dien-11-ol",NA,NA,"2792C","(e)-2-pentenol","",NA
"1991","2793C","acora-7(11),9-dien-2-one",NA,NA,"2793C","(e)-linalool oxide (pyranoid)","",NA
"1992","2794C","acoradiene isomer",NA,NA,"2794C","(e)-palmitoleic acid","",NA
"1993","2795C","acoralpha-3,5-diene",NA,NA,"2795C","ethyl 2-hydroxyhexanoate","",NA
"1994","2796C","acoralpha-3,7(14)-diene",NA,NA,"2796C","ethyl-3-hydroxybutanoate","",NA
"1995","2797C","acorenone",NA,NA,"2797C","ethyl 3-hydroxyhexanoate","",NA
"1996","2798C","acorenone derivative (isomer)",NA,NA,"2798C","ethyl 5-hydroxyhexanoate","",NA
"1997","2799C","acorone, isomer 1",NA,NA,"2799C","ethyl (e)-2-hexenoate","",NA
"1998","279C","alpha-thujone",NA,NA,"279C","2-pentadecanone","",NA
"1999","27C","(e)-cinnamaldehyde",NA,NA,"27C","linalool","",NA
"2000","2800C","acorone, isomer 2",NA,NA,"2800C","ethyl (e)-2-octenoate","",NA
"2001","2801C","ơ-3-carene",NA,NA,"2801C","ethyl (e)-9-palmitoleate","",NA
"2002","2802C","agarospiol",NA,NA,"2802C","ethyl isopentanoate","",NA
"2003","2803C","agarospirol",NA,NA,"2803C","ethyl lactate","",NA
"2004","2804C","ageratochromene",NA,NA,"2804C","ethyl linolenate","",NA
"2005","2805C","albene",NA,NA,"2805C","ethyl methylthioacetate","",NA
"2006","2806C","alcanes, alkenes",NA,NA,"2806C","ethyl myristate","",NA
"2007","2807C","alcohol",NA,NA,"2807C","ethyl oleate","",NA
"2008","2808C","alcohols",NA,NA,"2808C","ethyl palmitate","",NA
"2009","2809C","alcohols and phenols",NA,NA,"2809C","ethyl pentadecanoate","",NA
"2010","280C","alpha-trans-bergamotene",NA,NA,"280C","4-(4-methoxyphenyl)-2-butanone","",NA
"2011","2810C","aldehydes",NA,NA,"2810C","ethyl propanoate","",NA
"2012","2811C","aliphatic compounds",NA,NA,"2811C","ethyl-(z)-9-palmitoleate","",NA
"2013","2812C","aliphatics",NA,NA,"2812C","furfuryl alcohol","",NA
"2014","2813C","alismol",NA,NA,"2813C","isoamyl butanoate","",NA
"2015","2814C","alkylangelate",NA,NA,"2814C","isoamyl hexanoate","",NA
"2016","2815C","alkyltiglate",NA,NA,"2815C","isobutanol","",NA
"2017","2816C","alliphatic hydrocarbons c17-c30",NA,NA,"2816C","isopentanal","",NA
"2018","2817C","allo-alloaromadendrene epoxide",NA,NA,"2817C","isopropanol","",NA
"2019","2818C","allo-aramadendrene",NA,NA,"2818C","methyl 2-hydroxy-2-methylbutanoate","",NA
"2020","2819C","allo-ariomadendrene",NA,NA,"2819C","methyl 2-hydroxy-3-methylpentanoate","",NA
"2021","281C","alpha-trans-bergamotol",NA,NA,"281C","4-phenyl-2-butanone","",NA
"2022","2820C","allo-aromadendene-7-ol",NA,NA,"2820C","methyl 2-hydroxy-4-methyl pentanoate","",NA
"2023","2821C","allo-aromadenderne",NA,NA,"2821C","methyl 2-hydroxybutanoate","",NA
"2024","2822C","allo-aromadendr-9-ene",NA,NA,"2822C","methyl 2-hydroxyisopentanoate","",NA
"2025","2823C","allo-aromadendrene oxide",NA,NA,"2823C","methyl 2-methylbutanoate","",NA
"2026","2824C","allo-aromadendrene*",NA,NA,"2824C","methyl-3-hydroxy butanoate","",NA
"2027","2825C","allo-aromadendrened",NA,NA,"2825C","methyl-3-hydroxy hexanoate","",NA
"2028","2826C","allo-aromadendreneepoxide",NA,NA,"2826C","methyl-3-hydroxy pentanoate","",NA
"2029","2827C","allo-aromadendreneoxide",NA,NA,"2827C","methyl-3-methyl-2-butenoate","",NA
"2030","2828C","allo-aromadenedrene",NA,NA,"2828C","methyl-4-oxooctanaoate","",NA
"2031","2829C","Allo-Aromadrendene",NA,NA,"2829C","methyl acetylbutanoate","",NA
"2032","282C","alpha-ylangene",NA,NA,"282C","cyclohexanecarboxylic acid","",NA
"2033","2830C","allo-aromandrene",NA,NA,"2830C","methyl (e)-2-butenoate","",NA
"2034","2831C","allo-cedrol",NA,NA,"2831C","methyl methylthioacetate","",NA
"2035","2832C","allo-davanone",NA,NA,"2832C","methyl methyl thiocyanate","",NA
"2036","2833C","alloÂ aromadendrene",NA,NA,"2833C","methyl myristate","",NA
"2037","2834C","alloaromadendrene",NA,NA,"2834C","methyl palmitoleate","",NA
"2038","2835C","alloaromadendrene oxide – (2)",NA,NA,"2835C","methyl propanoate","",NA
"2039","2836C","alloaromadrene",NA,NA,"2836C","methyl propyl sulphide","",NA
"2040","2837C","allohimachalol",NA,NA,"2837C","methyl pyrazine","",NA
"2041","2838C","alloocimene",NA,NA,"2838C","methyl (z)-2-butenoate","",NA
"2042","2839C","allyl cyclohexyl propanoate",NA,NA,"2839C","methyl (z)-9-oleate","",NA
"2043","283C","alpha-zingiberene",NA,NA,"283C","decanoic acid","",NA
"2044","2840C","allyl isovalerate",NA,NA,"2840C","m-xylene","",NA
"2045","2841C","allyl octanoate",NA,NA,"2841C","myristic acid 2679","",NA
"2046","2842C","allylhexanoate",NA,NA,"2842C","palmitic acid 2888","",NA
"2047","2843C","allylisothiocynate",NA,NA,"2843C","phenylacetaldehydeb","",NA
"2048","2844C","alpha--Muurolol",NA,NA,"2844C","phenyl acetonitrile","",NA
"2049","2845C","alpha- copaene",NA,NA,"2845C","propanoic acid","",NA
"2050","2846C","alpha- cubebene",NA,NA,"2846C","thiobenzoic acid","",NA
"2051","2847C","alpha- guaiene",NA,NA,"2847C","(z)-2-propenal","",NA
"2052","2848C","alpha- phellandrene",NA,NA,"2848C","(z)-3-hexenyl butanoate","",NA
"2053","2849C","alpha- pinene",NA,NA,"2849C","(z)-carveol","",NA
"2054","284C","amyl alcohol",NA,NA,"284C","dihydroeudesmol","",NA
"2055","2850C","alpha- selinene",NA,NA,"2850C","(z)-linalool oxide","",NA
"2056","2851C","alpha- thujene",NA,NA,"2851C","(z)-linalool oxide (pyranoid)","",NA
"2057","2852C","alpha-(e)-ionone",NA,NA,"2852C","(z)-palmitoleic acid","",NA
"2058","2853C","alpha-10-di epi-cubenol",NA,NA,"2853C","perilladehyde","",NA
"2059","2854C","alpha-11-selinen-4-ol",NA,NA,"2854C","2-methoxy-4-vinylphenol","",NA
"2060","2855C","alpha-acoradien",NA,NA,"2855C","4-methyl-4-hydroxy-2-pentanone","",NA
"2061","2856C","alpha-acoradiene",NA,NA,"2856C","4-methyl-5h-furan-2-one","",NA
"2062","2857C","alpha-acoradiene`",NA,NA,"2857C","9,12,15-octadecatrienol","",NA
"2063","2858C","alpha-acorenol",NA,NA,"2858C","9,12-octadecadienol","",NA
"2064","2859C","alpha-acorenol isomer",NA,NA,"2859C","germacra-4(15),5,10(14)-trien-1-ol","",NA
"2065","285C","amyl cinnamate",NA,NA,"285C","dodecanoic acid","",NA
"2066","2860C","alpha-acorenol+ n.i.",NA,NA,"2860C","linalool oxide (furanoid)","",NA
"2067","2861C","alpha-acorenole",NA,NA,"2861C","p-menth-1-en-8-ol","",NA
"2068","2862C","alpha-agarofuran",NA,NA,"2862C","tetrahydro-2h-pyran-2-one","",NA
"2069","2863C","alpha-amyrenone",NA,NA,"2863C","untriacontane","",NA
"2070","2864C","alpha-amyrin",NA,NA,"2864C","1-epi-cubebene","",NA
"2071","2865C","alpha-ar-himachalene",NA,NA,"2865C","(z)-calacorene","",NA
"2072","2866C","alpha-asarone",NA,NA,"2866C","(z)-calamenene","",NA
"2073","2867C","alpha-atlantone",NA,NA,"2867C","seychelene","",NA
"2074","2868C","alpha-barbatene",NA,NA,"2868C","1,7-di-epi-alpha-cedrene","",NA
"2075","2869C","alpha-bergamotal",NA,NA,"2869C","sesquisabinene","",NA
"2076","286C","apiole",NA,NA,"286C","drima-7,9(11)-diene","",NA
"2077","2870C","alpha-biabolol",NA,NA,"2870C","1-butyl hexylbenzene","",NA
"2078","2871C","alpha-bisabol-1-one",NA,NA,"2871C","1-butylnonylbenzene","",NA
"2079","2872C","alpha-bisabolene oxide",NA,NA,"2872C","1-butyloctylbenzene","",NA
"2080","2873C","alpha-bisabolo",NA,NA,"2873C","1-ethyloctylbenzene","",NA
"2081","2874C","alpha-bisabolol + other sesquiterpene derivatives",NA,NA,"2874C","1-methyldecylbenzene","",NA
"2082","2875C","alpha-bisabolol oxide a",NA,NA,"2875C","1-pentyl heptylbenzene","",NA
"2083","2876C","alpha-bisabolol oxide b",NA,NA,"2876C","1-pentyl hexylbenzene","",NA
"2084","2877C","alpha-bisabolold",NA,NA,"2877C","1-pentyl octylbenzene","",NA
"2085","2878C","alpha-bisabololoxide",NA,NA,"2878C","1-propyldecylbenzene","",NA
"2086","2879C","alpha-bisabololoxide a",NA,NA,"2879C","1-propylheptylbenzene","",NA
"2087","287C","ar-curcumene",NA,NA,"287C","(e)-9-hexadecenoic acid","",NA
"2088","2880C","alpha-bisabolone",NA,NA,"2880C","1-propylnonyl benzene","",NA
"2089","2881C","alpha-bisabolone oxide a",NA,NA,"2881C","1-propyloctylbenzene","",NA
"2090","2882C","alpha-bisaboloneoxide a",NA,NA,"2882C","dibutyl-1,2-benzene dicarboxylate","",NA
"2091","2883C","alpha-bisaboloneoxide b",NA,NA,"2883C","bisabolone oxide a","",NA
"2092","2884C","alpha-bisabolylacetate",NA,NA,"2884C","salicylic acid","",NA
"2093","2885C","alpha-bourbonene",NA,NA,"2885C","(-)-alpha-bisabolol","",NA
"2094","2886C","alpha-Bulnesene epoxide",NA,NA,"2886C","(-)-alpha-bisabolol oxide a","",NA
"2095","2887C","alpha-cadinene+alpha-calacorene",NA,NA,"2887C","(-)-alpha-bisabolol oxide b","",NA
"2096","2888C","alpha-cadineno",NA,NA,"2888C","cis-en-in-dicycloether","",NA
"2097","2889C","alpha-cadinol + n.i. (m 220)",NA,NA,"2889C","trans-en-in-dicycloether","",NA
"2098","288C","aristolone",NA,NA,"288C","(e)-oleic acid","",NA
"2099","2890C","alpha-cadinol isomer",NA,NA,"2890C","2,5-dihydro-2,5-dimethylfuran","",NA
"2100","2891C","alpha-cadinolc",NA,NA,"2891C","2,6-dimethyl-5-heptenal","",NA
"2101","2892C","alpha-cadrol",NA,NA,"2892C","3-nonen-2-one","",NA
"2102","2893C","alpha-calacorene-i",NA,NA,"2893C","5-methyl-2-hexanal","",NA
"2103","2894C","alpha-calacorene-ii",NA,NA,"2894C","alpha-bisabolol oxide a","",NA
"2104","2895C","alpha-calacorene+alpha-agarofuran",NA,NA,"2895C","alpha-bisabolol oxide b","",NA
"2105","2896C","alpha-calacrene",NA,NA,"2896C","alpha-bisabolone oxide a","",NA
"2106","2897C","alpha-calamenene",NA,NA,"2897C","cadina-1,4-diene (cubenene)","",NA
"2107","2898C","alpha-calarorene",NA,NA,"2898C","(e,e)-3,5-octadien-2-one","",NA
"2108","2899C","alpha-calcorene",NA,NA,"2899C","methyl guaiacol","",NA
"2109","289C","aromadendrene",NA,NA,"289C","gamma-eudesmol","",NA
"2110","28C","(e)-cinnamyl acetate",NA,NA,"28C","myrcene","",NA
"2111","2900C","alpha-calocorene",NA,NA,"2900C","14-hydroxy-9-epi-(e)-caryophyllene","",NA
"2112","2901C","alpha-camphene",NA,NA,"2901C","5-methyl-3-heptanone","",NA
"2113","2902C","alpha-camphenolicaldehyde",NA,NA,"2902C","alpha-bisabololoxide","",NA
"2114","2903C","alpha-campholenalaldehyde",NA,NA,"2903C","alpha-cedrene epoxide","",NA
"2115","2904C","alpha-campholene aldehyde",NA,NA,"2904C","benzyl propanoate","",NA
"2116","2905C","alpha-campholene aldehyde (+ alpha-copaene)",NA,NA,"2905C","butyl-2-methylbutyrate","",NA
"2117","2906C","alpha-campholeneÂ aldehyde",NA,NA,"2906C","cis-en-yn-bicycloether","",NA
"2118","2907C","alpha-campholenealcohol",NA,NA,"2907C","delta-atlantol","",NA
"2119","2908C","alpha-campholenol",NA,NA,"2908C","(e)-cadina-1(6),4-diene","",NA
"2120","2909C","alpha-camphonal",NA,NA,"2909C","furfuryl methyl sulfide","",NA
"2121","290C","aromadendrene oxide",NA,NA,"290C","heptadecane","",NA
"2122","2910C","alpha-camphonelal",NA,NA,"2910C","guaia-3,10(14)-dien-11-ol","",NA
"2123","2911C","alpha-cardinene",NA,NA,"2911C","neo-iso(iso)pulegyl acetate","",NA
"2124","2912C","alpha-cardinol",NA,NA,"2912C","trans-en-yn-bicycloether","",NA
"2125","2913C","alpha-cariophylene",NA,NA,"2913C","(z)-2-heptenal","",NA
"2126","2914C","alpha-caryophylladienol",NA,NA,"2914C","(z)-2-hexenylisovalerate","",NA
"2127","2915C","alpha-caryophyllene alcohol",NA,NA,"2915C","bisabolol oxide a","",NA
"2128","2916C","alpha-caryophyllenyl alcohol",NA,NA,"2916C","bisabolol oxide b","",NA
"2129","2917C","alpha-cedranol",NA,NA,"2917C","alpha-cyperone","",NA
"2130","2918C","alpha-cedrene epoxide",NA,NA,"2918C","cypera-2,4-diene","",NA
"2131","2919C","alpha-cedrene isomer",NA,NA,"2919C","cyperotundene","",NA
"2132","291C","artemisia alcohol",NA,NA,"291C","heptadecanoic acid","",NA
"2133","2920C","alpha-cedrol",NA,NA,"2920C","cyprotene","",NA
"2134","2921C","alpha-celinene",NA,NA,"2921C","isocyperol","",NA
"2135","2922C","alpha-cendrene",NA,NA,"2922C","isorotundene","",NA
"2136","2923C","alpha-chamigrene",NA,NA,"2923C","geranio","",NA
"2137","2924C","alpha-chamipinene",NA,NA,"2924C","(e)-2,2-decenal","",NA
"2138","2925C","alpha-cis-bergamotene",NA,NA,"2925C","geranylÃ‚Â acetate","",NA
"2139","2926C","alpha-cis-santalol",NA,NA,"2926C","cannabichromene","",NA
"2140","2927C","alpha-citral",NA,NA,"2927C","cannabidiol","",NA
"2141","2928C","alpha-citronellol",NA,NA,"2928C","delta-9-tetrahydrocannabinol","",NA
"2142","2929C","alpha-coapaene",NA,NA,"2929C","beta-citronellol","",NA
"2143","292C","artemisia ketone",NA,NA,"292C","heptanoic acid","",NA
"2144","2930C","alpha-colcorene",NA,NA,"2930C","beta-phellandrene+1,8-cineole","",NA
"2145","2931C","alpha-comphlenal",NA,NA,"2931C","terpinen-4ol","",NA
"2146","2932C","alpha-copaen",NA,NA,"2932C","2-methyl-5-phenol","",NA
"2147","2933C","alpha-copaen-11-ol",NA,NA,"2933C","decenal","",NA
"2148","2934C","alpha-copaen-8-ol",NA,NA,"2934C","(z)-isoapiole+dillapiole","",NA
"2149","2935C","alpha-copaene/biphenyl",NA,NA,"2935C","2-dodecenol","",NA
"2150","2936C","alpha-copaene+dihydroedulan-ii",NA,NA,"2936C","cis-muurola-alpha-4(14),-5-diene","",NA
"2151","2937C","alpha-copeane",NA,NA,"2937C","drimalpha-7,9(11)-diene","",NA
"2152","2938C","alpha-corocalene",NA,NA,"2938C","deltra-3-carene","",NA
"2153","2939C","alpha-costol",NA,NA,"2939C","sandaracopimara-8(14),15-diene","",NA
"2154","293C","artemisiaacetate",NA,NA,"293C","hexadecanal","",NA
"2155","2940C","alpha-cubebeno",NA,NA,"2940C","sopimara-9(11),15-diene","",NA
"2156","2941C","alpha-cubene",NA,NA,"2941C","ketones","",NA
"2157","2942C","alpha-cubenene",NA,NA,"2942C","limonene oxide","",NA
"2158","2943C","alpha-cubenol",NA,NA,"2943C","perillyl alcohol","",NA
"2159","2944C","alpha-cuparene",NA,NA,"2944C","p-mentha-2,8-dien-1-ol","",NA
"2160","2945C","alpha-cuprenene+(e,e)-alpha-farnesene",NA,NA,"2945C","dehydrocarveol","",NA
"2161","2946C","alpha-curjunene",NA,NA,"2946C","limonene diepoxide","",NA
"2162","2947C","alpha-cyclocitral",NA,NA,"2947C","terpinylacetate a","",NA
"2163","2948C","alpha-cyclocostunolide",NA,NA,"2948C","citonellyl formate","",NA
"2164","2949C","alpha-cyclogeraniol",NA,NA,"2949C","delta-caryophyllene","",NA
"2165","294C","ar-tumerone",NA,NA,"294C","hexadecanoic acid","",NA
"2166","2950C","alpha-cyperone",NA,NA,"2950C","delta-dihydroagarofuran","",NA
"2167","2951C","alpha-decahydronaphthalene derivative",NA,NA,"2951C","2-hydroxypiperitone","",NA
"2168","2952C","alpha-duprezianene",NA,NA,"2952C","dihydrocarvyl acetate","",NA
"2169","2953C","alpha-eksantalal",NA,NA,"2953C","gamma-3-carene","",NA
"2170","2954C","alpha-elaskene",NA,NA,"2954C","neo-isomethyl acetate","",NA
"2171","2955C","alpha-elemene",NA,NA,"2955C","trans-isopulegone","",NA
"2172","2956C","alpha-elemol",NA,NA,"2956C","8,9-dehydrothymol","",NA
"2173","2957C","alpha-epi-cadinol",NA,NA,"2957C","caryophylla-2(12),6(13)-diene-5-alpha-ol","",NA
"2174","2958C","alpha-epi-muurolol",NA,NA,"2958C","caryophylla-2(12),6-diene-5alpha-ol","",NA
"2175","2959C","alpha-eudesmol+valerianol",NA,NA,"2959C","cis-allo-ocimene","",NA
"2176","295C","ar-turmerol",NA,NA,"295C","hexadecanol","",NA
"2177","2960C","alpha-eudesmyl acetate",NA,NA,"2960C","d-cadinene","",NA
"2178","2961C","alpha-farneseneÂ",NA,NA,"2961C","dihydroactinodiolide","",NA
"2179","2962C","alpha-fenchene (in mixture)",NA,NA,"2962C","pseudo-diosphenol","",NA
"2180","2963C","alpha-fenchocamphorone",NA,NA,"2963C","2-phenylethylisovalerqate","",NA
"2181","2964C","alpha-fenchol acetate",NA,NA,"2964C","carvavrol","",NA
"2182","2965C","alpha-fenchone",NA,NA,"2965C","cis-cabinene hydrate","",NA
"2183","2966C","alpha-fenchyl alcohol",NA,NA,"2966C","eremophyllene","",NA
"2184","2967C","alpha-funebrene",NA,NA,"2967C","ethyl isdvalerate","",NA
"2185","2968C","alpha-guaiene oxide",NA,NA,"2968C","ethyl valerate","",NA
"2186","2969C","alpha-guaiene*",NA,NA,"2969C","p-cymen-8-yl acetate","",NA
"2187","296C","atlantone",NA,NA,"296C","hexanoic acid","",NA
"2188","2970C","alpha-guaiol",NA,NA,"2970C","alpha-acoradien","",NA
"2189","2971C","alpha-guajene",NA,NA,"2971C","alpha-bourbonene","",NA
"2190","2972C","alpha-himachalene",NA,NA,"2972C","(e)-geraniol","",NA
"2191","2973C","alpha-humelene",NA,NA,"2973C","gamma-campholenic aldehyde","",NA
"2192","2974C","alpha-humulene*",NA,NA,"2974C","isoitalicene","",NA
"2193","2975C","alpha-humuleneepoxide-i",NA,NA,"2975C","isopimaradien","",NA
"2194","2976C","alpha-humuleneepoxide-ii",NA,NA,"2976C","italicene ether","",NA
"2195","2977C","alpha-irone",NA,NA,"2977C","p-mentha-1,5-dien-7-ol","",NA
"2196","2978C","alpha-isophorone",NA,NA,"2978C","salviadienol","",NA
"2197","2979C","alpha-kaurene",NA,NA,"2979C","theaspirane a","",NA
"2198","297C","azulene",NA,NA,"297C","linoleic acid","",NA
"2199","2980C","alpha-kessyl acetate",NA,NA,"2980C","theaspirane b","",NA
"2200","2981C","alpha-kessyl alcohol",NA,NA,"2981C","m-cresolacetate","",NA
"2201","2982C","alpha-linolenic acid",NA,NA,"2982C","caryophylla-2(12),6-dien-5-alpha-ol","",NA
"2202","2983C","alpha-linolinic acid",NA,NA,"2983C","furfuryl octanoate","",NA
"2203","2984C","alpha-longifolene",NA,NA,"2984C","m-cymenene","",NA
"2204","2985C","alpha-longipine",NA,NA,"2985C","2,4,6-trimethylbenzaldehyde","",NA
"2205","2986C","alpha-maaliene",NA,NA,"2986C","3-methoxyacetophenone","",NA
"2206","2987C","alpha-menthatriene",NA,NA,"2987C","longipinene epoxide","",NA
"2207","2988C","alpha-methyloctenol (two isomers)",NA,NA,"2988C","nonmenthone","",NA
"2208","2989C","alpha-murolene",NA,NA,"2989C","calamenen","",NA
"2209","298C","benzaldehyde",NA,NA,"298C","nonanoic acid","",NA
"2210","2990C","alpha-murolol",NA,NA,"2990C","flavesone","",NA
"2211","2991C","alpha-murrolene",NA,NA,"2991C","leptospermone","",NA
"2212","2992C","alpha-muurelene",NA,NA,"2992C","14-hydroxy-beta-cadinene","",NA
"2213","2993C","alpha-muurolen-15-al",NA,NA,"2993C","alpha-cyclocitral","",NA
"2214","2994C","alpha-muurolol*",NA,NA,"2994C","p-menthalpha-1,3,8-triene","",NA
"2215","2995C","alpha-myrcene",NA,NA,"2995C","trans-piperito","",NA
"2216","2996C","alpha-necrodol",NA,NA,"2996C","10-epi-cubebol","",NA
"2217","2997C","alpha-necrodyl acetate",NA,NA,"2997C","4-oxo-beta-ionone","",NA
"2218","2998C","alpha-neo-clovene",NA,NA,"2998C","beta-acoradienol","",NA
"2219","2999C","alpha-neocallitropscene",NA,NA,"2999C","presilphiperfoan-8-ol","",NA
"2220","299C","benzene acetaldehyde",NA,NA,"299C","octadecanoic acid","",NA
"2221","29C","(e)-cinnamyl valerate",NA,NA,"29C","palustrol","",NA
"2222","2C","(2e)-octen-1-ol",NA,NA,"2C","allo-aromadendrene","",NA
"2223","3000C","alpha-neoclovene",NA,NA,"3000C","presilphiperfol-7-ene","",NA
"2224","3001C","alpha-nonanone",NA,NA,"3001C","cabreuvaoxide-v","",NA
"2225","3002C","alpha-ocimene",NA,NA,"3002C","caryophylla-2(12),6-diene-5-beta-ol","",NA
"2226","3003C","alpha-ocmeney",NA,NA,"3003C","1-undecyn-4-ol","",NA
"2227","3004C","alpha-oxobisabolene",NA,NA,"3004C","2-decenoic acid","",NA
"2228","3005C","alpha-p-menthadienol",NA,NA,"3005C","2-dodecenoic acid","",NA
"2229","3006C","alpha-panasinsene",NA,NA,"3006C","(e)-2-hexadecenal","",NA
"2230","3007C","alpha-patchoulene",NA,NA,"3007C","isobutylphthalatea","",NA
"2231","3008C","alpha-petasitene",NA,NA,"3008C","trans-1,2-limonene epoxide","",NA
"2232","3009C","alpha-phellandrene oxide",NA,NA,"3009C","1-nonen-3-ol","",NA
"2233","300C","benzenepropanal",NA,NA,"300C","octanoic acid","",NA
"2234","3010C","alpha-phellandrene+alpha-terpinene",NA,NA,"3010C","linalool+linalylacetate","",NA
"2235","3011C","alpha-phellaplsrene",NA,NA,"3011C","4-hydroxy-3,4-dihydrocalacorene (isomer ii)","",NA
"2236","3012C","alpha-pinene + thujene",NA,NA,"3012C","4-hydroxy-3,4-dihydrocalacorene (isomer i)","",NA
"2237","3013C","alpha-pinene epoxide",NA,NA,"3013C","beta-caryophyllene alcohol","",NA
"2238","3014C","alpha-pinene oxide",NA,NA,"3014C","humuene epoxide i","",NA
"2239","3015C","alpha-pinene oxide isomer1",NA,NA,"3015C","(z)-cinnamyl acetate","",NA
"2240","3016C","alpha-pinene+alpha-thujene",NA,NA,"3016C","3-phenylpropanal","",NA
"2241","3017C","alpha-pineneâ",NA,NA,"3017C","o-methoxy cinnamaldehyde","",NA
"2242","3018C","alpha-pineneoxide",NA,NA,"3018C","1,2-dimethylcyclohexane","",NA
"2243","3019C","alpha-pinocaweol",NA,NA,"3019C","1,3-dimethylcuclohexane","",NA
"2244","301C","benzocyclobutane",NA,NA,"301C","pentadecanal","",NA
"2245","3020C","alpha-sabinene",NA,NA,"3020C","2-heptadecanol","",NA
"2246","3021C","alpha-santalal",NA,NA,"3021C","2-hexadecanol","",NA
"2247","3022C","alpha-santaldiol",NA,NA,"3022C","(z,z)-1,5-cyclodecadiene","",NA
"2248","3023C","alpha-santalen-12-one",NA,NA,"3023C","butyric acid","",NA
"2249","3024C","alpha-santalol",NA,NA,"3024C","octyl isobutyrate","",NA
"2250","3025C","alpha-santonin",NA,NA,"3025C","duraldehyde","",NA
"2251","3026C","alpha-sedrene",NA,NA,"3026C","3-dodecenal","",NA
"2252","3027C","alpha-selina-11-en-4-alpha-ol",NA,NA,"3027C","5-eicosene","",NA
"2253","3028C","alpha-selina-11-en 4-ol",NA,NA,"3028C","dodecenol","",NA
"2254","3029C","alpha-selinen-3-one",NA,NA,"3029C","(e)-3(10)-caren-2-ol","",NA
"2255","302C","benzyl alcohol",NA,NA,"302C","pentadecanoic acid","",NA
"2256","3030C","alpha-sesquiphellandrene",NA,NA,"3030C","(e)-asarone","",NA
"2257","3031C","alpha-sinensal",NA,NA,"3031C","(z)-5-nonadecene","",NA
"2258","3032C","alpha-teresantalic acid",NA,NA,"3032C","(z,e)-2,4-undecadiene","",NA
"2259","3033C","alpha-termerone",NA,NA,"3033C","(e,e)-germacrone","",NA
"2260","3034C","alpha-terpenyl acetate",NA,NA,"3034C","(z,z)-germacrone","",NA
