compound_identifier,EssOilDB_entry,,original_name,cleaned_name,name_comments,compound_id
1271C,(z)-hex-2-en-1-ol,,NA,NA,NA,
1272C,(z)-hex-3-en-1-ol,,NA,NA,NA,
1273C,(z)-hexenol,,NA,NA,NA,
1274C,(z)-hexenyl benzoate,,NA,NA,NA,
1275C,(z)-hydroxy-sesquicineole,,NA,NA,NA,
1276C,(z)-isoapiole+dillapiole,,NA,NA,NA,
1277C,(z)-isocitral,,NA,NA,NA,
1278C,(z)-isoelemicin,,NA,NA,NA,
1279C,(z)-isoeugenol,,NA,NA,NA,
1280C,(z)-isoeugenyl acetate,,NA,NA,NA,
1281C,(z)-isogeranic acid,,NA,NA,NA,
1282C,(z)-isomyristicin,,NA,NA,NA,
1283C,(z)-jasmone,,NA,NA,NA,
1284C,(z)-lachnophyllum ester,,NA,NA,NA,
1285C,(z)-lanceol,,NA,NA,NA,
1286C,(z)-lanceol acetate,,NA,NA,NA,
1287C,(z)-ligustillide + mint sulfide,,NA,NA,NA,
1288C,(z)-limoneneÂ oxide,,NA,NA,NA,
1289C,(z)-linalool oxide,,NA,NA,NA,
1290C,(z)-linalool oxide (furanoid),,NA,NA,NA,
1291C,(z)-linalool oxide (pyranoid),,NA,NA,NA,
1292C,(z)-linaloolÂ oxide,,NA,NA,NA,
1293C,(z)-methyl cinnamate,,NA,NA,NA,
1294C,(z)-methyl dihydrojasmonate,,NA,NA,NA,
1295C,(z)-methyl jasmonate,,NA,NA,NA,
1296C,(z)-methylisoeugenol,,NA,NA,NA,
1297C,(z)-nerolidol + germacrene b,,NA,NA,NA,
1298C,(z)-nerolidol acetate,,NA,NA,NA,
1299C,(z)-ocimene,,NA,NA,NA,
1300C,(z)-ocimenone,,NA,NA,NA,
1301C,(z)-octadec-9-enal,,NA,NA,NA,
1302C,(z)-oleic acid,,NA,NA,NA,
1303C,(z)-p-farnesene,,NA,NA,NA,
1304C,"(Z)-p-mentha-1,5-dien-8-ol",,NA,NA,NA,
1305C,(z)-palmitoleic acid,,NA,NA,NA,
1306C,(Z)-Para-menth-2-en-1-ol,,NA,NA,NA,
1307C,(z)-phytol,,NA,NA,NA,
1308C,(z)-sabinene hydrate,,NA,NA,NA,
1309C,(z)-sabineneÂ hydrate,,NA,NA,NA,
1310C,(z)-sabinol,,NA,NA,NA,
1311C,(z)-salvene,,NA,NA,NA,
1312C,(z)-sesquilavandulol,,NA,NA,NA,
1313C,(Z)-Sesquisabinene hydrate,,NA,NA,NA,
1314C,(z)-theaspiran,,NA,NA,NA,
1315C,(z)-thujone,,NA,NA,NA,
1316C,(z)-thujopsene,,NA,NA,NA,
1317C,(z)-trimenal,,NA,NA,NA,
1318C,(z)-zasmone,,NA,NA,NA,
1319C,(z) beta-ocimene,,NA,NA,NA,
1320C,(z) hex-3-enylacetate,,NA,NA,NA,
1321C,(z)â9-octadecen-1-ol,,NA,NA,NA,
1322C,"(z,Â e)-farnesol",,NA,NA,NA,
1323C,"(z,e)-2,4-undecadiene",,NA,NA,NA,
1324C,"(z,e)-2,6-farnesol",,NA,NA,NA,
1325C,"(z,e)-2,6-farnesyl acetate",,NA,NA,NA,
1326C,"(z,e)-allo-ocimene",,NA,NA,NA,
1327C,"(z,e)-farnesal",,NA,NA,NA,
1328C,"(z,e)-farnesol",,NA,NA,NA,
1329C,"(z,e)-farnesyl acetate",,NA,NA,NA,
1330C,"(z,e)-geranyl linalool",,NA,NA,NA,
1331C,"(z,e)-isoeugenols",,NA,NA,NA,
1332C,"(z,e) alpha-farnasene",,NA,NA,NA,
1333C,"(z,z)-1,5-cyclodecadiene",,NA,NA,NA,
1334C,"(z,z)-2,6-nonadienal",,NA,NA,NA,
1335C,"(z,z)-3,6-nonadienol",,NA,NA,NA,
1336C,"(z,z)-6,9-pentadecadien-1-ol",,NA,NA,NA,
1337C,"(z,z)-8-11-heptadecadienal",,NA,NA,NA,
1338C,"(z,z)-9-12-octadecadienoic acid",,NA,NA,NA,
1339C,"(z,z)-9,12-methyl octadecadienoate",,NA,NA,NA,
1340C,"(z,z)-allo-ocimene",,NA,NA,NA,
1341C,"(z,z)-bisabola-2,7,10-trien-13-ol",,NA,NA,NA,
1342C,"(z,z)-farnesol",,NA,NA,NA,
1343C,"(z,z)-farnesyl acetate",,NA,NA,NA,
1344C,"(z,z)-germacrone",,NA,NA,NA,
1345C,"(z,z)-matricaria ester",,NA,NA,NA,
1346C,"(z,z,z)-7,10,13-hexadecatrienal",,NA,NA,NA,
1347C,"(z,z,z)-8-11-14-heptadecatrienal",,NA,NA,NA,
1348C,"(z,z,z)-9-12-15-octadecatrienoic acid",,NA,NA,NA,
1349C,[6]-gingerdione,,NA,NA,NA,
1350C,[6]-gingerol,,NA,NA,NA,
1351C,[e]-nerolidol,,NA,NA,NA,
1352C,0.001ans-ocimene,,NA,NA,NA,
1353C,"1-(2-butylidene)-2,6,6-trimethylcyclohexa-2,4-diene",,NA,NA,NA,
1354C,1-(2-furanyl)-2-butanone,,NA,NA,NA,
1355C,"1-(2,4,6-trimethylphenyl)-buta-1,3-diene",,NA,NA,NA,
1356C,"1-(2,5-dimethyl-3-furyl)-ethanone",,NA,NA,NA,
1357C,1-(4-methoxy phenyl)-2-propanone,,NA,NA,NA,
1358C,1-(4-methyl-3-cyclohexenyl)-ethanone,,NA,NA,NA,
1359C,1-(4-methylphenyl)-ethanol,,NA,NA,NA,
1360C,"1-(e,e)-3,5-undecatriene",,NA,NA,NA,
1361C,1-(methylethyl)-naphthalene,,NA,NA,NA,
1362C,"1-acetoxy-decadiene-(2t,6t)-in-4",,NA,NA,NA,
1363C,1-acetyl-2-methylcyclopent-2-ene,,NA,NA,NA,
1364C,"1-allyl-2,4-dimethoxybenzene",,NA,NA,NA,
1365C,1-alpha-terpineol,,NA,NA,NA,
1366C,1-beta-10-epoxyfuranoeremophilane,,NA,NA,NA,
1367C,1-bisabolone,,NA,NA,NA,
1368C,1-borneol,,NA,NA,NA,
1369C,1-butanol,,NA,NA,NA,
1370C,"1-butanol, 2-methyl acetate",,NA,NA,NA,
1371C,"1-butanol, 3-methyl acetate",,NA,NA,NA,
1372C,1-butoxy-1-ethoxy ethane,,NA,NA,NA,
1373C,1-butyl hexylbenzene,,NA,NA,NA,
1374C,1-butylacetate,,NA,NA,NA,
1375C,1-butylnonylbenzene,,NA,NA,NA,
1376C,1-butyloctylbenzene,,NA,NA,NA,
1377C,1-caryophyllene,,NA,NA,NA,
1378C,"1-cyano-3,4-epithiobutane",,NA,NA,NA,
1379C,1-cyclohexene-1-methanol,,NA,NA,NA,
1380C,1-cyclohexenylmethylketone,,NA,NA,NA,
1381C,1-decen-3-ol,,NA,NA,NA,
1382C,1-decene,,NA,NA,NA,
1383C,1-docosene,,NA,NA,NA,
1384C,1-dodecane,,NA,NA,NA,
1385C,1-dodecanol,,NA,NA,NA,
1386C,1-eicosene,,NA,NA,NA,
1387C,1-endo-bourbanonol,,NA,NA,NA,
1388C,1-endo-bourbonanol,,NA,NA,NA,
1389C,1-epi-alpha-cadinol + delta-cadinol,,NA,NA,NA,
1390C,1-epi-alpha-cubenol,,NA,NA,NA,
1391C,1-epi-bicyclosesquiphellandrene,,NA,NA,NA,
1392C,1-epi-cadinol,,NA,NA,NA,
1393C,1-epi-cubebene,,NA,NA,NA,
1394C,1-epi-cubebol,,NA,NA,NA,
1395C,1-epi-cubeno,,NA,NA,NA,
1396C,1-epi-cubenol*,,NA,NA,NA,
1397C,1-epi-gamma-eudesmol,,NA,NA,NA,
1398C,1-epi-globulol,,NA,NA,NA,
1399C,1-ethoxy-1-pentoxyethane,,NA,NA,NA,
1400C,1-ethyl-3-methybenzene,,NA,NA,NA,
1401C,1-ethyl-3-methylbenzene,,NA,NA,NA,
1402C,1-ethyl-4-methylbenzene,,NA,NA,NA,
1403C,1-ethylnaphthalene,,NA,NA,NA,
1404C,1-ethyloctylbenzene,,NA,NA,NA,
1405C,1-heneicosene,,NA,NA,NA,
1406C,1-heptadecene,,NA,NA,NA,
1407C,1-heptanol,,NA,NA,NA,
1408C,1-hepten-3-ol,,NA,NA,NA,
1409C,1-hexanol,,NA,NA,NA,
1410C,1-hexdecanol,,NA,NA,NA,
1411C,1-hexen-3-ol,,NA,NA,NA,
1412C,1-hexen-3-one,,NA,NA,NA,
1413C,"1-hydroxy-1-methyl-7-methylethyl-1,2,3,3a,4,5,6,7,octahydro azulene",,NA,NA,NA,
1414C,"1-hydroxy-1, 7-dimethyl-4-iso",,NA,NA,NA,
1415C,"1-hydroxy-1,7-dimethyl-4-isopropyl-2,7-cyclodecadiene",,NA,NA,NA,
1416C,1-hydroxy-2-heptanone,,NA,NA,NA,
1417C,"1-hydroxy-2,4,4-trimethyl-pent-3-ylisobutyrate",,NA,NA,NA,
1418C,1-hydroxy isopulegol,,NA,NA,NA,
1419C,1-hydroxy linalool,,NA,NA,NA,
1420C,1-isobutyryloxy-eugenol isobutyrate,,NA,NA,NA,
1421C,1-menthone,,NA,NA,NA,
1422C,1-methoxy-4-propylbenzene,,NA,NA,NA,
1423C,1-methoxynaphthalene,,NA,NA,NA,
1424C,1-methyl-3-(1-methylethyl)-benzene,,NA,NA,NA,
1425C,1-methyl-4-acetyl-1-cyclohexene,,NA,NA,NA,
1426C,1-methyl-4-acetylcyclohex-1-ane,,NA,NA,NA,
1427C,1-methyl-4-acetylcyclohex-1-ene,,NA,NA,NA,
1428C,1-methyl-4-isopropylidene cyclohexane,,NA,NA,NA,
1429C,1-methyl-4-propenylbenzene,,NA,NA,NA,
1430C,1-methyl cycloheptanal,,NA,NA,NA,
1431C,1-methyldecylbenzene,,NA,NA,NA,
1432C,1-naphthalenol,,NA,NA,NA,
1433C,"1-napthalenol,1,2,3,4, 4a, 7",,NA,NA,NA,
1434C,1-nonadecanol,,NA,NA,NA,
1435C,1-nonadecene,,NA,NA,NA,
1436C,1-nonanal,,NA,NA,NA,
1437C,1-nonanol,,NA,NA,NA,
1438C,1-nonene,,NA,NA,NA,
1439C,1-nonene-3-ol,,NA,NA,NA,
1440C,1-nor-bourbonanone,,NA,NA,NA,
1441C,1-nor-bourbonene,,NA,NA,NA,
1442C,1-octadecane,,NA,NA,NA,
1443C,1-octadecanol,,NA,NA,NA,
1444C,1-octan-3-ol,,NA,NA,NA,
1445C,1-octen-2-one,,NA,NA,NA,
1446C,1-octen-3-one,,NA,NA,NA,
1447C,1-octen-3-yl acetate,,NA,NA,NA,
1448C,1-octen-3-ylÂ acetate,,NA,NA,NA,
1449C,1-octen 3-ol,,NA,NA,NA,
1450C,1-octene,,NA,NA,NA,
1451C,1-octene-3-ol,,NA,NA,NA,
1452C,1-octenyl acetate,,NA,NA,NA,
1453C,1-octyl acetate,,NA,NA,NA,
1454C,1-p-mentha-en-4-ol,,NA,NA,NA,
1455C,1-pentacosene,,NA,NA,NA,
1456C,1-pentadecane,,NA,NA,NA,
1457C,1-pentadecyne,,NA,NA,NA,
1458C,1-pentanol,,NA,NA,NA,
1459C,1-pentanoyloxy-eugenol isobutyrate,,NA,NA,NA,
1460C,1-penten-3-ol,,NA,NA,NA,
1461C,1-penten-3-one,,NA,NA,NA,
1462C,"1-pentyl-1,3-cyclohexadiene",,NA,NA,NA,
1463C,1-pentyl heptylbenzene,,NA,NA,NA,
1464C,1-pentyl hexylbenzene,,NA,NA,NA,
1465C,1-pentyl octylbenzene,,NA,NA,NA,
1466C,"1-phenyl-2,4-hexadiyn-1-one",,NA,NA,NA,
1467C,1-phenylethylacetate,,NA,NA,NA,
1468C,"1-phenylhept-5-ena-1,3-diyne",,NA,NA,NA,
1469C,"1-phenylhepta-1,3,5-triyne",,NA,NA,NA,
1470C,1-phenylpropanol,,NA,NA,NA,
1471C,1-propanol,,NA,NA,NA,
1472C,1-propenylbenzene,,NA,NA,NA,
1473C,1-propyldecylbenzene,,NA,NA,NA,
1474C,1-propylheptylbenzene,,NA,NA,NA,
1475C,1-propylnonyl benzene,,NA,NA,NA,
1476C,1-propyloctylbenzene,,NA,NA,NA,
1477C,1-propylsec-butyl-disulfide,,NA,NA,NA,
1478C,1-pyridinyl-2-propan-1-one,,NA,NA,NA,
1479C,"1-sencionyloxy-decadin-4,6-en-2e",,NA,NA,NA,
1480C,"1-sencionyloxy-decadiyn-(4,6)-diene(2e,8e)",,NA,NA,NA,
1481C,"1-sencionyloxy-decatrien-(2e,6e,8e)-in",,NA,NA,NA,
1482C,1-terpineol,,NA,NA,NA,
1483C,1-tetradecanol,,NA,NA,NA,
1484C,1-tetradecene,,NA,NA,NA,
1485C,1-tricosane,,NA,NA,NA,
1486C,1-tricosene,,NA,NA,NA,
1487C,1-tridecene,,NA,NA,NA,
1488C,1-undecane,,NA,NA,NA,
1489C,1-undecyn-4-ol,,NA,NA,NA,
1490C,"1 – napthalenamine, 4 – bromo",,NA,NA,NA,
1491C,1 alpha-trans-calamenene,,NA,NA,NA,
1492C,"1 alpha,10 alpha-epoxy-amorph-4-ene",,NA,NA,NA,
1493C,"1(10),4-cadinen-8-alpha-ol",,NA,NA,NA,
1494C,"1(7),8-p-menthene",,NA,NA,NA,
1495C,"1, 10-dodacatrien-3-ol,3, 11-trimethyl",,NA,NA,NA,
1496C,"1, 8-cineole",,NA,NA,NA,
1497C,"1,""10-di-epi-cubenol",,NA,NA,NA,
1498C,"1,""8-cineole",,NA,NA,NA,
1499C,"1,1-dichloropropane",,NA,NA,NA,
1500C,"1,1-diethoxy-2-methyl butane",,NA,NA,NA,
1501C,"1,1-diethoxyethane",,NA,NA,NA,
1502C,"1,1-diethoxyhexane",,NA,NA,NA,
1503C,"1,1-dithoxynonanone",,NA,NA,NA,
1504C,"1,1,2,3-tetramethyl-4-hydroxymethyl-2-cyclopentene",,NA,NA,NA,
1505C,"1,1,6-trimethyl-1,2-dihydronepthalene",,NA,NA,NA,
1506C,"1,10-beta-epoxy-6-oxo furano eremophilane",,NA,NA,NA,
1507C,"1,10-epoxi-11-bulnesene",,NA,NA,NA,
1508C,"1,11-oxidocalamenene",,NA,NA,NA,
1509C,"1,11(e)-tridecadien-3,5,7,9-tetrayne",,NA,NA,NA,
1510C,"1,12-epoxycadina-3,11-diene",,NA,NA,NA,
1511C,"1,2-benzothiazole",,NA,NA,NA,
1512C,"1,2-dihydrdelta-1,1,6-trimethylnaphthalene",,NA,NA,NA,
1513C,"1,2-Dihydro-1,1,6-trimethyl naphthalene",,NA,NA,NA,
1514C,"1,2-dimethoxy benzene",,NA,NA,NA,
1515C,"1,2-dimethoxybenzene",,NA,NA,NA,
1516C,"1,2-dimethoxyethylbenzene",,NA,NA,NA,
1517C,"1,2-dimethylcyclohexane",,NA,NA,NA,
1518C,"1,2-dimethylcyclopentane",,NA,NA,NA,
1519C,"1,2-epoxymenthol",,NA,NA,NA,
1520C,"1,2-epoxymenthylacetate",,NA,NA,NA,
1521C,"1,2-epoxysalvial-4(14)-ene",,NA,NA,NA,
1522C,"1,2,3-trichloro propanol",,NA,NA,NA,
1523C,"1,2,3-trimethylbenzene",,NA,NA,NA,
1524C,"1,2,3,4-(tetrahydro-1,6-dimethyl)-napthalene",,NA,NA,NA,
1525C,"1,2,3,4,4-etramethyi-benzene",,NA,NA,NA,
1526C,"1,2,3,4,4a,5,6,8a-octahydro-7,4-dimethyl-1- propylnaphthalene",,NA,NA,NA,
1527C,"1,2,3,4,4a,7-hexahydro-1,6-dimethyl-4-(1 -methylethyl)-naphthalene",,NA,NA,NA,
1528C,"1,2,3,4.4a,5,6,8a-octrahydro-7-methylnepthalene",,NA,NA,NA,
1529C,"1,2,3,6-tetramethyl-bicyclo(2.2.0)octa-2,5-dien",,NA,NA,NA,
1530C,"1,2,4-trihydroxy-p-menthane",,NA,NA,NA,
1531C,"1,2,4-trimethoxybenzene",,NA,NA,NA,
1532C,"1,2,4-trimethyibenzene",,NA,NA,NA,
1533C,"1,2,4-trimethyl benzene",,NA,NA,NA,
1534C,"1,2,4-trimethylbenzene",,NA,NA,NA,
1535C,"1,2,4,4-tetramethylcyclopentane",,NA,NA,NA,
1536C,"1,2,dichloroacetone",,NA,NA,NA,
1537C,"1,3-benzothiazole",,NA,NA,NA,
1538C,"1,3-dimethoxy-5-isopropylbenzene",,NA,NA,NA,
1539C,"1,3-dimethyl benzene",,NA,NA,NA,
1540C,"1,3-dimethylcuclohexane",,NA,NA,NA,
1541C,"1,3-dimethylcyclopentane",,NA,NA,NA,
1542C,"1,3-dimethylnaphthalene",,NA,NA,NA,
1543C,"1,3-dioxan-5-ol",,NA,NA,NA,
1544C,"1,3-octadiene",,NA,NA,NA,
1545C,"1,3,10-bisabolatriene",,NA,NA,NA,
1546C,"1,3,3-trimethyl-2-oxa-bicyclo [2,2,2] oct-5-ene",,NA,NA,NA,
1547C,"1,3,4-trimethyl-3-cyclohexene-1-carboxaldehyde",,NA,NA,NA,
1548C,"1,3,5-trimethoxybenzene",,NA,NA,NA,
1549C,"1,3,5-trimethylbenzene",,NA,NA,NA,
1550C,"1,3,5-undecatriene + 1-(e,z,z)-3,5,8-undecatetraene",,NA,NA,NA,
1551C,"1,3,5,8-undecatetraene",,NA,NA,NA,
1552C,"1,3,5,9-bisabolatetraen-11-ol",,NA,NA,NA,
1553C,"1,3,6-trimethylnapthalene",,NA,NA,NA,
1554C,"1,3,7(11)-elematriene",,NA,NA,NA,
1555C,"1,3,8-ρ-menthatriene",,NA,NA,NA,
1556C,"1,3,8-p-methatriene",,NA,NA,NA,
1557C,"1,4-(cis)-1,7-(trans)-acorenone",,NA,NA,NA,
1558C,"1,4-(trans)-1,7-(trans)-acorenone",,NA,NA,NA,
1559C,"1,4-cadinadiene",,NA,NA,NA,
1560C,"1,4-cineole",,NA,NA,NA,
1561C,"1,4-dimethoxybenzene",,NA,NA,NA,
1562C,"1,4-dimethylazulene",,NA,NA,NA,
1563C,"1,4-dimethylbenzene",,NA,NA,NA,
1564C,"1,4-dimethylnaphthalene",,NA,NA,NA,
1565C,"1,4-p-menthadien-7-ol",,NA,NA,NA,
1566C,"1,4,9-cadalatrieneb",,NA,NA,NA,
1567C,"1,5-di-epi-bourbonene",,NA,NA,NA,
1568C,"1,5-dimethylcyclopentene",,NA,NA,NA,
1569C,"1,5-diphenyl-2-pentene",,NA,NA,NA,
1570C,"1,5-diphenyl-3-pentanone",,NA,NA,NA,
1571C,"1,5-epoxy-1(10)-cadinene",,NA,NA,NA,
1572C,"1,5-epoxy-salvial-4(14)-en-1-one",,NA,NA,NA,
1573C,"1,5-heptadiene,2,5- dimethyl3-methylene",,NA,NA,NA,
1574C,"1,5-heptadiene,2,5-dimethyl-3-methylene",,NA,NA,NA,
1575C,"1,5-hexadiene-2,5-dimethyl-3-methylen",,NA,NA,NA,
1576C,"1,5,5-trimethyl-6-methylene-cyclohexene",,NA,NA,NA,
1577C,"1,6-cineole",,NA,NA,NA,
1578C,"1,6-germacradien-5-alpha-ol",,NA,NA,NA,
1579C,"1,6-germacradien-5-beta-ol",,NA,NA,NA,
1580C,"1,6-germacradien-5-ol",,NA,NA,NA,
1581C,"1,6-germacradien-5beta-ol",,NA,NA,NA,
1582C,"1,6-germacreaiden-5beta-ol",,NA,NA,NA,
1583C,"1,6,10-dodecatrien-3-ol-3,7,11-trimethyl",,NA,NA,NA,
1584C,"1,7-di-epi-alpha-cedrene",,NA,NA,NA,
1585C,"1,7-di-epi-beta-cedrene",,NA,NA,NA,
1586C,"1,7-di-epi-cedrol",,NA,NA,NA,
1587C,"1,7-di-epi-isocedrol",,NA,NA,NA,
1588C,"1,7-dimethylnaphthalene",,NA,NA,NA,
1589C,"1,8- cineole",,NA,NA,NA,
1590C,"1,8-cineole + (z)-beta-ocimene",,NA,NA,NA,
1591C,"1,8-cineole + beta-phellandrene",,NA,NA,NA,
1592C,"1,8-dehydrocineole",,NA,NA,NA,
1593C,"1,8-dihydrocineole",,NA,NA,NA,
1594C,"1,8-dimethoxyanthracene-9,10-dione",,NA,NA,NA,
1595C,"1,8-dimethyl-4-isopropyl- spiro(4,5)decan-7-one",,NA,NA,NA,
1596C,"1,8-menthadien-4-ol",,NA,NA,NA,
1597C,"1,8-octanediol",,NA,NA,NA,
1598C,"1,8-oxido-cadin-4-ene",,NA,NA,NA,
1599C,"1,8 – cineole",,NA,NA,NA,
1600C,"1,9-cineole",,NA,NA,NA,
1601C,1.4-dimethyl tetrasulfide,,NA,NA,NA,
1602C,1.6-germacradien-5-beta-ol,,NA,NA,NA,
1603C,1.8-cineol,,NA,NA,NA,
1604C,1.8-cineole,,NA,NA,NA,
1605C,1.8-cineole + beta-phellandrene,,NA,NA,NA,
1606C,"10-(2-methylbutyryloxy)-8,9-didehydrothymol isobutyrate",,NA,NA,NA,
1607C,"10-(2-methylbutyryloxy)-8,9-didehydrothymolmethylether",,NA,NA,NA,
1608C,10-acetoxyneryl acetate,,NA,NA,NA,
1609C,10-acetoxyneryl isobutyrate,,NA,NA,NA,
1610C,"10-bisabolene-3,7-diol",,NA,NA,NA,
1611C,10-demethylsqualene,,NA,NA,NA,
1612C,"10-epi-1,12-epoxycadina-3,11-diene",,NA,NA,NA,
1613C,"10-epi-acora-3,5-dien-11-ol",,NA,NA,NA,
1614C,10-epi-alpha-eudesmol,,NA,NA,NA,
1615C,10-epi-beta-acoradiene,,NA,NA,NA,
1616C,10-epi-beta-acoradiene isomer,,NA,NA,NA,
1617C,10-epi-beta-eudesmol,,NA,NA,NA,
1618C,10-epi-cadinol,,NA,NA,NA,
1619C,10-epi-cubebol,,NA,NA,NA,
1620C,10-epi-eudesmol,,NA,NA,NA,
1621C,10-epi-gamma-eudesmol acetate,,NA,NA,NA,
1622C,10-epi-gamma-eudesmold,,NA,NA,NA,
1623C,10-epi-italicene ether,,NA,NA,NA,
1624C,10-epi-junenol,,NA,NA,NA,
1625C,"10-epi-y-eudesmol +1,10-di-epi-cubenol",,NA,NA,NA,
1626C,10-hydroxy calamenene,,NA,NA,NA,
1627C,"10-isobutyryloxy-8,9-didehydrothymol isobutyrate",,NA,NA,NA,
1628C,"10-isobutyryloxy-8,9-didehydrothymol methyl ether",,NA,NA,NA,
1629C,"10-isovaleroxy-8,9-didehydrothymol isobutyrate",,NA,NA,NA,
1630C,"10-isovaleroxy-8,9-didehydrothymol methylether",,NA,NA,NA,
1631C,10-methyl squalene,,NA,NA,NA,
1632C,10-nor-calamenen-10-one,,NA,NA,NA,
1633C,10-undecenol acetate,,NA,NA,NA,
1634C,10 b-h-cadina-1(6)-4-diene,,NA,NA,NA,
1635C,10(14)-aromadendren-4-ol,,NA,NA,NA,
1636C,"10,11-dihydro-2e,6e-farnesol",,NA,NA,NA,
1637C,"10,11-epi- or 7-epi-10,11-epoxy-ar-curcumen-15-al",,NA,NA,NA,
1638C,"10,11-epoxy-ar-curcumen-15-al",,NA,NA,NA,
1639C,"10,11-epoxy-calamenene",,NA,NA,NA,
1640C,11-acetoxyeudesma-4alpha-ol,,NA,NA,NA,
1641C,11-acetoxyeudesman-4alpha-ol,,NA,NA,NA,
1642C,11-alpha-13-dihydroeremanthine,,NA,NA,NA,
1643C,11-alpha-h-himachal-4-en-1-beta-ol,,NA,NA,NA,
1644C,11-beta-13-dihydro-alpha-cyclocostunolide,,NA,NA,NA,
1645C,11-beta-13-dihydro-beta-cyclocostunolide,,NA,NA,NA,
1646C,11-beta-13-dihydroeremanthine,,NA,NA,NA,
1647C,"11-epi-6,10-epoxy-bisabol-2-en-12-ol",,NA,NA,NA,
1648C,"11-epi-6,10-epoxybisabol-2-en-12-al",,NA,NA,NA,
1649C,"11-epi-6,10-epoxybisabol-3-en-12-al",,NA,NA,NA,
1650C,11-hexadecen-1-ol,,NA,NA,NA,
1651C,11-norbourbonan-1-one,,NA,NA,NA,
1652C,11-selinen-4-ol,,NA,NA,NA,
1653C,12-methyltridecanolide,,NA,NA,NA,
1654C,12-nor-caryophyll-5-en-2-one,,NA,NA,NA,
1655C,12-oxabicyclo [9.1.0] dodeca – 3,,NA,NA,NA,
1656C,"12,15-epoxy-12,14-labdadien-8-ol",,NA,NA,NA,
1657C,13-beta-methyl-13-vinyl-podocarp-7-en-3-one,,NA,NA,NA,
1658C,13-epi-manool,,NA,NA,NA,
1659C,13-epi-manoyl oxide,,NA,NA,NA,
1660C,13-hydroxy valencene,,NA,NA,NA,
1661C,"13-isopropyl podocarpa-8,13-dien-15-ol",,NA,NA,NA,
1662C,13-tridecanolide,,NA,NA,NA,
1663C,"13(16),14-labdedien-8-ol",,NA,NA,NA,
1664C,"13(16),14-labdien-8-ol",,NA,NA,NA,
1665C,"13,14,15,16-tetranor-8(17)-labden-12-al",,NA,NA,NA,
1666C,14-hydroxy-(z)-caryophyllene,,NA,NA,NA,
1667C,14-hydroxy-9-epi-(e)-caryophyllene,,NA,NA,NA,
1668C,14-hydroxy-9-epi-caryophyllene,,NA,NA,NA,
1669C,14-hydroxy-9-epi-gamma-caryophyllene,,NA,NA,NA,
1670C,14-hydroxy-9-epi-trans-caryophyllene,,NA,NA,NA,
1671C,14-hydroxy-9-epi(e)-caryophyllene,,NA,NA,NA,
1672C,14-hydroxy-alpha-cadinene,,NA,NA,NA,
1673C,14-hydroxy-alpha-humulene,,NA,NA,NA,
1674C,14-hydroxy-alpha-muurolol,,NA,NA,NA,
1675C,14-hydroxy-beta-cadinene,,NA,NA,NA,
1676C,14-hydroxy-delta-cadinene,,NA,NA,NA,
1677C,14-hydroxy-epi-beta-caryophyllene,,NA,NA,NA,
1678C,14-hydroxy-gamma-cadinene,,NA,NA,NA,
1679C,14-hydroxy-isocaryophyllene,,NA,NA,NA,
1680C,14-hydroxy 9-epi-beta-caryophyllene,,NA,NA,NA,
1681C,14-hydroxy alpha-muurolene,,NA,NA,NA,
1682C,14-hydroxy+epi-beta-caryophyllene,,NA,NA,NA,
1683C,14-nor-cadin-5-en-4-one,,NA,NA,NA,
1684C,14-norcadin-5-en-4-one isomer a,,NA,NA,NA,
1685C,14-oxy-alpha-muurolene,,NA,NA,NA,
1686C,"14,hydroxy-9-epi-beta-caryophyllene",,NA,NA,NA,
1687C,15-beyerene,,NA,NA,NA,
1688C,15-hexadecanolide,,NA,NA,NA,
1689C,15-nor-4-bourbonone,,NA,NA,NA,
1690C,15-nor-labdan-8-ol,,NA,NA,NA,
1691C,15-pentadecanolide,,NA,NA,NA,
1692C,16-hexadecanolide,,NA,NA,NA,
1693C,16-kaurene,,NA,NA,NA,
1694C,17-heptadecanolide,,NA,NA,NA,
1695C,"1h – cycloprop [e] azulen – 7 – ol,",,NA,NA,NA,
1696C,"1r, 4s, 7s, 11r-2,2,4, 8 – tetrame",,NA,NA,NA,
1697C,"1s,cis-calamene",,NA,NA,NA,
1698C,"2-(1,2,6,7,8,8a-hexahydro-8,8a-dimethyl-2-naphthyl)-propan-2-ol",,NA,NA,NA,
1699C,2-(1e)-propenyl phenol,,NA,NA,NA,
1700C,"2-(but-3-en-1-ynyl)-5-(penta-1,3-diyn-1-yl)-thiophene",,NA,NA,NA,
1701C,2-(e)-4-(z)-decadienal,,NA,NA,NA,
1702C,2-acetonyl-4-methyl tetrahydropyran,,NA,NA,NA,
1703C,2-acetyl-3-ethylpyrazine,,NA,NA,NA,
1704C,2-acetyl-5-methylfuran,,NA,NA,NA,
1705C,2-acetylfuran,,NA,NA,NA,
1706C,2-acetylpyridine,,NA,NA,NA,
1707C,2-acetylthiazole,,NA,NA,NA,
1708C,2-alkanone,,NA,NA,NA,
1709C,2-aminoacetophenone,,NA,NA,NA,
1710C,2-amylfural,,NA,NA,NA,
1711C,2-amylfuran,,NA,NA,NA,
1712C,2-beta-caryophyllene,,NA,NA,NA,
1713C,"2-bisabolene-7,11-diol",,NA,NA,NA,
1714C,2-butanone,,NA,NA,NA,
1715C,2-butenyl angelate,,NA,NA,NA,
