OPSIN_lookup_name	OPSIN_inchis	OPSIN_comments
trans-cadina-1(6),4-diene		'trans-cadina-1(6),4-diene'' is unparsable due to the following being uninterpretable: ''trans-cadina-1(6),4-diene'' The following was not parseable: ''trans-cadina-1(6),4-diene''
caryophyllenoxide		caryophyllenoxide is unparsable due to the following being uninterpretable: caryophyllenoxide The following was not parseable: yophyllenoxide
2,4,5-trimethylbenzaldehyde		'2,4,5-trimethylbenzaldehyde'' is unparsable due to the following being uninterpretable: ''2,4,5-trimethylbenzaldehyde'' The following was not parseable: ''2,4,5-trimethylbenzaldehyde''
trans-alpha-bisabolene		trans-alpha-bisabolene is unparsable due to the following being uninterpretable: trans-alpha-bisabolene The following was not parseable: abolene
10-epi-gamma eudesmol		10-epi-gamma eudesmol is unparsable due to the following being uninterpretable: 10-epi-gamma eudesmol The following was not parseable: pi-gamma eudesmol
alpha-gurjunene		alpha-gurjunene is unparsable due to the following being uninterpretable: alpha-gurjunene The following was not parseable: gurjunene
menthyl acetate	InChI=1/C12H22O2/c1-8(2)11-6-5-9(3)7-12(11)14-10(4)13/h8-9,11-12H,5-7H2,1-4H3	
tetradecanoic acid	InChI=1/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)/f/h15H	
6,10,14-trimethylpentadecan-2-one		'6,10,14-trimethylpentadecan-2-one'' is unparsable due to the following being uninterpretable: ''6,10,14-trimethylpentadecan-2-one'' The following was not parseable: ''6,10,14-trimethylpentadecan-2-one''
(e)-p-menth-2-en-1-ol		Could not find bond that: <stereoChemistry type="EorZ" value="E">e</stereoChemistry> was referring to
methyl heptenone	InChI=1/C8H14O/c1-3-5-6-7-8(9)4-2/h6-7H,3-5H2,1-2H3	
1-amyloxy-1-ethoxy ethane	InChI=1/C9H20O2/c1-4-6-7-8-11-9(3)10-5-2/h9H,4-8H2,1-3H3	
neryl acetate	InChI=1/C12H20O2/c1-10(2)6-5-7-11(3)8-9-14-12(4)13/h6,8H,5,7,9H2,1-4H3/b11-8-	
beta-sesquiphellandrene		beta-sesquiphellandrene is unparsable due to the following being uninterpretable: beta-sesquiphellandrene The following was not parseable: sesquiphellandrene
(e)-2-decenol	InChI=1/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h8-9,11H,2-7,10H2,1H3/b9-8+	
methyl thymol	InChI=1/C11H16O/c1-7(2)10-6-5-8(3)9(4)11(10)12/h5-7,12H,1-4H3	
p-menth-3-ene	InChI=1/C10H18/c1-8(2)10-6-4-9(3)5-7-10/h6,8-9H,4-5,7H2,1-3H3	
p-tolyl-2-propene	InChI=1/C10H12/c1-3-4-10-7-5-9(2)6-8-10/h3,5-8H,1,4H2,2H3	
4-isopropyl phenol	InChI=1/C9H12O/c1-7(2)8-3-5-9(10)6-4-8/h3-7,10H,1-2H3	
isoterpinolene		isoterpinolene is unparsable due to the following being uninterpretable: isoterpinolene The following was not parseable: terpinolene
hedycaryol		hedycaryol is unparsable due to the following being uninterpretable: hedycaryol The following was not parseable: hedycaryol
neryl-2-methyl butyrate		Unable to assign all locants. This locant was not assigned: 2
osthole		osthole is unparsable due to the following being uninterpretable: osthole The following was not parseable: osthole
geranyl tiglate	InChI=1/C15H24O2/c1-6-14(5)15(16)17-11-10-13(4)9-7-8-12(2)3/h6,8,10H,7,9,11H2,1-5H3/b13-10+,14-6+	
(e)-anethole	InChI=1/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3+	
germacrene b		germacrene b is unparsable due to the following being uninterpretable: germacrene b The following was not parseable: crene b
methyl cyclopentanone	InChI=1/C6H10O/c1-5-3-2-4-6(5)7/h5H,2-4H2,1H3	
sesquiphellendrene		sesquiphellendrene is unparsable due to the following being uninterpretable: sesquiphellendrene The following was not parseable: phellendrene
guaia-6,9-diene		'guaia-6,9-diene'' is unparsable due to the following being uninterpretable: ''guaia-6,9-diene'' The following was not parseable: ''guaia-6,9-diene''
(z)-trans-alpha-bergamotol		(z)-trans-alpha-bergamotol is unparsable due to the following being uninterpretable: (z)-trans-alpha-bergamotol The following was not parseable: bergamotol
isomenthol		isomenthol is unparsable due to the following being uninterpretable: isomenthol The following was not parseable: menthol
(z)-nerolidol	InChI=1/C15H26O/c1-6-15(5,16)12-8-11-14(4)10-7-9-13(2)3/h6,9,11,16H,1,7-8,10,12H2,2-5H3/b14-11-	
geranyl acetate	InChI=1/C12H20O2/c1-10(2)6-5-7-11(3)8-9-14-12(4)13/h6,8H,5,7,9H2,1-4H3/b11-8+	
perillaldehyde		perillaldehyde is unparsable due to the following being uninterpretable: perillaldehyde The following was not parseable: perillaldehyde
gamma-muurolene		gamma-muurolene is unparsable due to the following being uninterpretable: gamma-muurolene The following was not parseable: muurolene
aromadendrene		aromadendrene is unparsable due to the following being uninterpretable: aromadendrene The following was not parseable: aromadendrene
trans-linalool oxide (pyranoid)		trans-linalool oxide (pyranoid) is unparsable due to the following being uninterpretable: oid) The following was not parseable: )
helifolenol b		helifolenol b is unparsable due to the following being uninterpretable: helifolenol b The following was not parseable: helifolenol b
alpha-fenchol		alpha-fenchol is unparsable due to the following being uninterpretable: alpha-fenchol The following was not parseable: fenchol
octanone-3		octanone-3 is unparsable due to the following being uninterpretable: 3 The following was not parseable:
trans-p-menth-2-en-1-ol		Could not find bond that: <stereoChemistry type="cisOrTrans" value="trans" subsequentUnsemanticToken="-">trans</stereoChemistry> could refer unambiguously to
camphenehydrate		camphenehydrate is unparsable due to the following being uninterpretable: hydrate The following was not parseable: hydrate
(e,e)-alpha-farnesene		'(e,e)-alpha-farnesene'' is unparsable due to the following being uninterpretable: ''(e,e)-alpha-farnesene'' The following was not parseable: ''(e,e)-alpha-farnesene''
aromadendrene oxide		aromadendrene oxide is unparsable due to the following being uninterpretable: aromadendrene oxide The following was not parseable: aromadendrene oxide
p-cymen-7-ol		Could not find the atom with locant 7.
bulnesol		bulnesol is unparsable due to the following being uninterpretable: bulnesol The following was not parseable: bulnesol
neo-isomenthol		neo-isomenthol is unparsable due to the following being uninterpretable: neo-isomenthol The following was not parseable: isomenthol
beta-ionone		beta-ionone is unparsable due to the following being uninterpretable: beta-ionone The following was not parseable: ionone
terpinene-4-ol	InChI=1/C30H44O/c1-15-20-10-18(27(20,4)5)11-22(15)30(14-19-12-23(17(30)3)28(19,6)7)25-16(2)21-13-24(26(25)31)29(21,8)9/h18-19,22,24-26,31H,10-14H2,1-9H3	
longifolenaldehyde		longifolenaldehyde is unparsable due to the following being uninterpretable: longifolenaldehyde The following was not parseable: ongifolenaldehyde
caryophyllen-8-ol		caryophyllen-8-ol is unparsable due to the following being uninterpretable: caryophyllen-8-ol The following was not parseable: yophyllen-8-ol
trans-alpha-bergamotene		trans-alpha-bergamotene is unparsable due to the following being uninterpretable: trans-alpha-bergamotene The following was not parseable: bergamotene
trans-beta-farnesene		Could not find bond that: <stereoChemistry type="cisOrTrans" value="trans" subsequentUnsemanticToken="-">trans</stereoChemistry> could refer unambiguously to
isobornyl formate		isobornyl formate is unparsable due to the following being uninterpretable: isobornyl formate The following was not parseable: bornyl formate
eudesmol		eudesmol is unparsable due to the following being uninterpretable: eudesmol The following was not parseable: udesmol
cis-chrysanthenylacetate		cis-chrysanthenylacetate is unparsable due to the following being uninterpretable: cis-chrysanthenylacetate The following was not parseable: anthenylacetate
delta-terpineol		delta-terpineol is unparsable due to the following being uninterpretable: delta-terpineol The following was not parseable: eol
heneicosane	InChI=1/C21H44/c1-3-5-7-9-11-13-15-17-19-21-20-18-16-14-12-10-8-6-4-2/h3-21H2,1-2H3	
hexadecanol	InChI=1/C16H34O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h17H,2-16H2,1H3	
cadina-1,4-diene		'cadina-1,4-diene'' is unparsable due to the following being uninterpretable: ''cadina-1,4-diene'' The following was not parseable: ''cadina-1,4-diene''
allo-ammadendrene		allo-ammadendrene is unparsable due to the following being uninterpretable: allo-ammadendrene The following was not parseable: ammadendrene
tetradecanal	InChI=1/C14H28O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15/h14H,2-13H2,1H3	
1-hexadecene	InChI=1/C16H32/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3H,1,4-16H2,2H3	
octyl octanoate	InChI=1/C16H32O2/c1-3-5-7-9-11-13-15-18-16(17)14-12-10-8-6-4-2/h3-15H2,1-2H3	
3-carene	InChI=1/C10H16/c1-7-4-5-8-9(6-7)10(8,2)3/h4,8-9H,5-6H2,1-3H3	
viddrol		viddrol is unparsable due to the following being uninterpretable: viddrol The following was not parseable: viddrol
(e)-anethole+bornyl acetate		(e)-anethole+bornyl acetate is unparsable due to the following being uninterpretable: +bornyl acetate The following was not parseable: +bornyl acetate
cis-linalooloxide (furanoid)		cis-linalooloxide (furanoid) is unparsable due to the following being uninterpretable: oid) The following was not parseable: )
nonanoic acid	InChI=1/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)/f/h10H	
cadalene		cadalene is unparsable due to the following being uninterpretable: cadalene The following was not parseable: cadalene
trans-chrysanthenyl acetate		trans-chrysanthenyl acetate is unparsable due to the following being uninterpretable: trans-chrysanthenyl acetate The following was not parseable: anthenyl acetate
alpha-zingiberene		alpha-zingiberene is unparsable due to the following being uninterpretable: alpha-zingiberene The following was not parseable: ingiberene
nerol	InChI=1/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-	
umbellulone		umbellulone is unparsable due to the following being uninterpretable: umbellulone The following was not parseable: ulone
n-heptanol	InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3	
quinoline	InChI=1/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H	
(e,e)-farnesene		'(e,e)-farnesene'' is unparsable due to the following being uninterpretable: ''(e,e)-farnesene'' The following was not parseable: ''(e,e)-farnesene''
alpha-santalene		alpha-santalene is unparsable due to the following being uninterpretable: alpha-santalene The following was not parseable: santalene
7alphah,10deltah-cadina-1(6),4-diene		'7alphah,10deltah-cadina-1(6),4-diene'' is unparsable due to the following being uninterpretable: ''7alphah,10deltah-cadina-1(6),4-diene'' The following was not parseable: ''7alphah,10deltah-cadina-1(6),4-diene''
alpha-calacorene		alpha-calacorene is unparsable due to the following being uninterpretable: alpha-calacorene The following was not parseable: calacorene
germacrene d-4-alpha-ol		germacrene d-4-alpha-ol is unparsable due to the following being uninterpretable: germacrene d-4-alpha-ol The following was not parseable: crene d-4-alpha-ol
1,3,8-p-menthatriene		'1,3,8-p-menthatriene'' is unparsable due to the following being uninterpretable: ''1,3,8-p-menthatriene'' The following was not parseable: ''1,3,8-p-menthatriene''
acoradiene		acoradiene is unparsable due to the following being uninterpretable: acoradiene The following was not parseable: acoradiene
epi-cubenol		epi-cubenol is unparsable due to the following being uninterpretable: epi-cubenol The following was not parseable: pi-cubenol
trans-carveol		trans-carveol is unparsable due to the following being uninterpretable: trans-carveol The following was not parseable: veol
trans-beta-caryophyllene		trans-beta-caryophyllene is unparsable due to the following being uninterpretable: trans-beta-caryophyllene The following was not parseable: yophyllene
decenal	InChI=1/C10H18O/c1-2-3-4-5-6-7-8-9-10-11/h8-10H,2-7H2,1H3	
1,2,3,4-Tetrahydro-1,5,7-trimethyl naphthalene		'1,2,3,4-Tetrahydro-1,5,7-trimethyl naphthalene'' is unparsable due to the following being uninterpretable: ''1,2,3,4-Tetrahydro-1,5,7-trimethyl naphthalene'' The following was not parseable: ''1,2,3,4-Tetrahydro-1,5,7-trimethyl naphthalene''
cis-calamenene		cis-calamenene is unparsable due to the following being uninterpretable: cis-calamenene The following was not parseable: calamenene
(e)-nuciferol		(e)-nuciferol is unparsable due to the following being uninterpretable: (e)-nuciferol The following was not parseable: nuciferol
2-tridecanone	InChI=1/C13H26O/c1-3-4-5-6-7-8-9-10-11-12-13(2)14/h3-12H2,1-2H3	
6-hydroxy-2,2,6-trimethyl-cyclohexanone		'6-hydroxy-2,2,6-trimethyl-cyclohexanone'' is unparsable due to the following being uninterpretable: ''6-hydroxy-2,2,6-trimethyl-cyclohexanone'' The following was not parseable: ''6-hydroxy-2,2,6-trimethyl-cyclohexanone''
octanoic acid	InChI=1/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)/f/h9H	
beta-fenchone		beta-fenchone is unparsable due to the following being uninterpretable: beta-fenchone The following was not parseable: fenchone
tridecanol	InChI=1/C13H28O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14/h14H,2-13H2,1H3	
4-methylpentylisothiocynate		4-methylpentylisothiocynate is unparsable due to the following being uninterpretable: isothiocynate The following was not parseable: thiocynate
3-phenylpropanal	InChI=1/C9H10O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,8H,4,7H2	
docosane	InChI=1/C22H46/c1-3-5-7-9-11-13-15-17-19-21-22-20-18-16-14-12-10-8-6-4-2/h3-22H2,1-2H3	
beta-myrcene	InChI=1/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3	
isosylvestrene		isosylvestrene is unparsable due to the following being uninterpretable: isosylvestrene The following was not parseable: sylvestrene
thujyl alcohol	InChI=1/C10H18O/c1-6(2)10-5-8(10)7(3)4-9(10)11/h6-9,11H,4-5H2,1-3H3	
pentacosane	InChI=1/C25H52/c1-3-5-7-9-11-13-15-17-19-21-23-25-24-22-20-18-16-14-12-10-8-6-4-2/h3-25H2,1-2H3	
tritriacontane	InChI=1/C33H68/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-33H2,1-2H3	
benzyl salicylate	InChI=1/C14H12O3/c15-13-9-5-4-8-12(13)14(16)17-10-11-6-2-1-3-7-11/h1-9,15H,10H2	
beta-thujone		beta-thujone is unparsable due to the following being uninterpretable: beta-thujone The following was not parseable:
alpha-dehydro-ar-himachalene		alpha-dehydro-ar-himachalene is unparsable due to the following being uninterpretable: ar-himachalene The following was not parseable: ar-himachalene
humulene epoxide ll		humulene epoxide ll is unparsable due to the following being uninterpretable: humulene epoxide ll The following was not parseable: humulene epoxide ll
p-mentha-1,5-dien-8-ol		'p-mentha-1,5-dien-8-ol'' is unparsable due to the following being uninterpretable: ''p-mentha-1,5-dien-8-ol'' The following was not parseable: ''p-mentha-1,5-dien-8-ol''
italicene epoxide		italicene epoxide is unparsable due to the following being uninterpretable: italicene epoxide The following was not parseable: italicene epoxide
cis-verbenyl acetate		cis-verbenyl acetate is unparsable due to the following being uninterpretable: cis-verbenyl acetate The following was not parseable: verbenyl acetate
terpinen-1-ol		Atom is in unphysical valency state! Element: C valency: 5
ethyl decanoate	InChI=1/C12H24O2/c1-3-5-6-7-8-9-10-11-12(13)14-4-2/h3-11H2,1-2H3	
pinocarvone		pinocarvone is unparsable due to the following being uninterpretable: pinocarvone The following was not parseable: carvone
3-octanol	InChI=1/C8H18O/c1-3-5-6-7-8(9)4-2/h8-9H,3-7H2,1-2H3	
pentatecanol		pentatecanol is unparsable due to the following being uninterpretable: pentatecanol The following was not parseable: tecanol
dimyrcene ii-a		dimyrcene ii-a is unparsable due to the following being uninterpretable: dimyrcene ii-a The following was not parseable: myrcene ii-a
delta-cymene		Unable to assign all locants. This locant was not assigned: delta
cubenol	InChI=1/C8H6O/c9-8-5-2-1-3(5)7(8)4(1)6(2)8/h1-3,5-6,9H	
beta-copaen-4-alpha-ol		beta-copaen-4-alpha-ol is unparsable due to the following being uninterpretable: beta-copaen-4-alpha-ol The following was not parseable: copaen-4-alpha-ol
trans-rose oxide		trans-rose oxide is unparsable due to the following being uninterpretable: trans-rose oxide The following was not parseable: ose oxide
2,6-dimethyl-1,7-octadiene-3,6-diol		'2,6-dimethyl-1,7-octadiene-3,6-diol'' is unparsable due to the following being uninterpretable: ''2,6-dimethyl-1,7-octadiene-3,6-diol'' The following was not parseable: ''2,6-dimethyl-1,7-octadiene-3,6-diol''
o-cresol	InChI=1/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3	
hexanol	InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	
cis-sabinene hydrate acetate		cis-sabinene hydrate acetate is unparsable due to the following being uninterpretable: cis-sabinene hydrate acetate The following was not parseable: sabinene hydrate acetate
widdra-2,4(14)-diene		'widdra-2,4(14)-diene'' is unparsable due to the following being uninterpretable: ''widdra-2,4(14)-diene'' The following was not parseable: ''widdra-2,4(14)-diene''
eugenol	InChI=1/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3	
(z)-3-hexenol	InChI=1/C6H12O/c1-2-3-4-5-6-7/h3-4,7H,2,5-6H2,1H3/b4-3-	
curzerenone		curzerenone is unparsable due to the following being uninterpretable: curzerenone The following was not parseable: curzerenone
isopulegol		isopulegol is unparsable due to the following being uninterpretable: isopulegol The following was not parseable: pulegol
dehydro-sabinaketone		dehydro-sabinaketone is unparsable due to the following being uninterpretable: sabinaketone The following was not parseable: sabinaketone
Khusinol		Khusinol is unparsable due to the following being uninterpretable: Khusinol The following was not parseable: Khusinol
n-octanal	InChI=1/C8H16O/c1-2-3-4-5-6-7-8-9/h8H,2-7H2,1H3	
trans-verbenyl acetate		trans-verbenyl acetate is unparsable due to the following being uninterpretable: trans-verbenyl acetate The following was not parseable: verbenyl acetate
(z)-tagetone		(z)-tagetone is unparsable due to the following being uninterpretable: (z)-tagetone The following was not parseable: tagetone
myrtenol + myrtenal		myrtenol + myrtenal is unparsable due to the following being uninterpretable: myrtenol + myrtenal The following was not parseable: myrtenol + myrtenal
garanate		garanate is unparsable due to the following being uninterpretable: garanate The following was not parseable: garanate
cis-carveol		cis-carveol is unparsable due to the following being uninterpretable: cis-carveol The following was not parseable: veol
mesitylene	InChI=1/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3	
cis-beta-terpineol		cis-beta-terpineol is unparsable due to the following being uninterpretable: cis-beta-terpineol The following was not parseable: eol
decane	InChI=1/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3	
gamma-patchoulene		gamma-patchoulene is unparsable due to the following being uninterpretable: gamma-patchoulene The following was not parseable: patchoulene
m-cymenene		m-cymenene is unparsable due to the following being uninterpretable: ne The following was not parseable: ne
isobornyl propionate		isobornyl propionate is unparsable due to the following being uninterpretable: isobornyl propionate The following was not parseable: bornyl propionate
p-cymenene		p-cymenene is unparsable due to the following being uninterpretable: ne The following was not parseable: ne
verbenene		verbenene is unparsable due to the following being uninterpretable: verbenene The following was not parseable: verbenene
methyl tetradecanoate	InChI=1/C15H30O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17-2/h3-14H2,1-2H3	
limonene-4-ol		limonene-4-ol is unparsable due to the following being uninterpretable: limonene-4-ol The following was not parseable: imonene-4-ol
cumin alcohol		cumin alcohol is unparsable due to the following being uninterpretable: cumin alcohol The following was not parseable: cumin alcohol
Cymene-8-ol		Could not find the atom with locant 8.
cis-epoxy-ocimene		cis-epoxy-ocimene is unparsable due to the following being uninterpretable: ocimene The following was not parseable: ocimene
tridecanoic acid	InChI=1/C13H26O2/c1-2-3-4-5-6-7-8-9-10-11-12-13(14)15/h2-12H2,1H3,(H,14,15)/f/h14H	
cis-geraniol		Could not find bond that: <stereoChemistry type="cisOrTrans" value="cis" subsequentUnsemanticToken="-">cis</stereoChemistry> could refer unambiguously to
rotundene		rotundene is unparsable due to the following being uninterpretable: rotundene The following was not parseable: otundene
furanoid		furanoid is unparsable due to the following being uninterpretable: oid The following was not parseable:
geranyl propionate	InChI=1/C13H22O2/c1-5-13(14)15-10-9-12(4)8-6-7-11(2)3/h7,9H,5-6,8,10H2,1-4H3/b12-9+	
alpha-guaiene		alpha-guaiene is unparsable due to the following being uninterpretable: alpha-guaiene The following was not parseable: guaiene
linalool oxide (furanoid)		linalool oxide (furanoid) is unparsable due to the following being uninterpretable: oid) The following was not parseable: )
1,3-(e),5(z)-octatriene		'1,3-(e),5(z)-octatriene'' is unparsable due to the following being uninterpretable: ''1,3-(e),5(z)-octatriene'' The following was not parseable: ''1,3-(e),5(z)-octatriene''
alpha-eudesmol		alpha-eudesmol is unparsable due to the following being uninterpretable: alpha-eudesmol The following was not parseable: udesmol
torilenol		torilenol is unparsable due to the following being uninterpretable: torilenol The following was not parseable: torilenol
hexahydrofarnesyl acetone		Cannot find ring for hydro substituent to apply to
dihydrochalcone isomer		dihydrochalcone isomer is unparsable due to the following being uninterpretable: isomer The following was not parseable: mer
beta-cyperone		beta-cyperone is unparsable due to the following being uninterpretable: beta-cyperone The following was not parseable: cyperone
germacrene0d		germacrene0d is unparsable due to the following being uninterpretable: germacrene0d The following was not parseable: crene0d
hexadecyl acetate	InChI=1/C18H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20-18(2)19/h3-17H2,1-2H3	
isobutylphenylacetate	InChI=1/C12H16O2/c1-10(2)9-14-12(13)8-11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3	
safrole	InChI=1/C10H10O2/c1-2-3-8-4-5-9-10(6-8)12-7-11-9/h2,4-6H,1,3,7H2	
santolina triene		santolina triene is unparsable due to the following being uninterpretable: santolina triene The following was not parseable: santolina triene
para-cymene	InChI=1/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3	
tridecane	InChI=1/C13H28/c1-3-5-7-9-11-13-12-10-8-6-4-2/h3-13H2,1-2H3	
perilla alcohol		perilla alcohol is unparsable due to the following being uninterpretable: perilla alcohol The following was not parseable: perilla alcohol
(z)-alpha-bisabolene		(z)-alpha-bisabolene is unparsable due to the following being uninterpretable: (z)-alpha-bisabolene The following was not parseable: abolene
1,8-cineol		'1,8-cineol'' is unparsable due to the following being uninterpretable: ''1,8-cineol'' The following was not parseable: ''1,8-cineol''
alpha-cedrene		alpha-cedrene is unparsable due to the following being uninterpretable: alpha-cedrene The following was not parseable: cedrene
tricyclene		tricyclene is unparsable due to the following being uninterpretable: tricyclene The following was not parseable: cyclene
tetrahydro tetramethylnaphthalene	InChI=1/C14H20/c1-9-10(2)12(4)14-8-6-5-7-13(14)11(9)3/h5-8H2,1-4H3	
benzyl isovalerate	InChI=1/C12H16O2/c1-10(2)8-12(13)14-9-11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3	
(2e)-octen-1-ol	InChI=1/C8H16O/c1-2-3-4-5-6-7-8-9/h7-9H,2-6H2,1H3/b8-7+	
calarene		calarene is unparsable due to the following being uninterpretable: calarene The following was not parseable: calarene
cis-sabinol		cis-sabinol is unparsable due to the following being uninterpretable: cis-sabinol The following was not parseable: sabinol
delta-2-carene		Unable to assign all locants. This locant was not assigned: delta
senkyunolide		senkyunolide is unparsable due to the following being uninterpretable: senkyunolide The following was not parseable: senkyunolide
cis-pinocamphone		cis-pinocamphone is unparsable due to the following being uninterpretable: cis-pinocamphone The following was not parseable: camphone
alpha-bergamotene		alpha-bergamotene is unparsable due to the following being uninterpretable: alpha-bergamotene The following was not parseable: bergamotene
(e)-tagetenone		(e)-tagetenone is unparsable due to the following being uninterpretable: (e)-tagetenone The following was not parseable: tagetenone
isobornyl acetate		isobornyl acetate is unparsable due to the following being uninterpretable: isobornyl acetate The following was not parseable: bornyl acetate
cis-farnesol		Could not find bond that: <stereoChemistry type="cisOrTrans" value="cis" subsequentUnsemanticToken="-">cis</stereoChemistry> could refer unambiguously to
alpha-p-dimethylstyrene		Unable to assign all locants. These locants were not assigned: alpha 1,para
acorone		acorone is unparsable due to the following being uninterpretable: acorone The following was not parseable: acorone
epi-alpha-bisabolol		epi-alpha-bisabolol is unparsable due to the following being uninterpretable: epi-alpha-bisabolol The following was not parseable: pi-alpha-bisabolol
hexyl acetate	InChI=1/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3	
isobornylformate		isobornylformate is unparsable due to the following being uninterpretable: isobornylformate The following was not parseable: bornylformate
farnesol	InChI=1/C15H26O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,11,16H,5-6,8,10,12H2,1-4H3	
alpha-humulene+(z)-methyl isoeugenol		alpha-humulene+(z)-methyl isoeugenol is unparsable due to the following being uninterpretable: alpha-humulene+(z)-methyl isoeugenol The following was not parseable: humulene+(z)-methyl isoeugenol
hexenal	InChI=1/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3	
(z)-methyl isoeugenol	InChI=1/C11H14O2/c1-4-5-9-6-8(2)11(12)10(7-9)13-3/h4-7,12H,1-3H3/b5-4-	
3-methylthiopropanal	InChI=1/C4H8OS/c1-6-4-2-3-5/h3H,2,4H2,1H3	
undecanal	InChI=1/C11H22O/c1-2-3-4-5-6-7-8-9-10-11-12/h11H,2-10H2,1H3	
dihydroedulan		dihydroedulan is unparsable due to the following being uninterpretable: edulan The following was not parseable: edulan
2-methylbutyltiglate	InChI=1/C10H18O2/c1-5-8(3)7-12-10(11)9(4)6-2/h6,8H,5,7H2,1-4H3/b9-6+	
9-octadecene	InChI=1/C18H36/c1-3-5-7-9-11-13-15-17-18-16-14-12-10-8-6-4-2/h17-18H,3-16H2,1-2H3	
hexadecanoic acid	InChI=1/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)/f/h17H	
dehydroisocalamendiol		dehydroisocalamendiol is unparsable due to the following being uninterpretable: isocalamendiol The following was not parseable: calamendiol
gamma-terpineol		gamma-terpineol is unparsable due to the following being uninterpretable: gamma-terpineol The following was not parseable: eol
hexanal	InChI=1/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3	
calamenene		calamenene is unparsable due to the following being uninterpretable: calamenene The following was not parseable: calamenene
selin-11-en-4-alpha-ol		selin-11-en-4-alpha-ol is unparsable due to the following being uninterpretable: selin-11-en-4-alpha-ol The following was not parseable: in-11-en-4-alpha-ol
cis-p-mentha-2,8-dien-1-ol		'cis-p-mentha-2,8-dien-1-ol'' is unparsable due to the following being uninterpretable: ''cis-p-mentha-2,8-dien-1-ol'' The following was not parseable: ''cis-p-mentha-2,8-dien-1-ol''
ethyl palmitate	InChI=1/C18H36O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20-4-2/h3-17H2,1-2H3	
piperitenone		piperitenone is unparsable due to the following being uninterpretable: piperitenone The following was not parseable: piperitenone
alpha-bisabololoxide b		alpha-bisabololoxide b is unparsable due to the following being uninterpretable: alpha-bisabololoxide b The following was not parseable: abololoxide b
trans-calmenene		trans-calmenene is unparsable due to the following being uninterpretable: trans-calmenene The following was not parseable: calmenene
naphthalene	InChI=1/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H	
neo-intermedeol		neo-intermedeol is unparsable due to the following being uninterpretable: neo-intermedeol The following was not parseable: intermedeol
dehydro-sabinene		dehydro-sabinene is unparsable due to the following being uninterpretable: sabinene The following was not parseable: sabinene
trans-linalool oxide acetate (pyranoid)		trans-linalool oxide acetate (pyranoid) is unparsable due to the following being uninterpretable: oid) The following was not parseable: )
1-ethyl-2-phenylcycropropane		1-ethyl-2-phenylcycropropane is unparsable due to the following being uninterpretable: cycropropane The following was not parseable: cycropropane
ethyl hexanoate	InChI=1/C8H16O2/c1-3-5-6-7-8(9)10-4-2/h3-7H2,1-2H3	
verbenone		verbenone is unparsable due to the following being uninterpretable: verbenone The following was not parseable: verbenone
ar-tumerone		ar-tumerone is unparsable due to the following being uninterpretable: ar-tumerone The following was not parseable: ar-tumerone
