pid,pname (v 1.0),scientificName (gbif),Normalized name,Details,Error,kingdom,phylum,class,order,family,genus,species
432,Crassocephalum montuosum,Crassocephalum montuosum (S.Moore) Milne-Redh.,Crassocephalum montuosum,(S.Moore) Milne-Redh.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crassocephalum,Crassocephalum montuosum
433,Crassocephalum rubens,Crassocephalum rubens (Jacq.) S.Moore,Crassocephalum rubens,(Jacq.) S.Moore,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crassocephalum,Crassocephalum rubens
434,Crassocephalum vitellinum,Crassocephalum vitellinum S.Moore,Crassocephalum vitellinum,S.Moore,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crassocephalum,Crassocephalum vitellinum
435,Crinum latifolium,Crinum latifolium L.,Crinum latifolium,L.,,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Crinum,Crinum latifolium
436,Crithmum maritimum,Crithmum maritimum L.,Crithmum maritimum,L.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Crithmum,Crithmum maritimum
437,Croton cajucara,Croton cajucara Benth.,Croton cajucara,Benth.,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton cajucara
438,Croton campestris,Croton campestris A.St.-Hil.,Croton campestris,A.St.-Hil.,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton campestris
439,Croton flavens,Croton flavens L.,Croton flavens,L.,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton flavens
440,Croton jimenezii,Croton jimenezii Standl. & Valerio,Croton jimenezii,Standl. & Valerio,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton jimenezii
441,Croton oligandrum,Croton oligandrus Pierre ex Hutch.,Croton oligandrus,Pierre ex Hutch.,Typographical error in specific epithet,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton oligandrus
442,Croton sacaquinha,Croton sacaquinha Croizat,Croton sacaquinha,Croizat,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton sacaquinha
443,Croton sonderianus,Croton sonderianus Müll.Arg.,Croton sonderianus,Müll.Arg.,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton sonderianus
444,Croton zehntneri Pax et Hoff,Croton zehntneri Pax & K.Hoffm.,Croton zehntneri,Pax & K.Hoffm.,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton zehntneri
445,Cunila angustifolia,Cunila angustifolia Benth.,Cunila angustifolia,Benth.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Cunila,Cunila angustifolia
446,Cunila galioides,Cunila galioides Benth.,Cunila galioides,Benth.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Cunila,Cunila galioides
447,Cunila spicata,Cunila spicata Benth.,Cunila spicata,Benth.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Cunila,Cunila spicata
448,Cupressus arizonica,Cupressus arizonica Greene,Cupressus arizonica,Greene,,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressus,Cupressus arizonica
449,Cupressus atlantica,Cupressus atlantica Gaussen,Cupressus atlantica,Gaussen,,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressus,Cupressus dupreziana
450,Cupressus cashmeriana,Cupressus cashmeriana Royle ex Carriere,Cupressus cashmeriana,Royle ex Carriere,,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressus,Cupressus cashmeriana
451,Cupressus chengiana,Cupressus chengiana S.Y.Hu,Cupressus chengiana,S.Y.Hu,,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressus,Cupressus chengiana
452,Cupressus duclouxiana,Cupressus duclouxiana Hickel,Cupressus duclouxiana,Hickel,,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressus,Cupressus duclouxiana
453,Cupressus funebris,Cupressus funebris Endl.,Cupressus funebris,Endl.,,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressus,Cupressus funebris
454,Cupressus guadalupensis,Cupressus guadalupensis S.Watson,Cupressus guadalupensis,S.Watson,,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressus,Cupressus guadalupensis
455,Cupressus macnabiana,Cupressus macnabiana A.Murray,Cupressus macnabiana,A.Murray,,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressus,Callitropsis macnabiana
456,Cupressus macrocarpa,Cupressus macrocarpa Hartw. ex Gordon,Cupressus macrocarpa,Hartw. ex Gordon,,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressus,Cupressus macrocarpa
457,Cupressus sempervirens,Cupressus sempervirens L.,Cupressus sempervirens,L.,,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressus,Cupressus sempervirens
458,Cupressus tonkinensis,Cupressus tonkinensis Silba,Cupressus tonkinensis,Silba,,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressus,Cupressus torulosa
459,Cupressus torulosa,Cupressus torulosa D.Don,Cupressus torulosa,D.Don,,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Cupressus,Cupressus torulosa
460,Curcuma aeruginosa,Curcuma aeruginosa Roxb.,Curcuma aeruginosa,Roxb.,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Curcuma,Curcuma aeruginosa
461,Curcuma angustifolia,Curcuma angustifolia Roxb.,Curcuma angustifolia,Roxb.,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Curcuma,Curcuma angustifolia
462,Curcuma haritha,Curcuma haritha J.K.Mangaly & M.Sabu,Curcuma haritha,J.K.Mangaly & M.Sabu,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Curcuma,Curcuma haritha
463,Curcuma leucorhiza,Curcuma leucorrhiza Roxb.,Curcuma leucorrhiza,Roxb.,Typographical error in specific epithet,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Curcuma,Curcuma leucorrhiza
464,Curcuma longa,Curcuma longa L.,Curcuma longa,L.,"This entry is same as the next entry. The only difference is an additional ""L."" in the latter",Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Curcuma,Curcuma longa
465,Curcuma longa L.,Curcuma longa L.,Curcuma longa,L.,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Curcuma,Curcuma longa
466,Cyclotrichium leucotrichum,Cyclotrichium leucotrichum (Stapf) Leblebici,Cyclotrichium leucotrichum,(Stapf) Leblebici,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Cyclotrichium,Cyclotrichium leucotrichum
467,Cyclotrichium straussii,Cyclotrichium straussii (Bornm.) Rech.f.,Cyclotrichium straussii,(Bornm.) Rech.f.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Cyclotrichium,Cyclotrichium straussii
468,Cyclotrichium strussii,Cyclotrichium straussii (Bornm.) Rech.f.,Cyclotrichium straussii,(Bornm.) Rech.f.,Typographical error in specific epithet,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Cyclotrichium,Cyclotrichium straussii
469,Cymbocarpum wiedemannii,Cymbocarpum wiedemannii Boiss.,Cymbocarpum wiedemannii,Boiss.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Cymbocarpum,Cymbocarpum wiedemannii
470,Cymbopogan citratus,Cymbopogon citratus Stapf,Cymbopogon citratus,Stapf,Typographical Error,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon citratus
471,Cymbopogon afronardus,Cymbopogon afronardus Stapf,Cymbopogon afronardus,Stapf,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon nardus
472,Cymbopogon citratus,Cymbopogon citratus Stapf,Cymbopogon citratus,Stapf,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon citratus
473,Cymbopogon distans,Cymbopogon distans (Nees ex Steud.) Will.Watson,Cymbopogon distans,(Nees ex Steud.) Will.Watson,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon distans
474,Cymbopogon flexuosus,Cymbopogon flexuosus (Nees ex Steud.) Will.Watson,Cymbopogon flexuosus,(Nees ex Steud.) Will.Watson,Duplicate entry,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon flexuosus
475,Cymbopogon flexuosusÂ (Nees ex Steud.) Wats.,Cymbopogon flexuosus (Nees ex Steud.) Will.Watson,Cymbopogon flexuosus,(Nees ex Steud.) Will.Watson,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon flexuosus
476,Cymbopogon giganteus,Cymbopogon giganteus Chiov.,Cymbopogon giganteus,Chiov.,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon giganteus
477,Cymbopogon martini var.martini,Cymbopogon martini (Roxb.) W.Watson,Cymbopogon martini,(Roxb.) W.Watson var.martini,Typographical Error and the right spelling already exists,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon martini
478,Cymbopogon martinii (Roxb.) Wats. var. martinii,Cymbopogon martini (Roxb.) W.Watson,Cymbopogon martini,(Roxb.) W.Watson var.martini,Typographical Error and the right spelling already exists,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon martini
479,Cymbopogon martinii Stapf.,Cymbopogon martini Stapf,Cymbopogon martini,Stapf,Typographical error in specific epithet,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon martini
480,Cymbopogon martinii var. motia,Cymbopogon martini (Roxb.) W.Watson,Cymbopogon martini,(Roxb.) W.Watson var. motia,Typographical error in specific epithet,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon martini
481,Cymbopogon martinni,Cymbopogon martini (Roxb.) W.Watson,Cymbopogon martini,(Roxb.) W.Watson,Typographical Error and duplicate entry,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon martini
482,Cymbopogon microstachys,Cymbopogon microstachys (Hook.f.) S.Soenarko,Cymbopogon microstachys,(Hook.f.) S.Soenarko,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon microstachys
483,Cymbopogon nardus,Cymbopogon nardus (L.) Rendle,Cymbopogon nardus,(L.) Rendle,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon nardus
484,Cymbopogon nardus (L.) Rendle,Cymbopogon nardus (L.) Rendle,Cymbopogon nardus,(L.) Rendle,Duplicate entry,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon nardus
485,Cymbopogon proximus,Cymbopogon proximus (Hochst. ex A.Rich.) Chiov.,Cymbopogon proximus,(Hochst. ex A.Rich.) Chiov.,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon schoenanthus
486,Cymbopogon winterianus,Cymbopogon winterianus Jowitt ex Bor,Cymbopogon winterianus,Jowitt ex Bor,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Cymbopogon winterianus
487,Cynara cardunculus,Cynara cardunculus L.,Cynara cardunculus,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cynara,Cynara cardunculus
488,Cyperus esculentus,Cyperus esculentus L.,Cyperus esculentus,L.,,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,Cyperus esculentus
489,Cyperus maculatus,Cyperus maculatus Boeckeler,Cyperus maculatus,Boeckeler,,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,Cyperus maculatus
490,Cyperus rotundus,Cyperus rotundus L.,Cyperus rotundus,L.,,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,Cyperus rotundus
491,Daphnandra apatela,Daphnandra apatela Schodde,Daphnandra apatela,Schodde,,Plantae,Tracheophyta,Magnoliopsida,Laurales,Atherospermataceae,Daphnandra,Daphnandra apatela
492,Daphnandra johnsonii,Daphnandra johnsonii Schodde,Daphnandra johnsonii,Schodde,,Plantae,Tracheophyta,Magnoliopsida,Laurales,Atherospermataceae,Daphnandra,Daphnandra johnsonii
493,Daphnandra melasamena,Daphnandra melasmena Schodde,Daphnandra melasmena,Schodde,Typographical error in specific epithet,Plantae,Tracheophyta,Magnoliopsida,Laurales,Atherospermataceae,Daphnandra,Daphnandra melasmena
494,Daphnandra micrantha,Daphnandra micrantha Benth.,Daphnandra micrantha,Benth.,,Plantae,Tracheophyta,Magnoliopsida,Laurales,Atherospermataceae,Daphnandra,Daphnandra micrantha
495,Daphnandra repandula,Daphnandra repandula F.Muell.,Daphnandra repandula,F.Muell.,,Plantae,Tracheophyta,Magnoliopsida,Laurales,Atherospermataceae,Daphnandra,Daphnandra repandula
496,Daphnandra tenuipes,Daphnandra tenuipes Perkins,Daphnandra tenuipes,Perkins,,Plantae,Tracheophyta,Magnoliopsida,Laurales,Atherospermataceae,Daphnandra,Daphnandra tenuipes
497,Daucus carota,Daucus carota L.,Daucus carota,L.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota
498,Daucus carota ssp. carota,Daucus carota subsp. carota,Daucus carota ,subsp. carota,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota
499,Daucus carota ssp. sativus var. Koral,Daucus carota subsp. sativus (Hoffm.) Schübl. & Martens,Daucus carota ,subsp. Sativus (Hoffm.) Schübl. & Martens var. Koral,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota
500,Daucus carota ssp. sativus var. Perfekcja,Daucus carota subsp. sativus (Hoffm.) Schübl. & Martens,Daucus carota ,subsp. sativus (Hoffm.) Schübl. & Martens var. Perfekcja,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota
501,Daucus littoralis,Daucus littoralis Sibth. & Sm.,Daucus littoralis,Sibth. & Sm.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus littoralis
502,Decaspermum humile,Decaspermum humile (G.Don) A.J.Scott,Decaspermum humile,(G.Don) A.J.Scott,,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Decaspermum,Decaspermum humile
503,Decaspermum struckoilicum,Decaspermum struckoilicum N.Snow & Guymer,Decaspermum struckoilicum,N.Snow & Guymer,,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Decaspermum,Decaspermum struckoilicum
504,Dennettia tripetala,Dennettia tripetala Baker f.,Dennettia tripetala,Baker f.,,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Uvariopsis,Uvariopsis tripetala
505,Desmos goezeanus,Desmos goezeanus (F.Muell.) Jessup,Desmos goezeanus,(F.Muell.) Jessup,,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Desmos,Desmos goezeanus
506,Desmos wardianus,Desmos wardianus (Bailey) Jessup,Desmos wardianus,(Bailey) Jessup,,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Desmos,Desmos wardianus
507,Dictamnus albus,Dictamnus albus L.,Dictamnus albus,L.,,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Dictamnus,Dictamnus albus
508,Dicyclophora persica,Dicyclophora persica Boiss.,Dicyclophora persica,Boiss.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Dicyclophora,Dicyclophora persica
509,Diospyros blancoi,Diospyros blancoi A.DC.,Diospyros blancoi,A.DC.,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,Diospyros discolor
510,Diplotaenia cachrydifolia,Diplotaenia cachrydifolia Boiss.,Diplotaenia cachrydifolia,Boiss.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Diplotaenia,Diplotaenia cachrydifolia
511,Dipteryx odorata,Dipteryx odorata Willd.,Dipteryx odorata,Willd.,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dipteryx,Dipteryx odorata
512,Dittrichia graveolens,Dittrichia graveolens (L.) Greuter,Dittrichia graveolens,(L.) Greuter,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Dittrichia,Dittrichia graveolens
513,Doronicum austriacum,Doronicum austriacum Jacq.,Doronicum austriacum,Jacq.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Doronicum,Doronicum austriacum
514,Dracocephalum aucheri,Dracocephalum aucheri Boiss.,Dracocephalum aucheri,Boiss.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Dracocephalum,Dracocephalum aucheri
515,Dracocephalum kotschyi,Dracocephalum kotschyi Boiss.,Dracocephalum kotschyi,Boiss.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Dracocephalum,Dracocephalum kotschyi
516,Dracocephalum moldavica,Dracocephalum moldavica L.,Dracocephalum moldavica,L.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Dracocephalum,Dracocephalum moldavica
517,Dracocephalum speciosum,Dracocephalum speciosum Benth.,Dracocephalum speciosum,Benth.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Dracocephalum,Dracocephalum wallichii
518,Drimys brasiliensis,Drimys brasiliensis Miers,Drimys brasiliensis,Miers,,Plantae,Tracheophyta,Magnoliopsida,Canellales,Winteraceae,Drimys,Drimys brasiliensis
519,Ducrosia anethifolia,Ducrosia anethifolia Boiss.,Ducrosia anethifolia,Boiss.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Ducrosia,Ducrosia anethifolia
520,Ducrosia assadii,Ducrosia assadii R.Alava,Ducrosia assadii,R.Alava,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Ducrosia,Ducrosia assadii
521,Echinacea purpurea,Echinacea purpurea Moench,Echinacea purpurea,Moench,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Echinacea,Echinacea purpurea
522,Echinophora carvifolia,Echinophora carvifolia Boiss. & Bal.,Echinophora carvifolia,Boiss. & Bal.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Thecocarpus,Thecocarpus carvifolius
523,Echinophora chysantha,Echinophora chrysantha Freyn & Sint.,Echinophora chrysantha,Freyn & Sint.,Typographical error in specific epithet,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Echinophora,Echinophora chrysantha
524,Echinophora cinerea,Echinophora cinerea (Boiss.) Hedge & Lamond,Echinophora cinerea,(Boiss.) Hedge & Lamond,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Echinophora,Echinophora cinerea
525,Echinophora lamondiana,Echinophora lamondiana B.Yildiz & Z.Bahrecioglu,Echinophora lamondiana,B.Yildiz & Z.Bahrecioglu,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Echinophora,Echinophora lamondiana
526,Echinophora orientalis,Echinophora orientalis (DC.) Hedge & Lamond,Echinophora orientalis,(DC.) Hedge & Lamond,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Anisosciadium,Anisosciadium orientale
527,Echinophora platyloba,Echinophora platyloba DC.,Echinophora platyloba,DC.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Echinophora,Echinophora platyloba
528,Echinophora tenuifolia,Echinophora tenuifolia L.,Echinophora tenuifolia,L.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Echinophora,Echinophora tenuifolia
529,Echinophora tenuifolia ssp. sibthorpiana,Echinophora tenuifolia subsp. sibthorpiana (Guss.) Tutin,Echinophora tenuifolia,subsp. sibthorpiana (Guss.) Tutin,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Echinophora,Echinophora tenuifolia
530,Echinophora tournefortii,Echinophora tournefortii Jaub. & Spach,Echinophora tournefortii,Jaub. & Spach,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Echinophora,Echinophora tournefortii
531,Echinophora trichophylla,Echinophora trichophylla Sm.,Echinophora trichophylla,Sm.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Echinophora,Echinophora trichophylla
532,Echinops graecus,Echinops graecus Mill.,Echinops graecus,Mill.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Echinops,Echinops graecus
533,Echinops ritro,Echinops ritro L.,Echinops ritro,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Echinops,Echinops ritro
534,Eclipta indica,Eclipta L.,Eclipta indica,unresolved,Entry not found,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Eclipta,
535,Elettariopsis elan,Elettariopsis elan C.K.Lim,Elettariopsis elan,C.K.Lim,,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Elettariopsis,Elettariopsis elan
536,Elsholtzia blanda,Elsholtzia blanda Benth.,Elsholtzia blanda,Benth.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Elsholtzia,Elsholtzia blanda
537,Elsholtzia ciliata,Elsholtzia ciliata (Thunb.) Hylander,Elsholtzia ciliata,(Thunb.) Hylander,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Elsholtzia,Elsholtzia ciliata
538,Elsholtzia densa,Elsholtzia densa Benth.,Elsholtzia densa,Benth.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Elsholtzia,Elsholtzia densa
539,Elsholtzia fruticosa,Elsholtzia fruticosa Rehder,Elsholtzia fruticosa,Rehder,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Elsholtzia,Elsholtzia fruticosa
540,Elsholtzia incisa,Elsholtzia incisa (Benth.) Benth.,Elsholtzia incisa,(Benth.) Benth.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Elsholtzia,Elsholtzia stachyodes
541,Elyonurus muticus,Elyonurus muticus (Spreng.) Kuntze,Elyonurus muticus,(Spreng.) Kuntze,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Elionurus,Elionurus muticus
542,Eremostachys adenantha,Eremostachys adenantha Jaub. & Spach,Eremostachys adenantha,Jaub. & Spach,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Phlomoides,Phlomoides adenantha
543,Eremostachys macrophylla,Eremostachys macrophylla Montbret & Aucher ex Benth.,Eremostachys macrophylla,Montbret & Aucher ex Benth.,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Phlomoides,Phlomoides molucelloides
544,Erica manipuliflora Salisb.,Erica manipuliflora Salisb.,Erica manipuliflora,Salisb.,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Erica,Erica manipuliflora
545,Erichtites hieracifolia,Erechtites hieracifolia (L.) Raf.,Erechtites hieracifolia,(L.) Raf.,Typographical Error,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erechtites,Erechtites hieracifolia
546,Erigeron acris,Erigeron acris L.,Erigeron acris,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron acris
547,Erigeron annuus,Erigeron annuus Pers.,Erigeron annuus,Pers.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron annuus
548,Erigeron floribundus,Erigeron floribundus Sch.Bip.,Erigeron floribundus,Sch.Bip.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron floribundus
549,Eryngium billardieri,Eryngium billardieri Delar.,Eryngium billardieri,Delar.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium billardieri
550,Eryngium bungei,Eryngium bungei Boiss.,Eryngium bungei,Boiss.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium bungei
551,Eryngium caeruleum,Eryngium caeruleum M.Bieb.,Eryngium caeruleum,M.Bieb.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium caucasicum
552,Eryngium expansum,Eryngium expansum F.Muell.,Eryngium expansum,F.Muell.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium expansum
553,Eryngium foetidum,Eryngium foetidum L.,Eryngium foetidum,L.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium foetidum
554,Eryngium palmatum,Eryngium palmatum Pan_i_ & Vis.,Eryngium palmatum,Pan_i_ & Vis.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium palmatum
555,Eryngium paludosum,Eryngium paludosum (C.Moore & Betche) P.W.Michael,Eryngium paludosum,(C.Moore & Betche) P.W.Michael,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium paludosum
556,Eryngium pandanifolium,Eryngium pandanifolium Cham. & Schltdl.,Eryngium pandanifolium,Cham. & Schltdl.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium pandanifolium
557,Eryngium paniculatum,Eryngium paniculatum Cav. & Dombey ex Delar.,Eryngium paniculatum,Cav. & Dombey ex Delar.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium humboldtii
558,Eryngium rostratum,Eryngium rostratum Cav.,Eryngium rostratum,Cav.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium rostratum
559,Eryngium serbicum,Eryngium serbicum Pan_i_,Eryngium serbicum,Pan_i_,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium serbicum
560,Eryngium sp nov.,Eryngium L.,Eryngium sp nov.,unresolved,This should be more specifically mentioned according to the journal article,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,
561,Eryngium species,Eryngium L.,Eryngium spp.,unresolved,The specific species (from the article) are already existing in the data,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,
562,Eryngium vesiculosum,Eryngium vesiculosum Labill.,Eryngium vesiculosum,Labill.,,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium vesiculosum
563,Eschweilera coriacea,Eschweilera coriacea (DC.) S.A.Mori,Eschweilera coriacea,(DC.) S.A.Mori,,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae,Eschweilera,Eschweilera coriacea
564,Espeletia batata,Espeletia batata Cuatrec.,Espeletia batata,Cuatrec.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Espeletia,Espeletia batata
565,Eucalyptus alba,Eucalyptus alba Reinw. ex Blume,Eucalyptus alba,Reinw. ex Blume,,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus alba
