Compound_name,OPSIN_lookup_name,OPSIN_inchis,OPSIN_comments
"2,4,6-trimethylbenzene","2,4,6-trimethylbenzene",,"2,4,6-trimethylbenzene'' is unparsable due to the following being uninterpretable: ''2,4,6-trimethylbenzene'' The following was not parseable: ''2,4,6-trimethylbenzene''"
"2,6-dimethyl-1,3(e),s(z),7-octatetraene","2,6-dimethyl-1,3(e),s(z),7-octatetraene",,"2,6-dimethyl-1,3(e),s(z),7-octatetraene'' is unparsable due to the following being uninterpretable: ''2,6-dimethyl-1,3(e),s(z),7-octatetraene'' The following was not parseable: ''2,6-dimethyl-1,3(e),s(z),7-octatetraene''"
"2,6-dimethyl-1,7-octadiene-3,6-diol","2,6-dimethyl-1,7-octadiene-3,6-diol",,"2,6-dimethyl-1,7-octadiene-3,6-diol'' is unparsable due to the following being uninterpretable: ''2,6-dimethyl-1,7-octadiene-3,6-diol'' The following was not parseable: ''2,6-dimethyl-1,7-octadiene-3,6-diol''"
"2,6-dimethyl-3(e),5(e),7-octatrien-2-ol","2,6-dimethyl-3(e),5(e),7-octatrien-2-ol",,"2,6-dimethyl-3(e),5(e),7-octatrien-2-ol'' is unparsable due to the following being uninterpretable: ''2,6-dimethyl-3(e),5(e),7-octatrien-2-ol'' The following was not parseable: ''2,6-dimethyl-3(e),5(e),7-octatrien-2-ol''"
2(e)-hexenal,2(e)-hexenal,,2(e)-hexenal is unparsable due to the following being uninterpretable: 2(e)-hexenal The following was not parseable: al
22-beta-hydroxyoleanonic acid,22-beta-hydroxyoleanonic acid,,22-beta-hydroxyoleanonic acid is unparsable due to the following being uninterpretable: oleanonic acid The following was not parseable: anonic acid
3-carene,3-carene,"InChI=1/C10H16/c1-7-4-5-8-9(6-7)10(8,2)3/h4,8-9H,5-6H2,1-3H3",
"3-ethyl-3,5-dimethylpyrazine","3-ethyl-3,5-dimethylpyrazine",,"3-ethyl-3,5-dimethylpyrazine'' is unparsable due to the following being uninterpretable: ''3-ethyl-3,5-dimethylpyrazine'' The following was not parseable: ''3-ethyl-3,5-dimethylpyrazine''"
3-heptanone,3-heptanone,"InChI=1/C7H14O/c1-3-5-6-7(8)4-2/h3-6H2,1-2H3",
3-hepten-2-one,3-hepten-2-one,"InChI=1/C7H12O/c1-3-4-5-6-7(2)8/h5-6H,3-4H2,1-2H3",
3-hexenol,3-hexenol,"InChI=1/C6H12O/c1-2-3-4-5-6-7/h3-4,7H,2,5-6H2,1H3",
3-hydroxy-2-butanone,3-hydroxy-2-butanone,"InChI=1/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3",
3-methylbutanal,3-methylbutanal,"InChI=1/C5H10O/c1-5(2)3-4-6/h4-5H,3H2,1-2H3",
3-methylbutyl hexanoate,3-methylbutyl hexanoate,"InChI=1/C11H22O2/c1-4-5-6-7-11(12)13-9-8-10(2)3/h10H,4-9H2,1-3H3",
3-methylthiopropanal,3-methylthiopropanal,"InChI=1/C4H8OS/c1-6-4-2-3-5/h3H,2,4H2,1H3",
3-octanol,3-octanol,"InChI=1/C8H18O/c1-3-5-6-7-8(9)4-2/h8-9H,3-7H2,1-2H3",
3-octanone,3-octanone,"InChI=1/C8H16O/c1-3-5-6-7-8(9)4-2/h3-7H2,1-2H3",
3-octyl acetate,3-octyl acetate,"InChI=1/C10H20O2/c1-4-6-7-8-10(5-2)12-9(3)11/h10H,4-8H2,1-3H3",
3-phenylpropanal,3-phenylpropanal,"InChI=1/C9H10O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,8H,4,7H2",
3-thujene,3-thujene,"InChI=1/C10H16/c1-7(2)10-5-4-8(3)9(10)6-10/h4,7,9H,5-6H2,1-3H3",
3-thujopsanone,3-thujopsanone,,3-thujopsanone is unparsable due to the following being uninterpretable: 3-thujopsanone The following was not parseable: psanone
"3,4-dimethyl-1,5-heptadiene","3,4-dimethyl-1,5-heptadiene",,"3,4-dimethyl-1,5-heptadiene'' is unparsable due to the following being uninterpretable: ''3,4-dimethyl-1,5-heptadiene'' The following was not parseable: ''3,4-dimethyl-1,5-heptadiene''"
"3,4-dimethyl-5-pentylidene-2(5h)-furanone","3,4-dimethyl-5-pentylidene-2(5h)-furanone",,"3,4-dimethyl-5-pentylidene-2(5h)-furanone'' is unparsable due to the following being uninterpretable: ''3,4-dimethyl-5-pentylidene-2(5h)-furanone'' The following was not parseable: ''3,4-dimethyl-5-pentylidene-2(5h)-furanone''"
4-hydroxy-2-methyl acetophenone,4-hydroxy-2-methyl acetophenone,,Cannot find in scope fragment with atom with locant 4.
4-isopropyl phenol,4-isopropyl phenol,"InChI=1/C9H12O/c1-7(2)8-3-5-9(10)6-4-8/h3-7,10H,1-2H3",
"4-isopropyl-6-methyl-1,2,3,4-tetrahydronaphthalen-1-one","4-isopropyl-6-methyl-1,2,3,4-tetrahydronaphthalen-1-one",,"4-isopropyl-6-methyl-1,2,3,4-tetrahydronaphthalen-1-one'' is unparsable due to the following being uninterpretable: ''4-isopropyl-6-methyl-1,2,3,4-tetrahydronaphthalen-1-one'' The following was not parseable: ''4-isopropyl-6-methyl-1,2,3,4-tetrahydronaphthalen-1-one''"
4-methylene-isophorone,4-methylene-isophorone,,Cannot find in scope fragment with atom with locant 4.
4-methylpentylisothiocynate,4-methylpentylisothiocynate,,4-methylpentylisothiocynate is unparsable due to the following being uninterpretable: isothiocynate The following was not parseable: thiocynate
4-methylthiobutyl isothiocynate,4-methylthiobutyl isothiocynate,,4-methylthiobutyl isothiocynate is unparsable due to the following being uninterpretable: isothiocynate The following was not parseable: thiocynate
4-terpineol,4-terpineol,,4-terpineol is unparsable due to the following being uninterpretable: 4-terpineol The following was not parseable: eol
4-vinyl-2-methoxyphenol,4-vinyl-2-methoxyphenol,"InChI=1/C9H10O2/c1-3-7-4-5-8(10)9(6-7)11-2/h3-6,10H,1H2,2H3",
"4,3,4-trimetylbenzaldehyde","4,3,4-trimetylbenzaldehyde",,"4,3,4-trimetylbenzaldehyde'' is unparsable due to the following being uninterpretable: ''4,3,4-trimetylbenzaldehyde'' The following was not parseable: ''4,3,4-trimetylbenzaldehyde''"
"4a-beta,7-alpha,7a-beta-nepetalactone","4a-beta,7-alpha,7a-beta-nepetalactone",,"4a-beta,7-alpha,7a-beta-nepetalactone'' is unparsable due to the following being uninterpretable: ''4a-beta,7-alpha,7a-beta-nepetalactone'' The following was not parseable: ''4a-beta,7-alpha,7a-beta-nepetalactone''"
"5-(3-furyl),2-methyl-1-penten-3-ol","5-(3-furyl),2-methyl-1-penten-3-ol",,"5-(3-furyl),2-methyl-1-penten-3-ol'' is unparsable due to the following being uninterpretable: ''5-(3-furyl),2-methyl-1-penten-3-ol'' The following was not parseable: ''5-(3-furyl),2-methyl-1-penten-3-ol''"
5-epi-paradisiol,5-epi-paradisiol,,5-epi-paradisiol is unparsable due to the following being uninterpretable: 5-epi-paradisiol The following was not parseable: pi-paradisiol
5-methyl-3-heptanone,5-methyl-3-heptanone,"InChI=1/C8H16O/c1-4-7(3)6-8(9)5-2/h7H,4-6H2,1-3H3",
5-undecanole,5-undecanole,,5-undecanole is unparsable due to the following being uninterpretable: e The following was not parseable: e
"6-alpha-hydroxygermacra-1(10),4-diene","6-alpha-hydroxygermacra-1(10),4-diene",,"6-alpha-hydroxygermacra-1(10),4-diene'' is unparsable due to the following being uninterpretable: ''6-alpha-hydroxygermacra-1(10),4-diene'' The following was not parseable: ''6-alpha-hydroxygermacra-1(10),4-diene''"
"6-hydroxy-2,2,6-trimethyl-cyclohexanone","6-hydroxy-2,2,6-trimethyl-cyclohexanone",,"6-hydroxy-2,2,6-trimethyl-cyclohexanone'' is unparsable due to the following being uninterpretable: ''6-hydroxy-2,2,6-trimethyl-cyclohexanone'' The following was not parseable: ''6-hydroxy-2,2,6-trimethyl-cyclohexanone''"
6-hydroxycarvotanacetone,6-hydroxycarvotanacetone,,6-hydroxycarvotanacetone is unparsable due to the following being uninterpretable: carvotanacetone The following was not parseable: votanacetone
"6-methyl-3,5-heptadien-2-one","6-methyl-3,5-heptadien-2-one",,"6-methyl-3,5-heptadien-2-one'' is unparsable due to the following being uninterpretable: ''6-methyl-3,5-heptadien-2-one'' The following was not parseable: ''6-methyl-3,5-heptadien-2-one''"
6-methyl-5-hepten-2-ol,6-methyl-5-hepten-2-ol,"InChI=1/C8H16O/c1-7(2)5-4-6-8(3)9/h5,8-9H,4,6H2,1-3H3",
6-methyl-5-hepten-2-one,6-methyl-5-hepten-2-one,"InChI=1/C8H14O/c1-7(2)5-4-6-8(3)9/h5H,4,6H2,1-3H3",
"6-metyl-3,5-heptadien-2-one","6-metyl-3,5-heptadien-2-one",,"6-metyl-3,5-heptadien-2-one'' is unparsable due to the following being uninterpretable: ''6-metyl-3,5-heptadien-2-one'' The following was not parseable: ''6-metyl-3,5-heptadien-2-one''"
6-pentyl-alpha-pyrone,6-pentyl-alpha-pyrone,,Unable to assign all locants. This locant was not assigned: alpha
"6,10,14-trimethylpentadecan-2-one","6,10,14-trimethylpentadecan-2-one",,"6,10,14-trimethylpentadecan-2-one'' is unparsable due to the following being uninterpretable: ''6,10,14-trimethylpentadecan-2-one'' The following was not parseable: ''6,10,14-trimethylpentadecan-2-one''"
7-alpha-h-silphiperphol-5-ene,7-alpha-h-silphiperphol-5-ene,,7-alpha-h-silphiperphol-5-ene is unparsable due to the following being uninterpretable: 7-alpha-h-silphiperphol-5-ene The following was not parseable: h-silphiperphol-5-ene
7-epi-alpha-selinene,7-epi-alpha-selinene,,7-epi-alpha-selinene is unparsable due to the following being uninterpretable: 7-epi-alpha-selinene The following was not parseable: pi-alpha-selinene
7-isobutyryloxythymolisobutyrate,7-isobutyryloxythymolisobutyrate,,7-isobutyryloxythymolisobutyrate is unparsable due to the following being uninterpretable: isobutyrate The following was not parseable: isobutyrate
"7alphah,10deltah-cadina-1(6),4-diene","7alphah,10deltah-cadina-1(6),4-diene",,"7alphah,10deltah-cadina-1(6),4-diene'' is unparsable due to the following being uninterpretable: ''7alphah,10deltah-cadina-1(6),4-diene'' The following was not parseable: ''7alphah,10deltah-cadina-1(6),4-diene''"
8-hydroxy bicyclogermacrene*,8-hydroxy bicyclogermacrene*,,8-hydroxy bicyclogermacrene* is unparsable due to the following being uninterpretable: bicyclogermacrene* The following was not parseable: acrene*
9-aristolen-1-alpha-ol,9-aristolen-1-alpha-ol,,9-aristolen-1-alpha-ol is unparsable due to the following being uninterpretable: 9-aristolen-1-alpha-ol The following was not parseable: aristolen-1-alpha-ol
9-decenol,9-decenol,"InChI=1/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h2,11H,1,3-10H2",
9-epi-caryophyllene,9-epi-caryophyllene,,9-epi-caryophyllene is unparsable due to the following being uninterpretable: 9-epi-caryophyllene The following was not parseable: pi-caryophyllene
9-octadecene,9-octadecene,"InChI=1/C18H36/c1-3-5-7-9-11-13-15-17-18-16-14-12-10-8-6-4-2/h17-18H,3-16H2,1-2H3",
"9,12-octadecadienoic acid","9,12-octadecadienoic acid",,"9,12-octadecadienoic acid'' is unparsable due to the following being uninterpretable: ''9,12-octadecadienoic acid'' The following was not parseable: ''9,12-octadecadienoic acid''"
âalpha-calacorene,âalpha-calacorene,,Unrecognised unicode character: 
abietatriene,abietatriene,,abietatriene is unparsable due to the following being uninterpretable: abietatriene The following was not parseable: abietatriene
acetate,acetate,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1/fC2H3O2/q-1",
acetic acid,acetic acid,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H",
"acora-3,5-diene-11-ol","acora-3,5-diene-11-ol",,"acora-3,5-diene-11-ol'' is unparsable due to the following being uninterpretable: ''acora-3,5-diene-11-ol'' The following was not parseable: ''acora-3,5-diene-11-ol''"
acoradiene,acoradiene,,acoradiene is unparsable due to the following being uninterpretable: acoradiene The following was not parseable: acoradiene
acorone,acorone,,acorone is unparsable due to the following being uninterpretable: acorone The following was not parseable: acorone
aliphatic hydrocarbons,aliphatic hydrocarbons,,aliphatic hydrocarbons is unparsable due to the following being uninterpretable: aliphatic hydrocarbons The following was not parseable: aliphatic hydrocarbons
alkane and alkene,alkane and alkene,,alkane and alkene is unparsable due to the following being uninterpretable: alkane and alkene The following was not parseable: alkane and alkene
allo-ammadendrene,allo-ammadendrene,,allo-ammadendrene is unparsable due to the following being uninterpretable: allo-ammadendrene The following was not parseable: ammadendrene
allo-aromadandrene,allo-aromadandrene,,allo-aromadandrene is unparsable due to the following being uninterpretable: allo-aromadandrene The following was not parseable: aromadandrene
allo-aromadendrene,allo-aromadendrene,,allo-aromadendrene is unparsable due to the following being uninterpretable: allo-aromadendrene The following was not parseable: aromadendrene
allo-aromadendrene epoxide,allo-aromadendrene epoxide,,allo-aromadendrene epoxide is unparsable due to the following being uninterpretable: allo-aromadendrene epoxide The following was not parseable: aromadendrene epoxide
allo-ocimene,allo-ocimene,,allo-ocimene is unparsable due to the following being uninterpretable: allo-ocimene The following was not parseable: cimene
alpha- humulene,alpha- humulene,,alpha- humulene is unparsable due to the following being uninterpretable: alpha- humulene The following was not parseable: humulene
alpha-alaskene,alpha-alaskene,,alpha-alaskene is unparsable due to the following being uninterpretable: alpha-alaskene The following was not parseable: alaskene
alpha-amorphene,alpha-amorphene,,alpha-amorphene is unparsable due to the following being uninterpretable: alpha-amorphene The following was not parseable: amorphene
alpha-aromadendrene,alpha-aromadendrene,,alpha-aromadendrene is unparsable due to the following being uninterpretable: alpha-aromadendrene The following was not parseable: aromadendrene
alpha-bergamotene,alpha-bergamotene,,alpha-bergamotene is unparsable due to the following being uninterpretable: alpha-bergamotene The following was not parseable: bergamotene
alpha-bisabolene,alpha-bisabolene,,alpha-bisabolene is unparsable due to the following being uninterpretable: alpha-bisabolene The following was not parseable: abolene
alpha-bisabolol,alpha-bisabolol,,alpha-bisabolol is unparsable due to the following being uninterpretable: alpha-bisabolol The following was not parseable: abolol
alpha-bisabololoxide b,alpha-bisabololoxide b,,alpha-bisabololoxide b is unparsable due to the following being uninterpretable: alpha-bisabololoxide b The following was not parseable: abololoxide b
alpha-bulnesene,alpha-bulnesene,,alpha-bulnesene is unparsable due to the following being uninterpretable: alpha-bulnesene The following was not parseable: bulnesene
alpha-cadinene,alpha-cadinene,,alpha-cadinene is unparsable due to the following being uninterpretable: alpha-cadinene The following was not parseable: cadinene
alpha-cadinol,alpha-cadinol,,alpha-cadinol is unparsable due to the following being uninterpretable: alpha-cadinol The following was not parseable: cadinol
alpha-calacorene,alpha-calacorene,,alpha-calacorene is unparsable due to the following being uninterpretable: alpha-calacorene The following was not parseable: calacorene
alpha-calacorene+n.i. m+220,alpha-calacorene+n.i. m+220,,alpha-calacorene+n.i. m+220 is unparsable due to the following being uninterpretable: alpha-calacorene+n.i. m+220 The following was not parseable: calacorene+n.i. m+220
alpha-campholena,alpha-campholena,,alpha-campholena is unparsable due to the following being uninterpretable: alpha-campholena The following was not parseable: na
alpha-campholenal,alpha-campholenal,,alpha-campholenal is unparsable due to the following being uninterpretable: alpha-campholenal The following was not parseable: nal
alpha-campholenicaldehyde,alpha-campholenicaldehyde,,alpha-campholenicaldehyde is unparsable due to the following being uninterpretable: alpha-campholenicaldehyde The following was not parseable: nicaldehyde
alpha-caryophyllene,alpha-caryophyllene,,alpha-caryophyllene is unparsable due to the following being uninterpretable: alpha-caryophyllene The following was not parseable: yophyllene
alpha-cedrene,alpha-cedrene,,alpha-cedrene is unparsable due to the following being uninterpretable: alpha-cedrene The following was not parseable: cedrene
alpha-copaene,alpha-copaene,,alpha-copaene is unparsable due to the following being uninterpretable: alpha-copaene The following was not parseable: copaene
alpha-copane,alpha-copane,,alpha-copane is unparsable due to the following being uninterpretable: alpha-copane The following was not parseable: copane
alpha-cubebene,alpha-cubebene,,alpha-cubebene is unparsable due to the following being uninterpretable: alpha-cubebene The following was not parseable: ebene
alpha-curcumene,alpha-curcumene,,alpha-curcumene is unparsable due to the following being uninterpretable: alpha-curcumene The following was not parseable: curcumene
alpha-dehydro-ar-himachalene,alpha-dehydro-ar-himachalene,,alpha-dehydro-ar-himachalene is unparsable due to the following being uninterpretable: ar-himachalene The following was not parseable: ar-himachalene
alpha-eudesmol,alpha-eudesmol,,alpha-eudesmol is unparsable due to the following being uninterpretable: alpha-eudesmol The following was not parseable: udesmol
alpha-eudesmol acetate,alpha-eudesmol acetate,,alpha-eudesmol acetate is unparsable due to the following being uninterpretable: alpha-eudesmol acetate The following was not parseable: udesmol acetate
alpha-farnesene,alpha-farnesene,"InChI=1/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9-10,12H,1,7-8,11H2,2-5H3/b14-10+,15-12+",
alpha-fenchene,alpha-fenchene,,alpha-fenchene is unparsable due to the following being uninterpretable: alpha-fenchene The following was not parseable: fenchene
alpha-fenchol,alpha-fenchol,,alpha-fenchol is unparsable due to the following being uninterpretable: alpha-fenchol The following was not parseable: fenchol
alpha-fenchyl acetate,alpha-fenchyl acetate,,alpha-fenchyl acetate is unparsable due to the following being uninterpretable: alpha-fenchyl acetate The following was not parseable: fenchyl acetate
alpha-guaiene,alpha-guaiene,,alpha-guaiene is unparsable due to the following being uninterpretable: alpha-guaiene The following was not parseable: guaiene
alpha-gurjunene,alpha-gurjunene,,alpha-gurjunene is unparsable due to the following being uninterpretable: alpha-gurjunene The following was not parseable: gurjunene
alpha-humulene,alpha-humulene,,alpha-humulene is unparsable due to the following being uninterpretable: alpha-humulene The following was not parseable: humulene
alpha-humulene+(z)-methyl isoeugenol,alpha-humulene+(z)-methyl isoeugenol,,alpha-humulene+(z)-methyl isoeugenol is unparsable due to the following being uninterpretable: alpha-humulene+(z)-methyl isoeugenol The following was not parseable: humulene+(z)-methyl isoeugenol
alpha-ionone,alpha-ionone,,alpha-ionone is unparsable due to the following being uninterpretable: alpha-ionone The following was not parseable: ionone
alpha-isocomene,alpha-isocomene,,alpha-isocomene is unparsable due to the following being uninterpretable: alpha-isocomene The following was not parseable: comene
alpha-longipinene,alpha-longipinene,,alpha-longipinene is unparsable due to the following being uninterpretable: alpha-longipinene The following was not parseable: ongipinene
alpha-muurolene,alpha-muurolene,,alpha-muurolene is unparsable due to the following being uninterpretable: alpha-muurolene The following was not parseable: muurolene
alpha-muurolol,alpha-muurolol,,alpha-muurolol is unparsable due to the following being uninterpretable: alpha-muurolol The following was not parseable: muurolol
alpha-p-dimethylstyrene,alpha-p-dimethylstyrene,,"Unable to assign all locants. These locants were not assigned: alpha 1,para"
alpha-phellandrene,alpha-phellandrene,,alpha-phellandrene is unparsable due to the following being uninterpretable: alpha-phellandrene The following was not parseable: phellandrene
alpha-phellandrene epoxide,alpha-phellandrene epoxide,,alpha-phellandrene epoxide is unparsable due to the following being uninterpretable: alpha-phellandrene epoxide The following was not parseable: phellandrene epoxide
alpha-phellandrene-8-ol,alpha-phellandrene-8-ol,,alpha-phellandrene-8-ol is unparsable due to the following being uninterpretable: alpha-phellandrene-8-ol The following was not parseable: phellandrene-8-ol
alpha-pinene,alpha-pinene,,Unable to assign all locants. This locant was not assigned: alpha
alpha-pinene oxide isomer2,alpha-pinene oxide isomer2,,alpha-pinene oxide isomer2 is unparsable due to the following being uninterpretable: isomer2 The following was not parseable: mer2
alpha-santalene,alpha-santalene,,alpha-santalene is unparsable due to the following being uninterpretable: alpha-santalene The following was not parseable: santalene
alpha-selina-11-en-4-ol,alpha-selina-11-en-4-ol,,alpha-selina-11-en-4-ol is unparsable due to the following being uninterpretable: alpha-selina-11-en-4-ol The following was not parseable: ina-11-en-4-ol
alpha-selinene,alpha-selinene,,alpha-selinene is unparsable due to the following being uninterpretable: alpha-selinene The following was not parseable: inene
alpha-terpinene,alpha-terpinene,,Disagreement between number of locants(alpha) and ring assembly multiplier: 3
alpha-terpineol,alpha-terpineol,,alpha-terpineol is unparsable due to the following being uninterpretable: alpha-terpineol The following was not parseable: eol
alpha-terpineol/borneol,alpha-terpineol/borneol,,alpha-terpineol/borneol is unparsable due to the following being uninterpretable: alpha-terpineol/borneol The following was not parseable: eol/borneol
alpha-terpinyl acetate,alpha-terpinyl acetate,,Disagreement between number of locants(alpha) and ring assembly multiplier: 3
alpha-terpinyl formate,alpha-terpinyl formate,,Disagreement between number of locants(alpha) and ring assembly multiplier: 3
alpha-thujene,alpha-thujene,,Unable to assign all locants. This locant was not assigned: alpha
alpha-thujone,alpha-thujone,,alpha-thujone is unparsable due to the following being uninterpretable: alpha-thujone The following was not parseable:
alpha-trans-bergamotene,alpha-trans-bergamotene,,alpha-trans-bergamotene is unparsable due to the following being uninterpretable: alpha-trans-bergamotene The following was not parseable: bergamotene
alpha-trans-bergamotol,alpha-trans-bergamotol,,alpha-trans-bergamotol is unparsable due to the following being uninterpretable: alpha-trans-bergamotol The following was not parseable: bergamotol
alpha-ylangene,alpha-ylangene,,alpha-ylangene is unparsable due to the following being uninterpretable: alpha-ylangene The following was not parseable: ylangene
alpha-zingiberene,alpha-zingiberene,,alpha-zingiberene is unparsable due to the following being uninterpretable: alpha-zingiberene The following was not parseable: ingiberene
amyl alcohol,amyl alcohol,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",
amyl cinnamate,amyl cinnamate,"InChI=1/C14H18O2/c1-2-3-7-12-16-14(15)11-10-13-8-5-4-6-9-13/h4-6,8-11H,2-3,7,12H2,1H3",
apiole,apiole,,apiole is unparsable due to the following being uninterpretable: apiole The following was not parseable: le
ar-curcumene,ar-curcumene,,ar-curcumene is unparsable due to the following being uninterpretable: ar-curcumene The following was not parseable: ar-curcumene
ar-tumerone,ar-tumerone,,ar-tumerone is unparsable due to the following being uninterpretable: ar-tumerone The following was not parseable: ar-tumerone
ar-turmerol,ar-turmerol,,ar-turmerol is unparsable due to the following being uninterpretable: ar-turmerol The following was not parseable: ar-turmerol
aristolone,aristolone,,aristolone is unparsable due to the following being uninterpretable: aristolone The following was not parseable: aristolone
aromadendrene,aromadendrene,,aromadendrene is unparsable due to the following being uninterpretable: aromadendrene The following was not parseable: aromadendrene
aromadendrene oxide,aromadendrene oxide,,aromadendrene oxide is unparsable due to the following being uninterpretable: aromadendrene oxide The following was not parseable: aromadendrene oxide
artemisia alcohol,artemisia alcohol,,artemisia alcohol is unparsable due to the following being uninterpretable: artemisia alcohol The following was not parseable: artemisia alcohol
artemisia ketone,artemisia ketone,,artemisia ketone is unparsable due to the following being uninterpretable: artemisia ketone The following was not parseable: artemisia ketone
artemisiaacetate,artemisiaacetate,,artemisiaacetate is unparsable due to the following being uninterpretable: artemisiaacetate The following was not parseable: artemisiaacetate
atlantone,atlantone,,atlantone is unparsable due to the following being uninterpretable: atlantone The following was not parseable: atlantone
azulene,azulene,InChI=1/C10H8/c1-2-5-9-7-4-8-10(9)6-3-1/h1-8H,
benzaldehyde,benzaldehyde,InChI=1/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,
benzene acetaldehyde,benzene acetaldehyde,"InChI=1/C6H6.C2H4O/c1-2-4-6-5-3-1;1-2-3/h1-6H;2H,1H3",
benzenepropanal,benzenepropanal,"InChI=1/C9H10O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,8H,4,7H2",
benzocyclobutane,benzocyclobutane,"InChI=1/C8H8/c1-2-4-8-6-5-7(8)3-1/h1-4H,5-6H2",
benzyl alcohol,benzyl alcohol,"InChI=1/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",
benzyl benzoate,benzyl benzoate,"InChI=1/C14H12O2/c15-14(13-9-5-2-6-10-13)16-11-12-7-3-1-4-8-12/h1-10H,11H2",
benzyl butyrate,benzyl butyrate,"InChI=1/C11H14O2/c1-2-6-11(12)13-9-10-7-4-3-5-8-10/h3-5,7-8H,2,6,9H2,1H3",
benzyl isovalerate,benzyl isovalerate,"InChI=1/C12H16O2/c1-10(2)8-12(13)14-9-11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3",
benzyl nonanoate,benzyl nonanoate,"InChI=1/C16H24O2/c1-2-3-4-5-6-10-13-16(17)18-14-15-11-8-7-9-12-15/h7-9,11-12H,2-6,10,13-14H2,1H3",
benzyl salicylate,benzyl salicylate,"InChI=1/C14H12O3/c15-13-9-5-4-8-12(13)14(16)17-10-11-6-2-1-3-7-11/h1-9,15H,10H2",
bergamale,bergamale,,bergamale is unparsable due to the following being uninterpretable: bergamale The following was not parseable: bergamale
bergamotene,bergamotene,,bergamotene is unparsable due to the following being uninterpretable: bergamotene The following was not parseable: bergamotene
bergamotol acetate,bergamotol acetate,,bergamotol acetate is unparsable due to the following being uninterpretable: bergamotol acetate The following was not parseable: bergamotol acetate
bergapten,bergapten,,bergapten is unparsable due to the following being uninterpretable: bergapten The following was not parseable: bergapten
beta- caryophyllene,beta- caryophyllene,,beta- caryophyllene is unparsable due to the following being uninterpretable: beta- caryophyllene The following was not parseable:  caryophyllene
beta-acoradiene,beta-acoradiene,,beta-acoradiene is unparsable due to the following being uninterpretable: beta-acoradiene The following was not parseable: acoradiene
beta-atlantol,beta-atlantol,,beta-atlantol is unparsable due to the following being uninterpretable: beta-atlantol The following was not parseable: atlantol
beta-bisabolene,beta-bisabolene,,beta-bisabolene is unparsable due to the following being uninterpretable: beta-bisabolene The following was not parseable: abolene
beta-bisabolol,beta-bisabolol,,beta-bisabolol is unparsable due to the following being uninterpretable: beta-bisabolol The following was not parseable: abolol
beta-bourbonene,beta-bourbonene,,beta-bourbonene is unparsable due to the following being uninterpretable: beta-bourbonene The following was not parseable: bourbonene
beta-cadinene,beta-cadinene,,beta-cadinene is unparsable due to the following being uninterpretable: beta-cadinene The following was not parseable: cadinene
beta-caryophyllene,beta-caryophyllene,,beta-caryophyllene is unparsable due to the following being uninterpretable: beta-caryophyllene The following was not parseable: yophyllene
beta-caryophyllene alcohol,beta-caryophyllene alcohol,,beta-caryophyllene alcohol is unparsable due to the following being uninterpretable: beta-caryophyllene alcohol The following was not parseable: yophyllene alcohol
beta-caryophyllene oxide,beta-caryophyllene oxide,,beta-caryophyllene oxide is unparsable due to the following being uninterpretable: beta-caryophyllene oxide The following was not parseable: yophyllene oxide
beta-cedren-9-one,beta-cedren-9-one,,beta-cedren-9-one is unparsable due to the following being uninterpretable: beta-cedren-9-one The following was not parseable: cedren-9-one
beta-cedrene,beta-cedrene,,beta-cedrene is unparsable due to the following being uninterpretable: beta-cedrene The following was not parseable: cedrene
beta-cedreneepoxide,beta-cedreneepoxide,,beta-cedreneepoxide is unparsable due to the following being uninterpretable: beta-cedreneepoxide The following was not parseable: cedreneepoxide
beta-copaen-4-alpha-ol,beta-copaen-4-alpha-ol,,beta-copaen-4-alpha-ol is unparsable due to the following being uninterpretable: beta-copaen-4-alpha-ol The following was not parseable: copaen-4-alpha-ol
beta-copaene,beta-copaene,,beta-copaene is unparsable due to the following being uninterpretable: beta-copaene The following was not parseable: copaene
beta-cubebene,beta-cubebene,,beta-cubebene is unparsable due to the following being uninterpretable: beta-cubebene The following was not parseable: ebene
beta-curcumine,beta-curcumine,,beta-curcumine is unparsable due to the following being uninterpretable: e The following was not parseable: e
beta-cyclocitral,beta-cyclocitral,,beta-cyclocitral is unparsable due to the following being uninterpretable: beta-cyclocitral The following was not parseable: citral
beta-cymene,beta-cymene,,Unable to assign all locants. This locant was not assigned: beta
beta-cyperone,beta-cyperone,,beta-cyperone is unparsable due to the following being uninterpretable: beta-cyperone The following was not parseable: cyperone
beta-damascenone,beta-damascenone,,beta-damascenone is unparsable due to the following being uninterpretable: beta-damascenone The following was not parseable: amascenone
beta-dihydroagarofuran,beta-dihydroagarofuran,,beta-dihydroagarofuran is unparsable due to the following being uninterpretable: agarofuran The following was not parseable: agarofuran
