compound_identifier	original_name	cleaned_name	name_comments
1804C	7-ethyl-1,4-dimethylazulene		
1805C	arteannuic alcohol		
1806C	carvotane acetone		
1807C	1-(2,5-dimethyl-3-furyl)-ethanone		
1808C	16-kaurene		
1809C	1-heneicosene		
1810C	1-heptadecene		
1811C	2,3-dehydrdelta-alpha-ionol		
1812C	2,3-dihydrofarnesol		
1813C	2,4,6-trimethylpyridine		
1814C	2-acetyl-5-methylfuran		
1815C	2-acetylthiazole		
1816C	2-decanone		
1817C	2-hexanol		
1818C	2-nonadecanone		
1819C	3-methyl-2-butenol (prenol)		
1820C	3-methylbutyl propanoate		
1821C	3-methylthiopropanal		
1822C	3-undecanone		
1823C	3-undecen-2-one		
1824C	4-hydroxy-4-methyl-2-pentanone		
1825C	4-methyl-3-penten-2-one		
1826C	6-methylheptadecane		
1827C	benzophenone		
1828C	caryophyllene oxide d		
1829C	cis-isocitral		
1830C	cis-linalooloxide (furanoid) b		
1831C	cis-p-mentha-2-en-1-ol c		
1832C	cis-sesquisabinene hydrate		
1833C	dibenzofuran		
1834C	(e)-2-pentadecenal		
1835C	(e)-2-undecenal		
1836C	(e)-3-penten-2-one		
1837C	(e)-beta-farnesene epoxide((e)-(5,9-dimethyl-1-methylene-4,8-decadienyl)-oxirane)		
1838C	(e,e)-2,4-octadienal		
1839C	(e,e)-alpha-farnesene f		
1840C	(e,e)-farnesyl acetone f		
1841C	(e,z)-2,4-hexadienal		
1842C	(e,z)-alpha-farnesene		
1843C	humulene epoxide ii d		
1844C	neo-phytadiene (isomer i)		
1845C	nonadecanal		
1846C	pentanol		
1847C	phellandranal		
1848C	p-mentha-1,3-dien-7-al		
1849C	p-vinylguaiacol		
1850C	pyridine		
1851C	trans-p-mentha-2-en-1-ol c		
1852C	(z)-2-decenal		
1853C	(z)-6-dodecen-g-lactone		
1854C	(z)-9-hexadecenol		
1855C	(z)-falcarinol		
1856C	(e)-cinnamyl isovalerate		
1857C	beta-cymene		
1858C	bornylene		
1859C	(e)-cinnamyl valerate		
1860C	heptyl acetate		
1861C	myrene		
1862C	methyl oleate		
1863C	safrole		
1864C	caryophyllenol		
1865C	1,2,3,4,4-etramethyi-benzene		
1866C	2,3,6-trimethylbenzaidehyde		
1867C	2,3-dimethylbenzaldehydet		
1868C	2-methylcrotonic acid		
1869C	2-methylhexanoic acid		
1870C	3,3,4-trimetylbenzaldehyde		
1871C	beta-selinene epoxide		
1872C	cadinalpha-1,4-diene		
1873C	cadinene isomer		
1874C	dehydro-sabinene		
1875C	dihydroagarofuran isomer		
1876C	(e)-psclmene		
1877C	farnesol isomer		
1878C	ferulyl angelate		
1879C	ferulyl isovalerate		
1880C	guaiol isomer		
1881C	isoferulyl angelatet		
1882C	isoferulyl isovalerate		
1883C	methyl-2,3,6-trimethyl benzoate		
1884C	p-cymen-6-ol		
1885C	trimethylbenzene		
1886C	valeric add		
1887C	4,3,4-trimetylbenzaldehyde		
1888C	5,3,4-trimetylbenzaldehyde		
1889C	6,3,4-trimetylbenzaldehyde		
1890C	7,3,4-trimetylbenzaldehyde		
1891C	2,3,4-trimethylbenzaldehyde		
1892C	aromatic compounds		
1893C	guaiol isomer f,g		
1894C	alpha-humuleneepoxide-ii		
1895C	camphenilone		
1896C	cis-pinocamphone		
1897C	methyl camphenolate		
1898C	myrtanal		
1899C	trans-vertocitral c		
1900C	verbenene		
1901C	carvone hydrate		
1902C	caryophylla-4(14),8(15)-diene-5-alpha-ol		
1903C	caryophylla-4(14),8(15)-diene-5-beta-ol		
1904C	fenchol		
1905C	gamma-terpineol		
1906C	gamma-terpinolene		
1907C	trans-muurolene-4(14),5-diene		
1908C	guial		
1909C	p-menth-2-ene-1,4-diol		
1910C	(e)-3-hexenyl isovalerate		
1911C	5-methylfurfural		
1912C	cyperol		
1913C	isoeugenol		
1914C	cumene		
1915C	isothujyl alcohol		
1916C	tricyclo[4.4.0.0.2,7]dec-8-ene 3 methanol alpha,alpha,6,8 tetramethyl		
1917C	(e)-beta-damascone		
1918C	phenol		
1919C	1-cyano-3,4-epithiobutane		
1920C	2-decenal		
1921C	2-phenylethylisothiocynate		
1922C	3,5-octadien-2-one		
1923C	3-phenylpropionitrile		
1924C	4-methylpentanitrile		
1925C	4-methylpentylisothiocynate		
1926C	4-pentanylisothiocynate		
1927C	5-methylhexanitrile		
1928C	5-methylthiopentanitrile		
1929C	5-methylthiopentyl isothiocynate		
1930C	allylisothiocynate		
1931C	apole		
1932C	ar-tumerone		
1933C	carotol		
1934C	hexyl isobutyroate		
1935C	napthalene		
1936C	p-cymen-9-ol		
1937C	ishwarane		
1938C	occidentaiolacetate		
1939C	3-carene		
1940C	beta-thujaplicin		
1941C	methyl-3-phenylpropionate		
1942C	3-methylbenzaldehyde		
1943C	gamma-terpinen-7-al		
1944C	isosylvestrene		
1945C	m-cuminol		
1946C	p-cuminaldehyde		
1947C	trans-delta-menth-2-en-7-ol		
1948C	epi-cedrol		
1949C	aristolone		
1950C	2-decylfuran		
1951C	2-nonyl furan		
1952C	(e)-2-dodecenal		
1953C	(e)-2-tetradecenal		
1954C	(e)-2-tridecenal		
1955C	(e,z)-hecadecenal		
1956C	heptadecanal		
1957C	bicyclodegermacrene		
1958C	pinocenronat		
1959C	(-)-alpha-pinene		
1960C	(+)-alpha-pinene		
1961C	(+)-alpha-terpineol		
1962C	(-)-alpha-terpineol		
1963C	(-)-alpha-thujene		
1964C	(+)-alpha-thujene		
1965C	(-)-beta-pinene		
1966C	(+)-beta-pinene		
1967C	(+)-limonene		
1968C	(-)-limonene		
1969C	(-)-linalool		
1970C	(+)-linalool		
1971C	(-)sabinene		
1972C	(+)sabinene		
1973C	(+)terpinen-4-ol		
1974C	8-alpha-acetoxielemol		
1975C	cis-alpha-copaen-8-ol		
1976C	cromolaenin		
1977C	dihydroisochromolaenin		
1978C	guaien-4-ol		
1979C	trans calamenene		
1980C	verboccidentafuran		
1981C	ocimenol		
1982C	bergamale		
1983C	criptone		
1984C	drimenol		
1985C	trans-rose oxide		
1986C	caryophylla-4(12),8(13)-diene-5-beta-ol		
1987C	isoaromadendrene epoxide		
1988C	methyl tetradecanoate		
1989C	(z)-beta-damascenone		
1990C	intermedeol		
1991C	methyl dibenzothiophene		
1992C	sabinene+beta-pinene		
1993C	trans-p-mentha-1,8-dien-2-ol		
1994C	ar-curcumene+beta-selinene		
1995C	clovenol		
1996C	hentriacontane		
1997C	humulenol ii		
1998C	octacosane		
1999C	triacontane		
2000C	7-alpha-hydroxymanool		
2001C	8,13-epoxy-15,16-dinorlabd-12-ene		
2002C	isomer of 7-alpha-hydroxymanool		
2003C	isothymol methyl ether		
2004C	tau-cadinol + tau-muurolol		
2005C	10-epi-cadinol		
2006C	benzyl isobutyrate		
2007C	vinylbenzene		
2008C	8-alpha-11-elemenediol		
2009C	alphaÃ¢Â€Â”muurolene		
2010C	allo-ammadendrene		
2011C	cadin-alpha-1,4-diene		
2012C	cryptomeridiol		
2013C	isoterpinolene		
2014C	selin-11-en-4 alpha-ol		
2015C	epi-1-cubenol		
2016C	3-thujy alcohol		
2017C	di-epi-1,10-cubenol		
2018C	neo-dihydrocarvyl acetate		
2019C	perillal		
2020C	(z)-3-hexenyl butyrate		
2021C	1-hexen-3-ol		
2022C	curcumanolide a		
2023C	curcumanolide b		
2024C	curzeone		
2025C	curzerenone		
2026C	epi-curzerenone		
2027C	(e)-tagetenone		
2028C	furanodienone		
2029C	furanogermenone		
2030C	isocurcumenol		
2031C	isofuranoidienone		
2032C	zedoarol		
2033C	1,6-germacradien-5-alpha-ol		
2034C	4-nonanol		
2035C	4-nonanone		
2036C	4-undecanone		
2037C	5-epi-7-epi-alpha-eudesmol		
2038C	calarene (=beta-gurjunene)		
2039C	dimyrcene ii-a		
2040C	dimyrcene ii-b		
2041C	guaia-3,7-diene		
2042C	zizanene		
2043C	2-methyl-6-methylene-3,7-octadien-2-ol		
2044C	epi-zonarene		
2045C	germacra-1,6-diene-5!b-ol		
2046C	guaia-6,9-diene		
2047C	(z)-anethole		
2048C	cis-lachnophyllumester		
2049C	lachnophyllumlactone		
2050C	matricaria ester		
2051C	p-mentha-1,5,8-triene		
2052C	p-menth-3-ene-2,7-diol		
2053C	1-hydroxy-2-heptanone		
2054C	2-cyclohexene-1,4-diene		
2055C	2-ethyl-cyclohexanone		
2056C	4-methylacetophenone		
2057C	carvenoneoxide		
2058C	carvotanacetone epoxide		
2059C	cis-6-hesperylone		
2060C	cis-epi-beta-santalol		
2061C	gamma-vinyl-gamma-valerolactone		
2062C	isobutyric acid		
2063C	isoprenyl tiglate		
2064C	phenyl acetate		
2065C	trans-piperitone oxide		
2066C	o-cyneme		
2067C	alpha-longifolene		
2068C	cis-carvotanacetol		
2069C	curcuphenol		
2070C	(e)-alpha-atlantone		
2071C	(e,e)-farnesyl acetone		
2072C	epi-curzenone		
2073C	heptadecan-2-one		
2074C	isopropyl myristate		
2075C	methyl palmitate		
2076C	n-heptylsalicylate		
2077C	n-nonadecane		
2078C	nonadecanol		
2079C	virdiflorol		
2080C	xanthorrhizol isomer		
2081C	(e)-cinnamaldehyde		
2082C	(e)-cinnamyl acetate		
2083C	(z)-cinnamaldehyde		
2084C	1,2-epoxymenthol		
2085C	5-hydroxy-p-menth-6-en-2-one		
2086C	trans-pinocamphone		
2087C	xis-pinocamphone		
2088C	alpha-alaskene		
2089C	epi-13-manoyl oxide		
2090C	hinesul		
2091C	cis-muurola-3,5-diene		
2092C	1,2,4-trimethylbenzene		
2093C	2-methyldecane		
2094C	3-hydroxybutan-2-one		
2095C	3-methylbut-2-enal		
2096C	3-methylhep-3-ene		
2097C	3-methyloctane		
2098C	but-2-enal		
2099C	butanol		
2100C	butyl cyclohexane		
2101C	decahydronaphthalene		
2102C	(e)-hept-2-enal		
2103C	(e)-hex-2-enal		
2104C	(e)-oct-3-enal		
2105C	gamma-butyrolactone		
2106C	hept-2,4-dienal		
2107C	isopentenyl metylether		
2108C	n-heptane		
2109C	n-undecane		
2110C	oct-1-en-3-ol		
2111C	octan-3-one		
2112C	pent-2-enal		
2113C	pentan-2-ol		
2114C	pentane-2,3-dione		
2115C	pentyl cyclohexane		
2116C	valeraldehyde		
2117C	(z) hex-3-enylacetate		
2118C	2-methylbutan-1-ol		
2119C	2-methylfuran		
2120C	2-methylnonane		
2121C	2-methylpentan-3-one		
2122C	2-methylpropan-1-ol		
2123C	2-methylpropanal		
2124C	2-methylundecane		
2125C	3-methylbutan-1-ol		
2126C	3-methylnonane		
2127C	4-methylnonane		
2128C	anethole		
2129C	benzonitrile		
2130C	butan-1-ol		
2131C	butan-2-ol		
2132C	butan-2-one		
2133C	cumol		
2134C	(e)-2-butenal		
2135C	estragole		
2136C	ethylbenzene		
2137C	ethylcyclohexane		
2138C	heptan-1-ol		
2139C	hexan-1-ol		
2140C	hexan-2-one		
2141C	methylcyclohexane		
2142C	n-dodecane		
2143C	n-hexadecane		
2144C	n-hexane		
2145C	n-pentadecane		
2146C	n-pentane		
2147C	n-tetradecane		
2148C	n-tridecane		
2149C	o-xylene		
2150C	pentan-1-ol		
2151C	pentan-2-one		
2152C	propan-1-ol		
2153C	propan-2-ol		
2154C	propylcyclohexane		
2155C	xylene		
2156C	1-tridecene		
2157C	tircyclene		
2158C	13(16),14-labdien-8-ol		
2159C	sandaracopimaradiene		
2160C	terpinen-4-yl-acetate		
2161C	geranial+perillaldehyde		
2162C	benzyl acetate		
2163C	calarene		
2164C	dihydro-cis-alpha-copaene-8-ol		
2165C	butyl benzoate		
2166C	kaur-16-ene		
2167C	viridoflorene		
2168C	1-hydroxy linalool		
2169C	2-phenethyl alcohol		
2170C	dimethoxycoumarin		
2171C	m-cymene		
2172C	nerol+citronellol		
2173C	octadienyl formate		
2174C	p-menth-1-en-8-yl-acetate		
2175C	2,3-dimethyl-3-(4-methyl-3-pentenyl)-2-norbornanol		
2176C	camphenol		
2177C	cis-beta-santalene		
2178C	cis-gamma-bisabolene		
2179C	cis-linalooloxide (furanoid form)		
2180C	trans-sabinene hydrate acetate		
2181C	14-oxy-alpha-muurolene		
2182C	1-methyl cycloheptanal		
2183C	3-methyl-2-(5h)-furanone		
2184C	4-keto-isophorone		
2185C	alpha-copane		
2186C	beta bisabolene		
2187C	cadinaÃ¢Â€Â”1,4-diene		
2188C	cis-linelooloxide (furanoid)		
2189C	(e,e)-2-4-heptadienal		
2190C	(e,z)-2,6-nonadienal		
2191C	savial-4(14)-en-1-one		
2192C	sesamol		
2193C	(z)-phytol		
2194C	11-hexadecen-1-ol		
2195C	1-hexadecene		
2196C	3,7,11 -trimethyl-1,6,10-dodecatrien-3-ol		
2197C	4-methoxybenzaldehyde		
2198C	9,12-octadecadienoic acid		
2199C	ethyl linoleate		
2200C	methyl-9,12-hexadecadienoate		
2201C	methyl-9-hexadecenoate		
2202C	methyl hexadecenoate		
2203C	octadecene		
2204C	2-furfural		
2205C	cis-cadinalpha-1(6),4-diene		
2206C	(e)-beta-bisabolene		
2207C	ethylbutyrate		
2208C	ethyl salicylate		
2209C	guaicol		
2210C	linaiooi		
2211C	thujalpha-2,4(10)-diene		
2212C	trans-cadina-1(2),4-diene		
2213C	trans-linalool oxide (pyranoid)		
2214C	(z)-3-hexenyl hexanoate		
2215C	(z)-3-hexenyl isocalerate		
2216C	campholenealdehyde		
2217C	cis-totarol		
2218C	gamma-cadiene		
2219C	karahaenylacetate		
2220C	cis-conferyl alcohol		
2221C	thymohydroquinone		
2222C	thymoquinone		
2223C	trans-dihydrocarvone		
2224C	allo-ariomadendrene		
2225C	longicyclene		
2226C	2-hexyfuran		
2227C	(e)-2-undecanal		
2228C	3-methyltetradecane		
2229C	6,10-dimethyl-2-undecanone		
2230C	decane		
2231C	farnesyl acetone		
2232C	1,5-epoxy-salvial-4(14)-en-1-one		
2233C	anthracene		
2234C	mint ketone		
2235C	(z)-lachnophyllum ester		
2236C	(z)-trans-alpha-bergamotol		
2237C	(z,z)-matricaria ester		
2238C	2-dodecanone		
2239C	2-nonaone		
2240C	7 epi-alpha-eudesmol		
2241C	alpha-calacrene		
2242C	cis-calaminene		
2243C	cyclosativine		
2244C	delta-eudesmol		
2245C	rotundene		
2246C	salvia-4(14)-en-1-one		
2247C	trans-calamen-10-ol		
2248C	trans-totarol		
2249C	1,5-dimethylcyclopentene		
2250C	1-methyl-4-isopropylidene cyclohexane		
2251C	2,6-dimethyl-5-heptenal (melonal)		
2252C	2-phenylethylisobutyrate + aromadendrene		
2253C	3-methyl-6-(1-isopropyl)-cyclohexene (terpinolene isomer)		
2254C	3-methylcyclopentene		
2255C	4-hydroxy-alpha-p-dimethyl-cyclohexanemethanol		
2256C	acetone (solvent)		
2257C	alpha-citronellol		
2258C	alpha-decahydronaphthalene derivative		
2259C	alpha-fenchene (in mixture)		
2260C	alpha-methyloctenol (two isomers)		
2261C	beta-caryophyllene (+ beta-cedrene)		
2262C	cis-1-methyl-3-isopropyl-cyclopentane		
2263C	cis-1-methyl-4(1-methylethenyl) cyclohexane		
2264C	citronellal dimmer		
2265C	citronellic acid		
2266C	citronellyl citronellate		
2267C	diterpene derivatives from citronellal (aldehydes or alcohols)		
2268C	geranial (in mixture with mw:184)		
2269C	geraniol (in mixture)		
2270C	geranyl acetate (in mixture with mw = 192)		
2271C	isoamyl isobutyrate		
2272C	isobutylisobutyrate		
2273C	iso(iso)pulegol		
2274C	isolimonene		
2275C	isopulegyl acetate+citronellyl formate		
2276C	linalool oxide ii (pyr.) (+ 2-phenylethyl acetate)		
2277C	linalool oxide i (pyr.)		
2278C	methyl cyclopentane		
2279C	p-1-menthene (8,9-dihydrolimonene) (+ alpha,p-dimethylstyrene)		
2280C	trans-1-methyl-3-isopropyl-cyclopentane		
2281C	trans-1-methyl-4-(1-methylethenyl) cyclohexane (trans-1,2-dihydrolimonene)		
2282C	(z)-(2-hydroxy-2-isopropyl-5-methyl)-cyclohexanol		
2283C	2,2-dimethyl-3,4-octadienal		
2284C	alpha-cyclogeraniol		
2285C	beta-bisabolenol		
2286C	2,6-dimethyloctane		
2287C	tetrahydrolinalool		
2288C	trans-allo-ocimene		
2289C	2-hexylacetate		
2290C	heptyl isobutyrate		
2291C	isobutanal		
2292C	6-methyl-hept-5-en-2-one		
2293C	2-dodecenal		
2294C	beta-sinensal		
2295C	gama-cadinene		
2296C	linalolb		
2297C	cis-vertocitral		
2298C	(e)-myroxide		
2299C	i-epi-cubenol		
2300C	i-pentadecane		
2301C	epi-13-manool		
2302C	ferruginol		
2303C	nor-14-cadin-5-2n-4-one		
2304C	10-epi-italicene ether		
2305C	1-(2,4,6-trimethylphenyl)-buta-1,3-diene		
2306C	1-(2-butylidene)-2,6,6-trimethylcyclohexa-2,4-diene		
2307C	1,3,6-trimethylnapthalene		
2308C	1,3-dimethylnaphthalene		
2309C	1-(4-methylphenyl)-ethanol		
2310C	1 alpha,10 alpha-epoxy-amorph-4-ene		
2311C	1-docosene		
2312C	1-tricosane		
2313C	2,2,6,7-tetramethylbicyclo[4,3,0]nona-4,9(1)-dien-8-ol		
2314C	2,3,5-trimethylnapthalene		
2315C	2,3,6-trimethylnaphthalene		
2316C	2,3-dihydro-alpha-ional		
2317C	2,3-dimethylmateicanhydride		
2318C	2,3-dimethylnapthalene		
2319C	2,4,6-octatrienal		
2320C	2,4-dimethylbenzaldehyde		
2321C	2,4-dimethylphenol		
2322C	2,5-furandicarboxaldehyde		
2323C	2,6-dimethylcyclohexanol		
2324C	2-methoxy-4-methylphenol		
2325C	2-methoxyphenol		
2326C	2-methylnapthalene		
2327C	2-methylphenol		
2328C	2-phenyldodecane		
2329C	2-phenylethyldecanoate		
2330C	2-phenylethylformate		
2331C	2-phenylethyloctanoate		
2332C	2-phenyltridecane		
2333C	3,4-dimethyl-5-pentyl-5h-furan-2-one		
2334C	3-ethenylpyridine		
2335C	3-ethyldibenzothiophene		
2336C	3-methylbenzyl alcohol		
2337C	3-methylheptadecane		
2338C	3-phenyldodecane		
2339C	4-(2,6,6-trimethyl-1,3-cyclohexadien-1-yl)-2-butanone		
2340C	4,8,13-duvatriene-1,3-diol		
2341C	4-beta-h,5-beta-h-cis-eudesm-6-en-11-ol		
2342C	4-methylbenzaldehyde		
2343C	4-methylphenol		
2344C	4-methyltetradecane		
2345C	4-oxoisophorone		
2346C	4-phenyldodecane		
2347C	5-methyl-2-furancarbozaldehyde		
2348C	5-phenyldodecane		
2349C	5-phenyltridecane		
2350C	6-phenyldodecane		
2351C	6-phernyltridecane		
2352C	acenaphthylene		
2353C	alpha-corocalene		
2354C	benzoic acid		
2355C	benzyl nonanoate		
2356C	camphot		
2357C	cubitene		
2358C	dihydroactinidolide		
2359C	dihydroedulan(i)		
2360C	dolabella-6,10,15-triene isomer		
2361C	dolabella-6-10-15-triene		
2362C	(e)-2-hexenoic acid		
2363C	(e)-2-hexyl-cinnamaldehyde		
2364C	(e)-2-undecenol		
2365C	(e)-3-hexanoic acid		
2366C	(e,e)-2-4-decadienal		
2367C	(e,e)-4-octadienal		
2368C	(e,e)-pseudoionone		
2369C	erythrocentaurin		
2370C	(e,z)-2-4-decadienal		
2371C	(e,z)-2,4-heptadienal		
2372C	(e,z)-3-5-octadien-2-one		
2373C	germacra-4(15),5,10(14)-trien-1alpha-ol		
2374C	hexahydrofarnesolacetone		
2375C	hexyl salicylate		
2376C	isopropyl tetradecanoate		
2377C	m-camphorene		
2378C	methyl hexadcanoate		
2379C	muurola-4,10(14)-dien-1beta-ol		
2380C	neo-phytadiene (isomer ii)		
2381C	nepthalene		
2382C	neryl acetona		
2383C	phenanthrene		
2384C	phenethybenzoate		
2385C	phytan		
2386C	phytol formate		
2387C	torilenol		
2388C	(z)-2-dodecene		
2389C	(z)-2-undecene		
2390C	(z)-3-cambrene a		
2391C	(z,z)-8-11-heptadecadienal		
2392C	(z,z)-9-12-octadecadienoic acid		
2393C	(z,z,z)-7,10,13-hexadecatrienal		
2394C	(z,z,z)-8-11-14-heptadecatrienal		
2395C	(z,z,z)-9-12-15-octadecatrienoic acid		
2396C	bicyclofermacrene		
2397C	2,6-dimethyl-p-cymene		
2398C	2-tridecanpne		
2399C	alpha-campholenol		
2400C	p-menthylanisole		
2401C	p-menth-3-ene		
2402C	p-menthoxy benzaldehyde		
2403C	beta-caryophyylene		
2404C	10-epi-beta-acoradiene isomer		
2405C	11-acetoxyeudesman-4alpha-ol		
2406C	14-hydroxy-isocaryophyllene		
2407C	4-cuprenen-1-ol		
2408C	6,7-dehydroferruginol		
2409C	abienol		
2410C	abieta-8,12-diene		
2411C	abieta-8(14),13(15)-diene		
2412C	allo-cedrol		
2413C	alpha-acorenol isomer		
2414C	alpha-chamipinene		
2415C	alpha-duprezianene		
2416C	alpha-eudesmol acetate		
2417C	beta-eudesmol acetate		
2418C	cis-thujopsenal		
2419C	cis-thujopsene		
2420C	delta-cuprenene		
2421C	diterpenal,43,81,147, fw 286		
2422C	diterpenol,191,41,177, fw 290		
2423C	diterpenol,43,257,275, fw 290		
2424C	gamma-cuprenene		
2425C	isobazzanene		
2426C	junicedranol		
2427C	junicedranone		
2428C	longicamphenylone		
2429C	mayurone		
2430C	sandaracopimarinal		
2431C	sandaracopimarinol		
2432C	thujopsadiene		
2433C	thujopsan-2-alpha-ol		
2434C	torulosol		
2435C	trans-ferruginol		
2436C	widdra-2,4(14)-diene		
2437C	cis-muurola-4(14)-5-diene		
2438C	isopimaradiene		
2439C	trans-p-menth-2-en-1,8-ol		
2440C	beta-biotol		
2441C	3,9-epoxy-mentha-1,8(10)-diene		
2442C	3-methylbutyl hexanoate		
2443C	3-methylbutyl octane		
2444C	4-isopropenylcyclohex-2-enone		
2445C	isopiperitenol i		
2446C	isopipertenol ii+trans-carveol		
2447C	isopulegone oxide		
2448C	menthen-9-al		
2449C	3-methylbutyl octanoate		
2450C	isopiperitenol		
2451C	isopiperitenol ii+trans-carveol		
2452C	5-methyldecane		
2453C	6-methoxyelemicin		
2454C	acoralpha-3,7(14)-diene		
2455C	(e)-3-hexenyl acetate		
2456C	germacralpha-4(15),5,10(14)-trien-1alpha-ol		
2457C	selin-11-en-4-ol		
2458C	selinalpha-4,11-diene		
2459C	2(z),6(e)-farnesol		
2460C	indole		
2461C	octanethiol		
2462C	selinalpha-3,7(11)-diene		
2463C	1-epi-gamma-eudesmol		
2464C	8-beta-hydroxysandaracopimarene		
2465C	kaur-15-ene		
2466C	oplopanoyl acetate		
2467C	pimara-8,15-diene		
2468C	2-heptanol		
2469C	(4s,5s)-germacrone-4,5-epoxide		
2470C	curzerone		
2471C	furanodiene		
2472C	humulene-1,2-epoxide		
2473C	neo-curdione		
2474C	dodecanamide		
2475C	oleoamide		
2476C	stearamide		
2477C	1-pentadecane		
2478C	2-methyl-2-butenol		
2479C	3-hydroxy-2-butanone		
2480C	5-neo-cedranol		
2481C	7-tridecanone		
2482C	aplotaxene		
2483C	beta-bisabolene-12-ol		
2484C	beta-fenchyl acetate		
2485C	cubebeta-11-ene		
2486C	dihydroaplotaxene		
2487C	gamma-eudesmol acetate		
2488C	hexahydroaplotaxene		
2489C	isolongifolol		
2490C	kongol		
2491C	methyl isoeugenol		
2492C	palmitoleic acid		
2493C	tetrahydroaplotaxene		
2494C	5-3-hexenyl benzoate		
2495C	fatty acids and others		
2496C	limonene+beta phellandrene		
2497C	lionoleic acid		
2498C	phytol acetate		
2499C	alpha-celinene		
2500C	beta-celinene		
2501C	cubebene		
2502C	selina-3,7(11)diene		
2503C	keurenal		
2504C	keurenene		
2505C	gualol		
2506C	trans-delta-bergamotene		
2507C	alpha-cadineno		
2508C	4-alpha-copaenol		
2509C	selina-3,11-dien-6-alpha-ol		
2510C	alpha-fenchone		
2511C	p-mentha-3,8-diene		
2512C	zonarene		
2513C	1-nonanol		
2514C	2-methyl-2-butanol		
2515C	butanal		
2516C	dimethyl sulfoxide		
2517C	(e)-6-nonenol		
2518C	(e,e)-3,6-nonadienol		
2519C	(e,z)-2,3-nonadienal		
2520C	(e,z)-3,6-nonadienol		
2521C	methyl nonanoate		
2522C	(z)-2-decenol		
2523C	(z)-2-nonenal		
2524C	(z)-3-nonenol		
2525C	(z)-6,10-dimethyl-5-9-undecadien-2-one		
2526C	(z,z)-2,6-nonadienal		
2527C	(z,z)-3,6-nonadienol		
2528C	10,11-dihydro-2e,6e-farnesol		
2529C	2,2-dimethylpropanoic acid		
2530C	2,6,10,14-tetramethylhexadecane		
2531C	2,6,10,14-tetramethylpentadecane		
2532C	2-methylhexadecane		
2533C	alcohols and phenols		
2534C	cyanophenol		
2535C	decylbenzene		
2536C	dihydroactinidiolide		
2537C	formamide		
2538C	hydrocarbons		
2539C	n-containing compounds		
2540C	n-methyl-n-phenylformamide		
2541C	n,n-diphenylformamide		
2542C	n-propyl benzamine		
2543C	1,3,8-p-menthatriene		
2544C	(e)-carveol		
2545C	trans-3-caren-2-ol		
2546C	15-nor-labdan-8-ol		
2547C	2,2,6-trimethylcyclohexanone		
2548C	ambrox		
2549C	delta-verbenone		
2550C	sclareoloxide		
2551C	(z)-ocimenone		
2552C	delta-cardinene		
2553C	(z)-3-hexanyl benzoate		
2554C	dealta-cadinene		
2555C	phenyl ethyl alcohol		
2556C	2-methylbutyric acid		
2557C	atlantone		
2558C	beta-vetivenene		
2559C	chamigrene		
2560C	(e)-gamma-atlantone		
2561C	himachalene oxide		
2562C	oxidohimachalene		
2563C	(z)-alpha-atlantone		
2564C	(z)-gamma-atlantone		
2565C	cinnamic acid		
2566C	trepinolene		
2567C	alpha-tumerone		
2568C	ar-dihydro-turmerone		
2569C	ar-tumerol		
2570C	2-octanol		
2571C	6s,7r bisabolone		
2572C	alpha-nonanone		
2573C	1-tetradecene		
2574C	3,4-dimethyl-5-pentylidene-2(5h)-furanone		
2575C	4-methyl-4-hepten-3-one		
2576C	cabreuvaoxide-vi		
2577C	caryophylla-2(12),6-dien-5-beta-ol		
2578C	(e)-theaspirane		
2579C	(z)-theaspiran		
2580C	isophyllocladene		
2581C	isothujol		
2582C	phyllocladanol		
2583C	phyllocladene		
2584C	cadinadienol-ii		
2585C	cadinadienol-i		
2586C	copadiene		
2587C	cyperenal		
2588C	cyperotundone		
2589C	isomustakone		
2590C	mustakone		
2591C	patchoulenone		
2592C	pogostol		
2593C	nor-14-cadin-5-en-4-one		
2594C	methyl heptenone		
2595C	1-hepten-3-ol		
2596C	2-decanol		
2597C	cis-3-hexenol		
2598C	cyclohexanone		
2599C	(e)-farnesol		
2600C	geranyl heptanoate		
2601C	geranyl-n-valerate		
2602C	geranyl octanoate		
2603C	heptadecane-2-one		
2604C	isopropyl-n-butyrate		
2605C	linalyl formate		
2606C	neryl heptanoate		
2607C	alpha-zingiberene		
2608C	alpha-fenchyl alcohol		
2609C	delta-pinene		
2610C	2,6-dimethyl-3,7octadien-2,6-diol		
2611C	2-octenol		
2612C	2-pentanol		
2613C	4-isopropyl-2-cyclohexanone		
2614C	8-acetoxylinalool		
2615C	ethyl formate		
2616C	(e,z)-2,4-decadienal		
2617C	gamma-hexalactone		
2618C	isovaleric acid		
2619C	limonene diol		
2620C	methyl-n-methyl anthranilate		
2621C	p-mentha-1(7),8(10)-dien-9-ol		
2622C	p-mentha-1,8-dien-4-ol		
2623C	shisol		
2624C	(z)-3-hexenyl valerate		
2625C	10-epi-alpha-eudesmol		
2626C	methyl anthranilate		
2627C	4,8-epoxyterpinolene		
2628C	beta-damascenone		
2629C	caryophylla-2,6(13)-diene-5-alpha-ol		
2630C	cis-1,2-epoxyterpinen-4-ol		
2631C	cis-1,2-limoneneepoxide		
2632C	cis-p-mentha-3-en-1,2-diol		
2633C	limonen-4-ol		
2634C	methyl isothymol		
2635C	neo-dihydrocarveol		
2636C	p-methoxypropiophenone		
