Compound_name,PubChem_lookup_name,PubChem_lookup_inchis,PubChem_lookup_cid,OPSIN_lookup_name,OPSIN_inchis,OPSIN_comments
alpha-campholenal,alpha-campholenal,"InChI=1S/C10H16O/c1-8-4-5-9(6-7-11)10(8,2)3/h4,7,9H,5-6H2,1-3H3/t9-/m1/s1",1252759,alpha-campholenal,,alpha-campholenal is unparsable due to the following being uninterpretable: alpha-campholenal The following was not parseable: nal
alpha-campholenicaldehyde,alpha-campholenicaldehyde,,NA,alpha-campholenicaldehyde,,alpha-campholenicaldehyde is unparsable due to the following being uninterpretable: alpha-campholenicaldehyde The following was not parseable: nicaldehyde
alpha-caryophyllene,alpha-caryophyllene,"InChI=1S/C15H24/c1-13-7-5-8-14(2)10-12-15(3,4)11-6-9-13/h6-7,10-11H,5,8-9,12H2,1-4H3",23204,alpha-caryophyllene,,alpha-caryophyllene is unparsable due to the following being uninterpretable: alpha-caryophyllene The following was not parseable: yophyllene
alpha-cedrene,alpha-cedrene,"InChI=1S/C15H24/c1-10-7-8-15-9-12(10)14(3,4)13(15)6-5-11(15)2/h7,11-13H,5-6,8-9H2,1-4H3",521207,alpha-cedrene,,alpha-cedrene is unparsable due to the following being uninterpretable: alpha-cedrene The following was not parseable: cedrene
alpha-copaene,alpha-copaene,"InChI=1S/C15H24/c1-9(2)11-7-8-15(4)12-6-5-10(3)14(15)13(11)12/h5,9,11-14H,6-8H2,1-4H3/t11-,12-,13-,14?,15-/m0/s1",70678558,alpha-copaene,,alpha-copaene is unparsable due to the following being uninterpretable: alpha-copaene The following was not parseable: copaene
alpha-copane,alpha-copane,,NA,alpha-copane,,alpha-copane is unparsable due to the following being uninterpretable: alpha-copane The following was not parseable: copane
alpha-cubebene,alpha-cubebene,"InChI=1S/C15H24/c1-9(2)12-6-5-11(4)15-8-7-10(3)13(15)14(12)15/h7,9,11-14H,5-6,8H2,1-4H3",86609,alpha-cubebene,,alpha-cubebene is unparsable due to the following being uninterpretable: alpha-cubebene The following was not parseable: ebene
alpha-curcumene,alpha-curcumene,"InChI=1S/C15H22/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8-11,14H,5,7H2,1-4H3",92139,alpha-curcumene,,alpha-curcumene is unparsable due to the following being uninterpretable: alpha-curcumene The following was not parseable: curcumene
alpha-dehydro-ar-himachalene,alpha-dehydro-ar-himachalene,,NA,alpha-dehydro-ar-himachalene,,alpha-dehydro-ar-himachalene is unparsable due to the following being uninterpretable: ar-himachalene The following was not parseable: ar-himachalene
alpha-eudesmol,alpha-eudesmol,"InChI=1S/C15H26O/c1-11-6-5-8-15(4)9-7-12(10-13(11)15)14(2,3)16/h6,12-13,16H,5,7-10H2,1-4H3/t12-,13+,15-/m1/s1",92762,alpha-eudesmol,,alpha-eudesmol is unparsable due to the following being uninterpretable: alpha-eudesmol The following was not parseable: udesmol
alpha-eudesmol acetate,alpha-eudesmol acetate,"InChI=1S/C17H28O3/c1-11-7-6-9-17(5)10-8-13(16(3,4)19)15(14(11)17)20-12(2)18/h7,13-15,19H,6,8-10H2,1-5H3/t13-,14+,15?,17-/m1/s1",129864112,alpha-eudesmol acetate,,alpha-eudesmol acetate is unparsable due to the following being uninterpretable: alpha-eudesmol acetate The following was not parseable: udesmol acetate
alpha-farnesene,alpha-farnesene,"InChI=1S/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9-10,12H,1,7-8,11H2,2-5H3/b14-10+,15-12+",5281516,alpha-farnesene,"InChI=1/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9-10,12H,1,7-8,11H2,2-5H3/b14-10+,15-12+",
alpha-fenchene,alpha-fenchene,"InChI=1S/C10H16/c1-7-6-8-4-5-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3",28930,alpha-fenchene,,alpha-fenchene is unparsable due to the following being uninterpretable: alpha-fenchene The following was not parseable: fenchene
alpha-fenchol,alpha-fenchol,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(3,6-7)8(9)11/h7-8,11H,4-6H2,1-3H3",15406,alpha-fenchol,,alpha-fenchol is unparsable due to the following being uninterpretable: alpha-fenchol The following was not parseable: fenchol
alpha-fenchyl acetate,alpha-fenchyl acetate,"InChI=1S/C12H20O2/c1-8(13)14-10-11(2,3)9-5-6-12(10,4)7-9/h9-10H,5-7H2,1-4H3",107217,alpha-fenchyl acetate,,alpha-fenchyl acetate is unparsable due to the following being uninterpretable: alpha-fenchyl acetate The following was not parseable: fenchyl acetate
alpha-guaiene,alpha-guaiene,"InChI=1S/C15H24/c1-10(2)13-7-5-11(3)14-8-6-12(4)15(14)9-13/h11-13H,1,5-9H2,2-4H3/t11-,12-,13+/m0/s1",5317844,alpha-guaiene,,alpha-guaiene is unparsable due to the following being uninterpretable: alpha-guaiene The following was not parseable: guaiene
alpha-gurjunene,alpha-gurjunene,"InChI=1S/C15H24/c1-9-6-8-12-14(15(12,3)4)13-10(2)5-7-11(9)13/h9,11-12,14H,5-8H2,1-4H3/t9-,11-,12-,14-/m1/s1",15560276,alpha-gurjunene,,alpha-gurjunene is unparsable due to the following being uninterpretable: alpha-gurjunene The following was not parseable: gurjunene
alpha-humulene,alpha-humulene,"InChI=1S/C15H24/c1-13-7-5-8-14(2)10-12-15(3,4)11-6-9-13/h6-7,10-11H,5,8-9,12H2,1-4H3/b11-6+,13-7+,14-10+",5281520,alpha-humulene,,alpha-humulene is unparsable due to the following being uninterpretable: alpha-humulene The following was not parseable: humulene
alpha-humulene+(z)-methyl isoeugenol,alpha-humulene+(z)-methyl isoeugenol,,NA,alpha-humulene+(z)-methyl isoeugenol,,alpha-humulene+(z)-methyl isoeugenol is unparsable due to the following being uninterpretable: alpha-humulene+(z)-methyl isoeugenol The following was not parseable: humulene+(z)-methyl isoeugenol
alpha-ionone,alpha-ionone,"InChI=1S/C13H20O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h6-8,12H,5,9H2,1-4H3/b8-7+",5282108,alpha-ionone,,alpha-ionone is unparsable due to the following being uninterpretable: alpha-ionone The following was not parseable: ionone
alpha-isocomene,alpha-isocomene,,NA,alpha-isocomene,,alpha-isocomene is unparsable due to the following being uninterpretable: alpha-isocomene The following was not parseable: comene
alpha-longipinene,alpha-longipinene,"InChI=1S/C15H24/c1-10-6-7-11-13-12(10)15(11,4)9-5-8-14(13,2)3/h6,11-13H,5,7-9H2,1-4H3",520957,alpha-longipinene,,alpha-longipinene is unparsable due to the following being uninterpretable: alpha-longipinene The following was not parseable: ongipinene
alpha-muurolene,alpha-muurolene,"InChI=1S/C15H24/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h6,9-10,13-15H,5,7-8H2,1-4H3/t13-,14+,15-/m0/s1",12306047,alpha-muurolene,,alpha-muurolene is unparsable due to the following being uninterpretable: alpha-muurolene The following was not parseable: muurolene
alpha-muurolol,alpha-muurolol,,NA,alpha-muurolol,,alpha-muurolol is unparsable due to the following being uninterpretable: alpha-muurolol The following was not parseable: muurolol
alpha-p-dimethylstyrene,alpha-p-dimethylstyrene,,NA,alpha-p-dimethylstyrene,,"Unable to assign all locants. These locants were not assigned: alpha 1,para"
alpha-phellandrene,alpha-phellandrene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4-6,8,10H,7H2,1-3H3",7460,alpha-phellandrene,,alpha-phellandrene is unparsable due to the following being uninterpretable: alpha-phellandrene The following was not parseable: phellandrene
alpha-phellandrene epoxide,alpha-phellandrene epoxide,,NA,alpha-phellandrene epoxide,,alpha-phellandrene epoxide is unparsable due to the following being uninterpretable: alpha-phellandrene epoxide The following was not parseable: phellandrene epoxide
alpha-phellandrene-8-ol,alpha-phellandrene-8-ol,,NA,alpha-phellandrene-8-ol,,alpha-phellandrene-8-ol is unparsable due to the following being uninterpretable: alpha-phellandrene-8-ol The following was not parseable: phellandrene-8-ol
alpha-pinene,alpha-pinene,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3",6654,alpha-pinene,,Unable to assign all locants. This locant was not assigned: alpha
alpha-pinene oxide isomer2,alpha-pinene oxide isomer2,,NA,alpha-pinene oxide isomer2,,alpha-pinene oxide isomer2 is unparsable due to the following being uninterpretable: isomer2 The following was not parseable: mer2
alpha-santalene,alpha-santalene,"InChI=1S/C15H24/c1-10(2)6-5-7-14(3)11-8-12-13(9-11)15(12,14)4/h6,11-13H,5,7-9H2,1-4H3",94164,alpha-santalene,,alpha-santalene is unparsable due to the following being uninterpretable: alpha-santalene The following was not parseable: santalene
alpha-selina-11-en-4-ol,alpha-selina-11-en-4-ol,,NA,alpha-selina-11-en-4-ol,,alpha-selina-11-en-4-ol is unparsable due to the following being uninterpretable: alpha-selina-11-en-4-ol The following was not parseable: ina-11-en-4-ol
alpha-selinene,alpha-selinene,"InChI=1S/C15H24/c1-11(2)13-7-9-15(4)8-5-6-12(3)14(15)10-13/h6,13-14H,1,5,7-10H2,2-4H3/t13-,14+,15-/m1/s1",10856614,alpha-selinene,,alpha-selinene is unparsable due to the following being uninterpretable: alpha-selinene The following was not parseable: inene
alpha-terpinene,alpha-terpinene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8H,5,7H2,1-3H3",7462,alpha-terpinene,,Disagreement between number of locants(alpha) and ring assembly multiplier: 3
alpha-terpineol,alpha-terpineol,"InChI=1S/C10H18O/c1-8-4-6-9(7-5-8)10(2,3)11/h4,9,11H,5-7H2,1-3H3",17100,alpha-terpineol,,alpha-terpineol is unparsable due to the following being uninterpretable: alpha-terpineol The following was not parseable: eol
alpha-terpineol/borneol,alpha-terpineol/borneol,,NA,alpha-terpineol/borneol,,alpha-terpineol/borneol is unparsable due to the following being uninterpretable: alpha-terpineol/borneol The following was not parseable: eol/borneol
alpha-terpinyl acetate,alpha-terpinyl acetate,"InChI=1S/C12H20O2/c1-9-5-7-11(8-6-9)12(3,4)14-10(2)13/h5,11H,6-8H2,1-4H3",111037,alpha-terpinyl acetate,,Disagreement between number of locants(alpha) and ring assembly multiplier: 3
alpha-terpinyl formate,alpha-terpinyl formate,"InChI=1S/C11H18O2/c1-9-4-6-10(7-5-9)11(2,3)13-8-12/h4,8,10H,5-7H2,1-3H3",16537,alpha-terpinyl formate,,Disagreement between number of locants(alpha) and ring assembly multiplier: 3
alpha-thujene,alpha-thujene,"InChI=1S/C10H16/c1-7(2)10-5-4-8(3)9(10)6-10/h4,7,9H,5-6H2,1-3H3",17868,alpha-thujene,,Unable to assign all locants. This locant was not assigned: alpha
alpha-thujone,alpha-thujone,"InChI=1S/C10H16O/c1-6(2)10-4-8(10)7(3)9(11)5-10/h6-8H,4-5H2,1-3H3/t7-,8-,10+/m1/s1",261491,alpha-thujone,,alpha-thujone is unparsable due to the following being uninterpretable: alpha-thujone The following was not parseable:
alpha-trans-bergamotene,alpha-trans-bergamotene,"InChI=1S/C15H24/c1-11(2)6-5-9-15(4)13-8-7-12(3)14(15)10-13/h6-7,13-14H,5,8-10H2,1-4H3",86608,alpha-trans-bergamotene,,alpha-trans-bergamotene is unparsable due to the following being uninterpretable: alpha-trans-bergamotene The following was not parseable: bergamotene
alpha-trans-bergamotol,alpha-trans-bergamotol,,NA,alpha-trans-bergamotol,,alpha-trans-bergamotol is unparsable due to the following being uninterpretable: alpha-trans-bergamotol The following was not parseable: bergamotol
alpha-ylangene,alpha-ylangene,"InChI=1S/C15H24/c1-9(2)11-7-8-15(4)12-6-5-10(3)14(15)13(11)12/h5,9,11-14H,6-8H2,1-4H3/t11?,12?,13?,14?,15-/m0/s1",442409,alpha-ylangene,,alpha-ylangene is unparsable due to the following being uninterpretable: alpha-ylangene The following was not parseable: ylangene
alpha-zingiberene,alpha-zingiberene,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8-10,14-15H,5,7,11H2,1-4H3",521253,alpha-zingiberene,,alpha-zingiberene is unparsable due to the following being uninterpretable: alpha-zingiberene The following was not parseable: ingiberene
amyl alcohol,amyl alcohol,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",6276,amyl alcohol,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",
amyl cinnamate,amyl cinnamate,"InChI=1S/C14H18O2/c1-2-3-7-12-16-14(15)11-10-13-8-5-4-6-9-13/h4-6,8-11H,2-3,7,12H2,1H3/b11-10+",5355854,amyl cinnamate,"InChI=1/C14H18O2/c1-2-3-7-12-16-14(15)11-10-13-8-5-4-6-9-13/h4-6,8-11H,2-3,7,12H2,1H3",
apiole,apiole,"InChI=1S/C12H14O4/c1-4-5-8-6-9(13-2)11-12(10(8)14-3)16-7-15-11/h4,6H,1,5,7H2,2-3H3",10659,apiole,,apiole is unparsable due to the following being uninterpretable: apiole The following was not parseable: le
ar-curcumene,ar-curcumene,"InChI=1S/C15H22/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8-11,14H,5,7H2,1-4H3",92139,ar-curcumene,,ar-curcumene is unparsable due to the following being uninterpretable: ar-curcumene The following was not parseable: ar-curcumene
ar-tumerone,ar-tumerone,"InChI=1S/C15H20O/c1-11(2)9-15(16)10-13(4)14-7-5-12(3)6-8-14/h5-9,13H,10H2,1-4H3",558221,ar-tumerone,,ar-tumerone is unparsable due to the following being uninterpretable: ar-tumerone The following was not parseable: ar-tumerone
ar-turmerol,ar-turmerol,"InChI=1S/C15H22O/c1-11(2)9-15(16)10-13(4)14-7-5-12(3)6-8-14/h5-9,13,15-16H,10H2,1-4H3",5315469,ar-turmerol,,ar-turmerol is unparsable due to the following being uninterpretable: ar-turmerol The following was not parseable: ar-turmerol
aristolone,aristolone,"InChI=1S/C15H22O/c1-9-6-5-7-10-8-11(16)12-13(14(12,2)3)15(9,10)4/h8-9,12-13H,5-7H2,1-4H3",522300,aristolone,,aristolone is unparsable due to the following being uninterpretable: aristolone The following was not parseable: aristolone
aromadendrene,aromadendrene,"InChI=1S/C15H24/c1-9-6-8-12-14(15(12,3)4)13-10(2)5-7-11(9)13/h10-14H,1,5-8H2,2-4H3",91354,aromadendrene,,aromadendrene is unparsable due to the following being uninterpretable: aromadendrene The following was not parseable: aromadendrene
aromadendrene oxide,aromadendrene oxide,"InChI=1S/C15H24O/c1-9-4-5-10-12(9)13-11(14(13,2)3)6-7-15(10)8-16-15/h9-13H,4-8H2,1-3H3",528759,aromadendrene oxide,,aromadendrene oxide is unparsable due to the following being uninterpretable: aromadendrene oxide The following was not parseable: aromadendrene oxide
artemisia alcohol,artemisia alcohol,"InChI=1S/C10H18O/c1-6-10(4,5)9(11)7-8(2)3/h6-7,9,11H,1H2,2-5H3",100197,artemisia alcohol,,artemisia alcohol is unparsable due to the following being uninterpretable: artemisia alcohol The following was not parseable: artemisia alcohol
artemisia ketone,artemisia ketone,"InChI=1S/C10H16O/c1-6-10(4,5)9(11)7-8(2)3/h6-7H,1H2,2-5H3",68346,artemisia ketone,,artemisia ketone is unparsable due to the following being uninterpretable: artemisia ketone The following was not parseable: artemisia ketone
artemisiaacetate,artemisiaacetate,,NA,artemisiaacetate,,artemisiaacetate is unparsable due to the following being uninterpretable: artemisiaacetate The following was not parseable: artemisiaacetate
atlantone,atlantone,,NA,atlantone,,atlantone is unparsable due to the following being uninterpretable: atlantone The following was not parseable: atlantone
azulene,azulene,InChI=1S/C10H8/c1-2-5-9-7-4-8-10(9)6-3-1/h1-8H,9231,azulene,InChI=1/C10H8/c1-2-5-9-7-4-8-10(9)6-3-1/h1-8H,
benzaldehyde,benzaldehyde,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,240,benzaldehyde,InChI=1/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,
benzene acetaldehyde,benzene acetaldehyde,,NA,benzene acetaldehyde,"InChI=1/C6H6.C2H4O/c1-2-4-6-5-3-1;1-2-3/h1-6H;2H,1H3",
benzenepropanal,benzenepropanal,"InChI=1S/C9H10O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,8H,4,7H2",7707,benzenepropanal,"InChI=1/C9H10O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,8H,4,7H2",
benzocyclobutane,benzocyclobutane,"InChI=1S/C8H8/c1-2-4-8-6-5-7(8)3-1/h1-4H,5-6H2",69667,benzocyclobutane,"InChI=1/C8H8/c1-2-4-8-6-5-7(8)3-1/h1-4H,5-6H2",
benzyl alcohol,benzyl alcohol,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",244,benzyl alcohol,"InChI=1/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",
benzyl benzoate,benzyl benzoate,"InChI=1S/C14H12O2/c15-14(13-9-5-2-6-10-13)16-11-12-7-3-1-4-8-12/h1-10H,11H2",2345,benzyl benzoate,"InChI=1/C14H12O2/c15-14(13-9-5-2-6-10-13)16-11-12-7-3-1-4-8-12/h1-10H,11H2",
benzyl butyrate,benzyl butyrate,"InChI=1S/C11H14O2/c1-2-6-11(12)13-9-10-7-4-3-5-8-10/h3-5,7-8H,2,6,9H2,1H3",7650,benzyl butyrate,"InChI=1/C11H14O2/c1-2-6-11(12)13-9-10-7-4-3-5-8-10/h3-5,7-8H,2,6,9H2,1H3",
benzyl isovalerate,benzyl isovalerate,"InChI=1S/C12H16O2/c1-10(2)8-12(13)14-9-11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3",7651,benzyl isovalerate,"InChI=1/C12H16O2/c1-10(2)8-12(13)14-9-11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3",
benzyl nonanoate,benzyl nonanoate,"InChI=1S/C16H24O2/c1-2-3-4-5-6-10-13-16(17)18-14-15-11-8-7-9-12-15/h7-9,11-12H,2-6,10,13-14H2,1H3",80960,benzyl nonanoate,"InChI=1/C16H24O2/c1-2-3-4-5-6-10-13-16(17)18-14-15-11-8-7-9-12-15/h7-9,11-12H,2-6,10,13-14H2,1H3",
benzyl salicylate,benzyl salicylate,"InChI=1S/C14H12O3/c15-13-9-5-4-8-12(13)14(16)17-10-11-6-2-1-3-7-11/h1-9,15H,10H2",8363,benzyl salicylate,"InChI=1/C14H12O3/c15-13-9-5-4-8-12(13)14(16)17-10-11-6-2-1-3-7-11/h1-9,15H,10H2",
bergamale,bergamale,,NA,bergamale,,bergamale is unparsable due to the following being uninterpretable: bergamale The following was not parseable: bergamale
bergamotene,bergamotene,"InChI=1S/C15H24/c1-11(2)6-5-9-15(4)13-8-7-12(3)14(15)10-13/h6,13-14H,3,5,7-10H2,1-2,4H3",521569,bergamotene,,bergamotene is unparsable due to the following being uninterpretable: bergamotene The following was not parseable: bergamotene
bergamotol acetate,bergamotol acetate,,NA,bergamotol acetate,,bergamotol acetate is unparsable due to the following being uninterpretable: bergamotol acetate The following was not parseable: bergamotol acetate
bergapten,bergapten,"InChI=1S/C12H8O4/c1-14-12-7-2-3-11(13)16-10(7)6-9-8(12)4-5-15-9/h2-6H,1H3",2355,bergapten,,bergapten is unparsable due to the following being uninterpretable: bergapten The following was not parseable: bergapten
beta- caryophyllene,beta- caryophyllene,,NA,beta- caryophyllene,,beta- caryophyllene is unparsable due to the following being uninterpretable: beta- caryophyllene The following was not parseable:  caryophyllene
beta-acoradiene,beta-acoradiene,"InChI=1S/C15H24/c1-11(2)14-6-5-13(4)15(14)9-7-12(3)8-10-15/h7,13-14H,1,5-6,8-10H2,2-4H3/t13-,14?,15?/m1/s1",5316209,beta-acoradiene,,beta-acoradiene is unparsable due to the following being uninterpretable: beta-acoradiene The following was not parseable: acoradiene
beta-atlantol,beta-atlantol,,NA,beta-atlantol,,beta-atlantol is unparsable due to the following being uninterpretable: beta-atlantol The following was not parseable: atlantol
beta-bisabolene,beta-bisabolene,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,15H,4-5,7,9-11H2,1-3H3",403919,beta-bisabolene,,beta-bisabolene is unparsable due to the following being uninterpretable: beta-bisabolene The following was not parseable: abolene
beta-bisabolol,beta-bisabolol,"InChI=1S/C15H26O/c1-12(2)6-5-7-14(4)15(16)10-8-13(3)9-11-15/h6,8,14,16H,5,7,9-11H2,1-4H3",27208,beta-bisabolol,,beta-bisabolol is unparsable due to the following being uninterpretable: beta-bisabolol The following was not parseable: abolol
beta-bourbonene,beta-bourbonene,"InChI=1S/C15H24/c1-9(2)11-7-8-15(4)12-6-5-10(3)13(12)14(11)15/h9,11-14H,3,5-8H2,1-2,4H3/t11-,12+,13-,14+,15-/m0/s1",62566,beta-bourbonene,,beta-bourbonene is unparsable due to the following being uninterpretable: beta-bourbonene The following was not parseable: bourbonene
beta-cadinene,beta-cadinene,"InChI=1S/C15H24/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h5-6,10,13-15H,7-9H2,1-4H3/t13-,14-,15-/m0/s1",10657,beta-cadinene,,beta-cadinene is unparsable due to the following being uninterpretable: beta-cadinene The following was not parseable: cadinene
beta-caryophyllene,beta-caryophyllene,"InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h6,13-14H,2,5,7-10H2,1,3-4H3/b11-6+/t13-,14-/m1/s1",5281515,beta-caryophyllene,,beta-caryophyllene is unparsable due to the following being uninterpretable: beta-caryophyllene The following was not parseable: yophyllene
beta-caryophyllene alcohol,beta-caryophyllene alcohol,"InChI=1S/C15H26O/c1-13(2)9-12-11(13)5-8-14(3)6-4-7-15(12,16)10-14/h11-12,16H,4-10H2,1-3H3",61125,beta-caryophyllene alcohol,,beta-caryophyllene alcohol is unparsable due to the following being uninterpretable: beta-caryophyllene alcohol The following was not parseable: yophyllene alcohol
beta-caryophyllene oxide,beta-caryophyllene oxide,"InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3",14350,beta-caryophyllene oxide,,beta-caryophyllene oxide is unparsable due to the following being uninterpretable: beta-caryophyllene oxide The following was not parseable: yophyllene oxide
beta-cedren-9-one,beta-cedren-9-one,,NA,beta-cedren-9-one,,beta-cedren-9-one is unparsable due to the following being uninterpretable: beta-cedren-9-one The following was not parseable: cedren-9-one
beta-cedrene,beta-cedrene,"InChI=1S/C15H24/c1-10-7-8-15-9-12(10)14(3,4)13(15)6-5-11(15)2/h11-13H,1,5-9H2,2-4H3/t11-,12+,13+,15+/m1/s1",11106485,beta-cedrene,,beta-cedrene is unparsable due to the following being uninterpretable: beta-cedrene The following was not parseable: cedrene
beta-cedreneepoxide,beta-cedreneepoxide,,NA,beta-cedreneepoxide,,beta-cedreneepoxide is unparsable due to the following being uninterpretable: beta-cedreneepoxide The following was not parseable: cedreneepoxide
beta-copaen-4-alpha-ol,beta-copaen-4-alpha-ol,,NA,beta-copaen-4-alpha-ol,,beta-copaen-4-alpha-ol is unparsable due to the following being uninterpretable: beta-copaen-4-alpha-ol The following was not parseable: copaen-4-alpha-ol
beta-copaene,beta-copaene,"InChI=1S/C15H24/c1-9(2)11-7-8-15(4)12-6-5-10(3)14(15)13(11)12/h9,11-14H,3,5-8H2,1-2,4H3/t11-,12-,13-,14?,15-/m0/s1",57339298,beta-copaene,,beta-copaene is unparsable due to the following being uninterpretable: beta-copaene The following was not parseable: copaene
beta-cubebene,beta-cubebene,"InChI=1S/C15H24/c1-9(2)12-6-5-11(4)15-8-7-10(3)13(15)14(12)15/h9,11-14H,3,5-8H2,1-2,4H3/t11-,12+,13-,14-,15+/m1/s1",93081,beta-cubebene,,beta-cubebene is unparsable due to the following being uninterpretable: beta-cubebene The following was not parseable: ebene
beta-curcumine,beta-curcumine,,NA,beta-curcumine,,beta-curcumine is unparsable due to the following being uninterpretable: e The following was not parseable: e
beta-cyclocitral,beta-cyclocitral,"InChI=1S/C10H16O/c1-8-5-4-6-10(2,3)9(8)7-11/h7H,4-6H2,1-3H3",9895,beta-cyclocitral,,beta-cyclocitral is unparsable due to the following being uninterpretable: beta-cyclocitral The following was not parseable: citral
beta-cymene,beta-cymene,"InChI=1S/C10H14/c1-8(2)10-6-4-5-9(3)7-10/h4-8H,1-3H3",10812,beta-cymene,,Unable to assign all locants. This locant was not assigned: beta
beta-cyperone,beta-cyperone,,NA,beta-cyperone,,beta-cyperone is unparsable due to the following being uninterpretable: beta-cyperone The following was not parseable: cyperone
beta-damascenone,beta-damascenone,"InChI=1S/C13H18O/c1-5-7-11(14)12-10(2)8-6-9-13(12,3)4/h5-8H,9H2,1-4H3/b7-5+",5366074,beta-damascenone,,beta-damascenone is unparsable due to the following being uninterpretable: beta-damascenone The following was not parseable: amascenone
beta-dihydroagarofuran,beta-dihydroagarofuran,,NA,beta-dihydroagarofuran,,beta-dihydroagarofuran is unparsable due to the following being uninterpretable: agarofuran The following was not parseable: agarofuran
beta-dodecalactone,beta-dodecalactone,,NA,beta-dodecalactone,,beta-dodecalactone is unparsable due to the following being uninterpretable: beta-dodecalactone The following was not parseable: ne
beta-elemene,beta-elemene,"InChI=1S/C15H24/c1-7-15(6)9-8-13(11(2)3)10-14(15)12(4)5/h7,13-14H,1-2,4,8-10H2,3,5-6H3/t13-,14+,15-/m1/s1",6918391,beta-elemene,,beta-elemene is unparsable due to the following being uninterpretable: beta-elemene The following was not parseable: lemene
beta-eudesmol,beta-eudesmol,"InChI=1S/C15H26O/c1-11-6-5-8-15(4)9-7-12(10-13(11)15)14(2,3)16/h12-13,16H,1,5-10H2,2-4H3/t12-,13+,15-/m1/s1",91457,beta-eudesmol,,beta-eudesmol is unparsable due to the following being uninterpretable: beta-eudesmol The following was not parseable: udesmol
beta-farnesene,beta-farnesene,"InChI=1S/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9,12H,1,4,7-8,10-11H2,2-3,5H3/b15-12+",5281517,beta-farnesene,"InChI=1/C15H26/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h9,12H,4,6-8,10-11H2,1-3,5H3/b15-12+",
beta-fenchol,beta-fenchol,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(3,6-7)8(9)11/h7-8,11H,4-6H2,1-3H3/t7-,8-,10+/m1/s1",439711,beta-fenchol,,beta-fenchol is unparsable due to the following being uninterpretable: beta-fenchol The following was not parseable: fenchol
beta-fenchone,beta-fenchone,,NA,beta-fenchone,,beta-fenchone is unparsable due to the following being uninterpretable: beta-fenchone The following was not parseable: fenchone
beta-guaiene,beta-guaiene,"InChI=1S/C15H24/c1-10(2)13-7-5-11(3)14-8-6-12(4)15(14)9-13/h11-12H,5-9H2,1-4H3",6949,beta-guaiene,,beta-guaiene is unparsable due to the following being uninterpretable: beta-guaiene The following was not parseable: guaiene
beta-gurjunene,beta-gurjunene,"InChI=1S/C15H24/c1-9-6-8-12-14(15(12,3)4)13-10(2)5-7-11(9)13/h9,11-14H,2,5-8H2,1,3-4H3/t9-,11-,12-,13-,14-/m1/s1",6450812,beta-gurjunene,,beta-gurjunene is unparsable due to the following being uninterpretable: beta-gurjunene The following was not parseable: gurjunene
beta-himachalene,beta-himachalene,"InChI=1S/C15H24/c1-11-7-8-13-12(2)6-5-9-15(3,4)14(13)10-11/h10,14H,5-9H2,1-4H3",15095,beta-himachalene,,beta-himachalene is unparsable due to the following being uninterpretable: beta-himachalene The following was not parseable: himachalene
beta-humulene,beta-humulene,,NA,beta-humulene,,beta-humulene is unparsable due to the following being uninterpretable: beta-humulene The following was not parseable: humulene
